# Tileset primary/general - 512 metatiles (IDs 0 a 511)
   ID | Behavior                            | Layer
------------------------------------------------------------
    0 | MB_NORMAL                           | NORMAL
    1 | MB_NORMAL                           | NORMAL
    2 | MB_NORMAL                           | NORMAL
    3 | MB_NORMAL                           | NORMAL
    4 | MB_NORMAL                           | COVERED
    5 | MB_NORMAL                           | NORMAL
    6 | MB_NORMAL                           | NORMAL
    7 | MB_NORMAL                           | NORMAL
    8 | MB_NORMAL                           | NORMAL
    9 | MB_NORMAL                           | NORMAL
   10 | MB_NORMAL                           | NORMAL
   11 | MB_NORMAL                           | NORMAL
   12 | MB_NORMAL                           | NORMAL
   13 | MB_TALL_GRASS                       | NORMAL
   14 | MB_NORMAL                           | NORMAL
   15 | MB_NORMAL                           | NORMAL
   16 | MB_NORMAL                           | NORMAL
   17 | MB_NORMAL                           | NORMAL
   18 | MB_NORMAL                           | NORMAL
   19 | MB_SECRET_BASE_WALL                 | NORMAL
   20 | MB_SECRET_BASE_WALL                 | NORMAL
   21 | MB_LONG_GRASS                       | NORMAL
   22 | MB_NORMAL                           | NORMAL
   23 | MB_NORMAL                           | NORMAL
   24 | MB_NORMAL                           | NORMAL
   25 | MB_NORMAL                           | NORMAL
   26 | MB_NORMAL                           | NORMAL
   27 | MB_NORMAL                           | COVERED
   28 | MB_NORMAL                           | NORMAL
   29 | MB_NORMAL                           | NORMAL
   30 | MB_NORMAL                           | NORMAL
   31 | MB_NORMAL                           | NORMAL
   32 | MB_NORMAL                           | COVERED
   33 | MB_ANIMATED_DOOR                    | NORMAL
   34 | MB_NORMAL                           | COVERED
   35 | MB_NORMAL                           | NORMAL
   36 | MB_SOUTH_ARROW_WARP                 | NORMAL
   37 | MB_TALL_GRASS                       | NORMAL
   38 | MB_SECRET_BASE_SPOT_TREE_1          | NORMAL
   39 | MB_SECRET_BASE_SPOT_TREE_2          | NORMAL
   40 | MB_NORMAL                           | NORMAL
   41 | MB_NORMAL                           | NORMAL
   42 | MB_NORMAL                           | NORMAL
   43 | MB_NORMAL                           | NORMAL
   44 | MB_OCEAN_WATER                      | COVERED
   45 | MB_POND_WATER                       | SPLIT
   46 | MB_NORMAL                           | NORMAL
   47 | MB_NORMAL                           | NORMAL
   48 | MB_NORMAL                           | NORMAL
   49 | MB_NORMAL                           | NORMAL
   50 | MB_NORMAL                           | NORMAL
   51 | MB_NORMAL                           | NORMAL
   52 | MB_OCEAN_WATER                      | COVERED
   53 | MB_OCEAN_WATER                      | SPLIT
   54 | MB_SECRET_BASE_SPOT_TREE_1_OPEN     | NORMAL
   55 | MB_SECRET_BASE_SPOT_TREE_2_OPEN     | NORMAL
   56 | MB_NORMAL                           | NORMAL
   57 | MB_NORMAL                           | NORMAL
   58 | MB_NORMAL                           | NORMAL
   59 | MB_NORMAL                           | NORMAL
   60 | MB_OCEAN_WATER                      | COVERED
   61 | MB_NORMAL                           | NORMAL
   62 | MB_NORMAL                           | NORMAL
   63 | MB_NORMAL                           | NORMAL
   64 | MB_NORMAL                           | NORMAL
   65 | MB_ANIMATED_DOOR                    | COVERED
   66 | MB_NORMAL                           | COVERED
   67 | MB_NORMAL                           | COVERED
   68 | MB_NORMAL                           | NORMAL
   69 | MB_NORMAL                           | NORMAL
   70 | MB_NORMAL                           | NORMAL
   71 | MB_NORMAL                           | NORMAL
   72 | MB_NORMAL                           | NORMAL
   73 | MB_NORMAL                           | NORMAL
