# Tileset secondary/lab - 154 metatiles (IDs 512 a 665)
   ID | Behavior                            | Layer
------------------------------------------------------------
  512 | MB_NORMAL                           | NORMAL
  513 | MB_NORMAL                           | NORMAL
  514 | MB_NORMAL                           | NORMAL
  515 | MB_NORMAL                           | NORMAL
  516 | MB_NORMAL                           | NORMAL
  517 | MB_NORMAL                           | NORMAL
  518 | MB_SOUTH_ARROW_WARP                 | NORMAL
  519 | MB_SOUTH_ARROW_WARP                 | NORMAL
  520 | MB_NORMAL                           | NORMAL
  521 | MB_NORMAL                           | NORMAL
  522 | MB_NORMAL                           | NORMAL
  523 | MB_NORMAL                           | COVERED
  524 | MB_NORMAL                           | COVERED
  525 | MB_NORMAL                           | COVERED
  526 | MB_NORMAL                           | COVERED
  527 | MB_NORMAL                           | COVERED
  528 | MB_NORMAL                           | COVERED
  529 | MB_NORMAL                           | COVERED
  530 | MB_NORMAL                           | COVERED
  531 | MB_NORMAL                           | COVERED
  532 | MB_NORMAL                           | COVERED
  533 | MB_NORMAL                           | COVERED
  534 | MB_NORMAL                           | NORMAL
  535 | MB_NORMAL                           | COVERED
  536 | MB_NORMAL                           | COVERED
  537 | MB_NORMAL                           | COVERED
  538 | MB_NORMAL                           | COVERED
  539 | MB_NORMAL                           | COVERED
  540 | MB_NORMAL                           | COVERED
  541 | MB_NORMAL                           | COVERED
  542 | MB_NORMAL                           | COVERED
  543 | MB_NORMAL                           | COVERED
  544 | MB_NORMAL                           | COVERED
  545 | MB_NORMAL                           | COVERED
  546 | MB_NORMAL                           | COVERED
  547 | MB_NORMAL                           | COVERED
  548 | MB_NORMAL                           | NORMAL
  549 | MB_NORMAL                           | NORMAL
  550 | MB_NORMAL                           | NORMAL
  551 | MB_NORMAL                           | COVERED
  552 | MB_NORMAL                           | COVERED
  553 | MB_NORMAL                           | NORMAL
  554 | MB_NORMAL                           | COVERED
  555 | MB_NORMAL                           | COVERED
  556 | MB_NORMAL                           | COVERED
  557 | MB_NORMAL                           | COVERED
  558 | MB_NORMAL                           | COVERED
  559 | MB_NORMAL                           | COVERED
  560 | MB_NORMAL                           | COVERED
  561 | MB_NORMAL                           | COVERED
  562 | MB_NORMAL                           | COVERED
  563 | MB_NORMAL                           | COVERED
  564 | MB_NORMAL                           | COVERED
  565 | MB_NORMAL                           | COVERED
  566 | MB_NORMAL                           | NORMAL
  567 | MB_NORMAL                           | NORMAL
  568 | MB_NORMAL                           | COVERED
  569 | MB_NORMAL                           | COVERED
  570 | MB_NORMAL                           | NORMAL
  571 | MB_NORMAL                           | COVERED
  572 | MB_NORMAL                           | NORMAL
  573 | MB_NORMAL                           | NORMAL
  574 | MB_NORMAL                           | NORMAL
  575 | MB_NORMAL                           | NORMAL
  576 | MB_NORMAL                           | COVERED
  577 | MB_NORMAL                           | COVERED
  578 | MB_NORMAL                           | COVERED
  579 | MB_NORMAL                           | COVERED
  580 | MB_NORMAL                           | COVERED
  581 | MB_NORMAL                           | COVERED
  582 | MB_NORMAL                           | NORMAL
  583 | MB_NORMAL                           | NORMAL
  584 | MB_NORMAL                           | COVERED
  585 | MB_NORMAL                           | COVERED
  586 | MB_NORMAL                           | COVERED
  587 | MB_NORMAL                           | COVERED
  588 | MB_NORMAL                           | COVERED
  589 | MB_NORMAL                           | COVERED
  590 | MB_NORMAL                           | NORMAL
  591 | MB_NORMAL                           | NORMAL
  592 | MB_NORMAL                           | COVERED
  593 | MB_NORMAL                           | COVERED
  594 | MB_NORMAL                           | NORMAL
  595 | MB_NORMAL                           | COVERED
  596 | MB_NORMAL                           | COVERED
  597 | MB_NORMAL                           | NORMAL
  598 | MB_NORMAL                           | COVERED
  599 | MB_NORMAL                           | COVERED
  600 | MB_NORMAL                           | COVERED
  601 | MB_NORMAL                           | COVERED
  602 | MB_NORMAL                           | NORMAL
  603 | MB_NORMAL                           | COVERED
  604 | MB_NORMAL                           | COVERED
  605 | MB_NORMAL                           | COVERED
  606 | MB_NORMAL                           | COVERED
  607 | MB_NORMAL                           | NORMAL
  608 | MB_NORMAL                           | COVERED
  609 | MB_NORMAL                           | COVERED
  610 | MB_NORMAL                           | COVERED
  611 | MB_NORMAL                           | NORMAL
  612 | MB_NORMAL                           | COVERED
  613 | MB_NORMAL                           | COVERED
  614 | MB_NORMAL                           | NORMAL
  615 | MB_NORMAL                           | NORMAL
  616 | MB_NORMAL                           | NORMAL
  617 | MB_NORMAL                           | NORMAL
  618 | MB_NORMAL                           | NORMAL
  619 | MB_NORMAL                           | NORMAL
  620 | MB_NORMAL                           | COVERED
  621 | MB_NORMAL                           | COVERED
  622 | MB_NORMAL                           | COVERED
  623 | MB_NORMAL                           | NORMAL
  624 | MB_NORMAL                           | NORMAL
  625 | MB_NORMAL                           | COVERED
  626 | MB_NORMAL                           | NORMAL
  627 | MB_NORMAL                           | NORMAL
  628 | MB_NORMAL                           | COVERED
  629 | MB_NORMAL                           | COVERED
  630 | MB_NORMAL                           | COVERED
  631 | MB_NORMAL                           | NORMAL
  632 | MB_NORMAL                           | COVERED
  633 | MB_NORMAL                           | COVERED
  634 | MB_NORMAL                           | NORMAL
  635 | MB_NORMAL                           | NORMAL
  636 | MB_NORMAL                           | NORMAL
  637 | MB_NORMAL                           | NORMAL
  638 | MB_NORMAL                           | NORMAL
  639 | MB_NORMAL                           | NORMAL
  640 | MB_NORMAL                           | COVERED
  641 | MB_NORMAL                           | NORMAL
