# Tileset secondary/petalburg - 144 metatiles (IDs 512 a 655)
   ID | Behavior                            | Layer
------------------------------------------------------------
  512 | MB_NORMAL                           | NORMAL
  513 | MB_NORMAL                           | COVERED
  514 | MB_NORMAL                           | COVERED
  515 | MB_NORMAL                           | NORMAL
  516 | MB_NORMAL                           | NORMAL
  517 | MB_NORMAL                           | NORMAL
  518 | MB_NORMAL                           | NORMAL
  519 | MB_NORMAL                           | NORMAL
  520 | MB_NORMAL                           | NORMAL
  521 | MB_NORMAL                           | NORMAL
  522 | MB_NORMAL                           | NORMAL
  523 | MB_NORMAL                           | NORMAL
  524 | MB_NORMAL                           | NORMAL
  525 | MB_NORMAL                           | NORMAL
  526 | MB_NORMAL                           | NORMAL
  527 | MB_NORMAL                           | NORMAL
  528 | MB_NORMAL                           | NORMAL
  529 | MB_NORMAL                           | NORMAL
  530 | MB_NORMAL                           | NORMAL
  531 | MB_NORMAL                           | NORMAL
  532 | MB_NORMAL                           | NORMAL
  533 | MB_NORMAL                           | NORMAL
  534 | MB_NORMAL                           | NORMAL
  535 | MB_NORMAL                           | NORMAL
  536 | MB_NORMAL                           | NORMAL
  537 | MB_NORMAL                           | NORMAL
  538 | MB_NORMAL                           | NORMAL
  539 | MB_NORMAL                           | NORMAL
  540 | MB_NORMAL                           | NORMAL
  541 | MB_NORMAL                           | NORMAL
  542 | MB_NORMAL                           | NORMAL
  543 | MB_NORMAL                           | NORMAL
  544 | MB_NORMAL                           | NORMAL
  545 | MB_NORMAL                           | NORMAL
  546 | MB_NORMAL                           | NORMAL
  547 | MB_NORMAL                           | NORMAL
  548 | MB_NORMAL                           | COVERED
  549 | MB_NORMAL                           | COVERED
  550 | MB_NORMAL                           | COVERED
  551 | MB_NORMAL                           | COVERED
  552 | MB_NORMAL                           | COVERED
  553 | MB_NORMAL                           | COVERED
  554 | MB_NORMAL                           | COVERED
  555 | MB_NORMAL                           | COVERED
  556 | MB_NORMAL                           | NORMAL
  557 | MB_NORMAL                           | NORMAL
  558 | MB_NORMAL                           | NORMAL
  559 | MB_NORMAL                           | NORMAL
  560 | MB_NORMAL                           | NORMAL
  561 | MB_NORMAL                           | NORMAL
  562 | MB_NORMAL                           | NORMAL
  563 | MB_NORMAL                           | NORMAL
  564 | MB_NORMAL                           | NORMAL
  565 | MB_NORMAL                           | NORMAL
  566 | MB_NORMAL                           | NORMAL
  567 | MB_NORMAL                           | NORMAL
  568 | MB_NORMAL                           | NORMAL
  569 | MB_NORMAL                           | NORMAL
  570 | MB_NORMAL                           | NORMAL
  571 | MB_NORMAL                           | NORMAL
  572 | MB_NORMAL                           | NORMAL
  573 | MB_NORMAL                           | NORMAL
  574 | MB_NORMAL                           | NORMAL
  575 | MB_NORMAL                           | NORMAL
  576 | MB_NORMAL                           | NORMAL
  577 | MB_NORMAL                           | NORMAL
  578 | MB_NORMAL                           | NORMAL
  579 | MB_NORMAL                           | NORMAL
  580 | MB_NORMAL                           | NORMAL
  581 | MB_NORMAL                           | COVERED
  582 | MB_NORMAL                           | NORMAL
  583 | MB_NORMAL                           | NORMAL
  584 | MB_ANIMATED_DOOR                    | NORMAL
  585 | MB_ANIMATED_DOOR                    | NORMAL
  586 | MB_NORMAL                           | NORMAL
  587 | MB_NORMAL                           | NORMAL
  588 | MB_NORMAL                           | NORMAL
  589 | MB_NORMAL                           | COVERED
  590 | MB_NORMAL                           | COVERED
  591 | MB_NORMAL                           | NORMAL
  592 | MB_NORMAL                           | NORMAL
  593 | MB_NORMAL                           | NORMAL
  594 | MB_NORMAL                           | NORMAL
  595 | MB_NORMAL                           | NORMAL
  596 | MB_NORMAL                           | COVERED
  597 | MB_NORMAL                           | NORMAL
  598 | MB_NORMAL                           | NORMAL
  599 | MB_NORMAL                           | NORMAL
  600 | MB_NORMAL                           | NORMAL
  601 | MB_NORMAL                           | NORMAL
  602 | MB_NORMAL                           | NORMAL
  603 | MB_NORMAL                           | NORMAL
  604 | MB_NORMAL                           | NORMAL
  605 | MB_NORMAL                           | NORMAL
  606 | MB_NORMAL                           | NORMAL
  607 | MB_NORMAL                           | NORMAL
  608 | MB_NORMAL                           | NORMAL
  609 | MB_NORMAL                           | NORMAL
  610 | MB_NORMAL                           | COVERED
  611 | MB_NORMAL                           | NORMAL
  612 | MB_NORMAL                           | COVERED
  613 | MB_NORMAL                           | COVERED
  614 | MB_NORMAL                           | NORMAL
  615 | MB_NORMAL                           | NORMAL
  616 | MB_NORMAL                           | NORMAL
  617 | MB_NORMAL                           | NORMAL
  618 | MB_NORMAL                           | COVERED
  619 | MB_NORMAL                           | COVERED
  620 | MB_NORMAL                           | NORMAL
  621 | MB_NORMAL                           | NORMAL
  622 | MB_NORMAL                           | NORMAL
  623 | MB_NORMAL                           | NORMAL
  624 | MB_NORMAL                           | NORMAL
  625 | MB_NORMAL                           | NORMAL
  626 | MB_NORMAL                           | NORMAL
  627 | MB_NORMAL                           | NORMAL
  628 | MB_NORMAL                           | NORMAL
  629 | MB_NORMAL                           | NORMAL
  630 | MB_NORMAL                           | NORMAL
  631 | MB_NORMAL                           | NORMAL
  632 | MB_NORMAL                           | NORMAL
  633 | MB_NORMAL                           | NORMAL
  634 | MB_NORMAL                           | NORMAL
  635 | MB_JUMP_SOUTHEAST                   | COVERED
  636 | MB_NORMAL                           | NORMAL
  637 | MB_NORMAL                           | NORMAL
  638 | MB_NORMAL                           | NORMAL
