tileset,metatile_id,behavior,layer_type,tile_0,tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7
gTileset_BattleTower,0,0,0,33281,34305,35329,36353,0,0,2048,2048
gTileset_BattleTower,1,0,0,33297,34321,35345,36369,0,0,2048,2048
gTileset_BattleTower,2,0,0,33296,34321,35329,36353,0,0,2048,2048
gTileset_BattleTower,3,0,0,33297,34321,35329,36353,0,0,2048,2048
gTileset_BattleTower,4,0,0,33297,34321,35345,36353,0,0,2048,2048
gTileset_BattleTower,5,0,0,34321,34305,35329,36353,0,0,2048,2048
gTileset_BattleTower,6,0,0,29251,30275,29267,29268,0,0,0,0
gTileset_BattleTower,7,0,0,37415,38439,37444,38468,0,0,0,0
gTileset_BattleTower,8,0,1,30304,29280,29296,29296,0,0,29191,29192
gTileset_BattleTower,9,0,0,29248,29248,29249,29264,0,0,0,0
gTileset_BattleTower,10,0,0,33282,34306,35330,36354,0,0,30219,30231
gTileset_BattleTower,11,0,0,33281,34305,35329,36353,0,0,29207,29207
gTileset_BattleTower,12,0,0,33282,34306,35330,36354,0,0,29207,29195
gTileset_BattleTower,13,0,0,33297,34305,35345,36353,0,0,2048,2048
gTileset_BattleTower,14,105,0,29283,29284,29299,29300,0,0,0,0
gTileset_BattleTower,15,96,0,37416,37416,37432,45687,0,0,0,0
gTileset_BattleTower,16,128,1,33297,34321,35345,36369,30234,29210,30234,29210
gTileset_BattleTower,17,0,0,29265,29280,29296,29296,0,0,0,0
gTileset_BattleTower,18,128,1,33297,34321,35345,36369,30235,30232,29205,30230
gTileset_BattleTower,19,128,1,33297,34321,35345,36369,29208,29208,29206,29206
gTileset_BattleTower,20,128,1,33297,34321,35345,36369,29208,29211,29206,30229
gTileset_BattleTower,21,0,1,45671,45671,45670,45670,45662,45663,45694,45695
gTileset_BattleTower,22,101,0,29189,29190,31237,31238,0,0,2048,2048
gTileset_BattleTower,23,101,0,30214,30213,32262,32261,0,0,2048,2048
gTileset_BattleTower,24,0,1,33297,34321,35345,36369,29203,29204,29220,29221
gTileset_BattleTower,25,128,1,33281,34305,35329,36353,30234,29210,29209,29210
gTileset_BattleTower,26,0,0,29248,29248,29264,29249,0,0,0,0
gTileset_BattleTower,27,0,0,29248,29222,29264,37430,0,0,0,0
gTileset_BattleTower,28,0,0,37415,38439,37431,38455,0,0,0,0
gTileset_BattleTower,29,0,0,30246,29248,38454,29249,0,0,0,0
gTileset_BattleTower,30,0,0,29248,29250,29264,29266,0,0,0,0
gTileset_BattleTower,31,0,0,30274,29248,29269,29249,0,0,0,0
gTileset_BattleTower,32,0,1,33297,34321,35345,36369,29236,29237,29205,29206
gTileset_BattleTower,33,0,1,33297,34321,35345,36369,29212,29213,30230,30229
gTileset_BattleTower,34,0,0,29280,29265,29296,29296,0,0,0,0
gTileset_BattleTower,35,0,0,29280,37446,29296,37462,0,0,0,0
gTileset_BattleTower,36,0,0,37447,38471,37463,38487,0,0,0,0
gTileset_BattleTower,37,0,0,38470,29265,38486,29296,0,0,0,0
gTileset_BattleTower,38,0,0,29280,29282,29296,29298,0,0,0,0
gTileset_BattleTower,39,0,0,29285,29265,30322,29296,0,0,0,0
gTileset_BattleTower,40,48,1,33281,34305,35345,36369,29196,29197,29198,29199
gTileset_BattleTower,41,0,0,33283,34307,35332,36356,0,0,0,0
gTileset_BattleTower,42,0,0,29248,29248,29264,29249,0,0,0,0
gTileset_BattleTower,43,0,0,29248,29250,29264,29266,0,0,0,0
gTileset_BattleTower,44,0,0,30274,29248,29269,29249,0,0,0,0
gTileset_BattleTower,45,0,0,29248,29222,29264,37430,0,0,0,0
gTileset_BattleTower,46,0,0,30246,29248,38454,29249,0,0,0,0
gTileset_BattleTower,47,0,0,45612,45612,45628,45629,0,0,0,0
gTileset_BattleTower,48,48,1,33297,34321,35345,36369,29198,29199,29198,29199
gTileset_BattleTower,49,0,0,47662,47722,45670,45670,0,2048,0,0
gTileset_BattleTower,50,0,0,29280,29265,29297,29297,0,0,0,0
gTileset_BattleTower,51,0,0,29280,29282,29297,29281,0,0,0,0
gTileset_BattleTower,52,0,0,29285,29265,30305,29297,0,0,0,0
gTileset_BattleTower,53,0,0,29280,37446,29297,37462,0,0,0,0
gTileset_BattleTower,54,0,0,38470,29265,38486,29297,0,0,0,0
gTileset_BattleTower,55,0,0,45644,45645,45660,45661,0,0,0,0
gTileset_BattleTower,56,48,1,33297,34321,35345,36369,29198,29199,29214,29215
gTileset_BattleTower,57,0,0,48746,47662,45670,45670,2048,0,0,0
gTileset_BattleTower,58,0,0,45670,45670,45670,45670,0,0,0,0
gTileset_BattleTower,59,0,0,45671,45670,45671,45670,0,0,0,0
gTileset_BattleTower,60,0,0,45671,45671,45670,45670,0,0,0,0
gTileset_BattleTower,61,0,0,45671,45671,45671,45670,0,0,0,0
gTileset_BattleTower,62,0,0,45670,45670,45670,45670,0,0,45646,45647
gTileset_BattleTower,63,0,0,45644,45645,45660,45661,0,0,45646,45647
gTileset_BattleTower,64,0,0,47661,47662,45670,45670,0,0,0,0
gTileset_BattleTower,65,0,0,47662,48685,45670,45670,0,1024,0,0
gTileset_BattleTower,66,0,0,45670,45670,45614,45614,0,0,0,0
gTileset_BattleTower,67,0,0,47662,47662,45670,45670,0,0,0,0
gTileset_BattleTower,68,0,0,45615,45630,45615,45630,0,0,0,0
gTileset_BattleTower,69,0,0,45630,46639,45630,46639,0,1024,0,1024
gTileset_BattleTower,70,0,1,45670,45670,45670,45670,45662,45663,45694,45695
gTileset_BattleTower,71,0,1,45671,45671,45671,45670,45662,45663,45694,45695
gTileset_BattleTower,72,0,0,45670,45670,45613,45614,0,0,0,0
gTileset_BattleTower,73,0,0,45670,45670,45614,45674,0,0,0,0
gTileset_BattleTower,74,0,0,45670,45670,46698,45614,0,0,0,0
gTileset_BattleTower,75,0,0,45670,45670,45614,46637,0,0,0,1024
gTileset_BattleTower,76,0,0,45612,45612,45656,37416,0,0,0,0
gTileset_BattleTower,77,0,0,45612,45612,37416,37416,0,0,0,0
gTileset_BattleTower,78,0,0,45612,45612,37416,45656,0,0,0,0
gTileset_BattleTower,79,101,0,29301,29302,31349,31350,0,0,0,0
gTileset_BattleTower,80,0,0,45630,45630,45630,45690,0,0,0,0
gTileset_BattleTower,81,0,0,45675,45676,45691,45692,0,0,0,0
gTileset_BattleTower,82,0,0,46700,46699,46716,46715,1024,1024,1024,1024
gTileset_BattleTower,83,0,0,45630,45630,46714,45630,0,0,1024,0
gTileset_BattleTower,84,0,0,45672,37416,45688,45689,0,0,0,0
gTileset_BattleTower,85,96,0,37416,37416,45687,45687,0,0,0,0
gTileset_BattleTower,86,0,0,37416,45672,45687,45688,0,0,0,0
gTileset_BattleTower,87,101,0,30326,30325,32374,32373,1024,1024,1024,1024
gTileset_BattleTower,88,0,0,45630,45677,45630,47725,0,0,0,2048
gTileset_BattleTower,89,0,0,45678,45679,47726,47727,0,0,2048,2048
gTileset_BattleTower,90,0,0,46703,46702,48751,48750,1024,1024,3072,3072
