map,AbandonedShip_Corridors_B1F_Layout,width,13,height,10,primary,gTileset_General,secondary,gTileset_Ship
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x0621,0x0621,0x0630,0x0631,0x0631,0x0631,0x0631,0x0632,0x0621,0x0621,0x0630,0x0631,0x0631
1,0x0629,0x069F,0x0630,0x0631,0x0631,0x0631,0x0631,0x0632,0x0629,0x069F,0x0630,0x0631,0x0631
2,0x32A6,0x06A7,0x0630,0x0631,0x0631,0x0631,0x0631,0x0632,0x32A6,0x06A7,0x0630,0x0631,0x0631
3,0x3203,0x3202,0x0625,0x0623,0x0624,0x0622,0x02AE,0x0626,0x3204,0x3202,0x0625,0x0623,0x0624
4,0x3203,0x3202,0x062D,0x362B,0x062C,0x062A,0x32B6,0x062E,0x3204,0x3202,0x062D,0x362B,0x062C
5,0x3203,0x3202,0x3205,0x3206,0x3206,0x3206,0x3206,0x3206,0x3207,0x3202,0x3205,0x3206,0x3206
6,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x36AC
7,0x3203,0x3202,0x3202,0x3202,0x3218,0x321A,0x321B,0x3219,0x321A,0x321B,0x3219,0x321A,0x321C
8,0x36AD,0x3202,0x3202,0x3202,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632
9,0x3203,0x3202,0x3202,0x3202,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632
