map,AbandonedShip_Deck_Layout,width,23,height,21,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0x0628,0x0628,0x0628,0x0660,0x0628,0x061F,0x061F,0x0660,0x0628,0x0628,0x0628,0x0628,0x0628,0x0662,0x0660,0x0628,0x0628,0x0628,0x0628,0x0628,0x0628,0x0628,0x0628
1,0x0628,0x0628,0x0628,0x0660,0x0628,0x0627,0x0627,0x0660,0x0628,0x0665,0x0669,0x0666,0x0628,0x0662,0x0660,0x0628,0x0628,0x061F,0x06A1,0x0628,0x0628,0x0628,0x0628
2,0x0628,0x0628,0x0628,0x0660,0x0628,0x0627,0x062F,0x0660,0x0628,0x0628,0x0628,0x0628,0x0628,0x0662,0x0660,0x0628,0x061F,0x0627,0x06A1,0x0628,0x061F,0x06A1,0x0628
3,0x0665,0x0666,0x0628,0x0660,0x0628,0x062F,0x0627,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x0660,0x0628,0x0627,0x0627,0x06A1,0x0628,0x0627,0x06A1,0x0628
4,0x0628,0x0628,0x0628,0x0660,0x0628,0x062A,0x062F,0x0610,0x07C9,0x07C9,0x07C9,0x06C3,0x06C4,0x06C5,0x0660,0x0628,0x062F,0x062F,0x06A1,0x0628,0x062F,0x06A1,0x0628
5,0x0628,0x0628,0x0628,0x0660,0x0628,0x07C8,0x062A,0x0620,0x075D,0x075D,0x075D,0x06CB,0x32CC,0x06CD,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669
6,0x0628,0x0628,0x0628,0x0660,0x0628,0x0628,0x0628,0x3333,0x07C8,0x322A,0x322A,0x32BE,0x322A,0x32BF,0x0618,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9
7,0x0665,0x0666,0x0628,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0666,0x3228,0x3228,0x0665,0x0669,0x0620,0x03CC,0x03CD,0x03CC,0x03CD,0x03CC,0x03CD,0x03CC,0x03CD
8,0x0628,0x0628,0x0628,0x0618,0x07C9,0x07C9,0x07C9,0x06C3,0x06C4,0x06C5,0x30AF,0x30CF,0x06C3,0x06C4,0x07B3,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9
9,0x0628,0x0628,0x0628,0x0620,0x075D,0x075D,0x075D,0x06CB,0x32CC,0x06CD,0x30AF,0x30CF,0x06CB,0x32CC,0x06CD,0x075D,0x075D,0x075D,0x075D,0x075D,0x075D,0x075D,0x075D
10,0x0628,0x0628,0x0628,0x3333,0x322A,0x322A,0x07C8,0x32BE,0x322A,0x32BF,0x322A,0x07C8,0x32BE,0x322A,0x32BF,0x07C8,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A
11,0x0628,0x0628,0x0628,0x0628,0x07C8,0x0628,0x0628,0x07C8,0x3228,0x3228,0x3228,0x3228,0x07C8,0x3228,0x3228,0x3228,0x07C8,0x3228,0x07C8,0x3228,0x3228,0x3228,0x3228
12,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0666,0x3228,0x3228,0x0665,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669
13,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x0618,0x30AF,0x30CF,0x0618,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9,0x07C9
14,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x0620,0x30AF,0x30CF,0x0620,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB,0x07CB
15,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x0620,0x32CE,0x32CF,0x0620,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA,0x07CA
16,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x0734,0x059E,0x059E,0x0734,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E
17,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E
18,0x05A3,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E
19,0x05BD,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05A3,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E,0x059E
20,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x05BD,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE,0x05BE
