map,AbandonedShip_HiddenFloorCorridors_Layout,width,13,height,11,primary,gTileset_General,secondary,gTileset_Ship
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x0608,0x0609,0x0608,0x06A8,0x0608,0x0609,0x0608,0x0609,0x06A9,0x06A8,0x0608,0x0609,0x0608
1,0x06B1,0x06B0,0x0610,0x06B0,0x06B1,0x0611,0x0610,0x0611,0x06B1,0x06B0,0x0610,0x0611,0x0610
2,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
3,0x36AD,0x3202,0x3218,0x3234,0x321B,0x3219,0x321A,0x321B,0x3219,0x3234,0x321C,0x3202,0x3202
4,0x3203,0x3202,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x3204,0x36AC
5,0x36AD,0x3202,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x3204,0x3202
6,0x3203,0x3202,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x3204,0x3202
7,0x3203,0x3202,0x0625,0x0623,0x0624,0x0622,0x0623,0x0624,0x0622,0x0623,0x0626,0x3204,0x3202
8,0x1189,0x1181,0x062D,0x3633,0x062C,0x062A,0x3633,0x062C,0x062A,0x362B,0x062E,0x3204,0x3202
9,0x1156,0x119A,0x1181,0x3206,0x3206,0x3206,0x3206,0x3206,0x3206,0x3206,0x3206,0x3207,0x3202
10,0x1147,0x1156,0x1178,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
