map,AbandonedShip_HiddenFloorRooms_Layout,width,44,height,15,primary,gTileset_General,secondary,gTileset_Ship
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,0x0636,0x0627,0x0627,0x0627,0x0627,0x0695,0x0663,0x0696,0x0627,0x0627,0x0627,0x0627,0x0627,0x0637,0x0636,0x0627,0x0627,0x0627,0x0627,0x0627,0x0695,0x02AF,0x0696,0x0627,0x0627,0x0627,0x0627,0x0627,0x0637,0x0636,0x0627,0x0627,0x0627,0x0627,0x0627,0x0695,0x0663,0x0696,0x0627,0x0627,0x0627,0x0627,0x0627,0x0637
1,0x063E,0x062F,0x062F,0x062F,0x062F,0x069D,0x3697,0x069E,0x062F,0x062F,0x062F,0x062F,0x062F,0x063F,0x063E,0x062F,0x062F,0x062F,0x062F,0x062F,0x069D,0x32B7,0x069E,0x062F,0x062F,0x062F,0x062F,0x062F,0x0647,0x0646,0x062F,0x062F,0x062F,0x062F,0x062F,0x069D,0x3697,0x069E,0x062F,0x062F,0x062F,0x062F,0x062F,0x063F
2,0x063E,0x0668,0x323B,0x323B,0x323B,0x323B,0x323B,0x323B,0x323B,0x323B,0x323B,0x323B,0x323B,0x063F,0x063E,0x323A,0x323B,0x323B,0x360F,0x3617,0x0635,0x323B,0x3699,0x369A,0x323B,0x323B,0x323B,0x323B,0x064F,0x064E,0x323A,0x323B,0x323B,0x323B,0x323B,0x323B,0x323B,0x3267,0x323B,0x323B,0x3699,0x369A,0x323B,0x063F
3,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3261,0x3238,0x3238,0x3238,0x3238,0x36AA,0x063F,0x063E,0x36AB,0x3238,0x3261,0x365E,0x365F,0x3238,0x0662,0x36A0,0x36A2,0x3238,0x3238,0x3238,0x3238,0x323B,0x323B,0x323C,0x3238,0x3238,0x3662,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x36A0,0x36A2,0x3238,0x063F
4,0x063E,0x323D,0x3238,0x3656,0x3657,0x3238,0x3238,0x3238,0x3238,0x3238,0x3261,0x3238,0x3238,0x063F,0x063E,0x323D,0x3238,0x3238,0x3260,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3260,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F
5,0x063E,0x36AB,0x3238,0x365E,0x365F,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3260,0x3238,0x063F,0x063E,0x323D,0x3260,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3261,0x3238,0x063F,0x063E,0x36AB,0x3238,0x3656,0x3657,0x3238,0x3238,0x3238,0x3238,0x3662,0x3238,0x3238,0x3238,0x3261,0x063F
6,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F,0x063E,0x323D,0x3238,0x365E,0x365F,0x3238,0x3238,0x3238,0x3261,0x3238,0x3238,0x3238,0x3238,0x36AA,0x063F
7,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
8,0x0636,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0637,0x0636,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0637,0x0636,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0637
9,0x063E,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x063F,0x063E,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x063F,0x063E,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x063F
