map,AbandonedShip_Rooms2_1F_Layout,width,9,height,17,primary,gTileset_General,secondary,gTileset_Ship
y\x,0,1,2,3,4,5,6,7,8
0,0x0636,0x0640,0x066B,0x0695,0x0663,0x0696,0x0627,0x0627,0x0637
1,0x063E,0x0648,0x0673,0x069D,0x3697,0x069E,0x062F,0x062F,0x063F
2,0x063E,0x0650,0x0651,0x323A,0x323B,0x323B,0x323B,0x323B,0x063F
3,0x063E,0x0658,0x0659,0x323D,0x3238,0x3238,0x3238,0x3238,0x063F
4,0x063E,0x321E,0x323B,0x323C,0x3238,0x3238,0x3261,0x3238,0x063F
5,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F
6,0x063E,0x323D,0x3238,0x0662,0x3238,0x3261,0x3238,0x3238,0x063F
7,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F
8,0x0601,0x0601,0x0601,0x0601,0x323D,0x0601,0x0601,0x0601,0x0601
9,0x0636,0x0627,0x0627,0x0627,0x323D,0x0627,0x0627,0x0627,0x0637
10,0x063E,0x062F,0x062F,0x062F,0x323D,0x062F,0x062F,0x062F,0x063F
11,0x063E,0x323A,0x323B,0x323B,0x323C,0x323B,0x323B,0x323B,0x063F
12,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F
13,0x063E,0x323D,0x0656,0x0657,0x3238,0x3261,0x3238,0x3238,0x063F
14,0x063E,0x323D,0x065E,0x065F,0x3261,0x3238,0x3238,0x3238,0x063F
15,0x063E,0x323D,0x3238,0x3238,0x3238,0x3238,0x3238,0x3238,0x063F
16,0x063E,0x323D,0x3238,0x3238,0x3264,0x3265,0x3238,0x3238,0x063F
