map,AquaHideout_1F_Layout,width,28,height,30,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0611,0x0653,0x0654,0x0619,0x0619,0x061C,0x061B,0x0619,0x0653,0x0654,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x06C3,0x06C4,0x06C5,0x061A,0x0619,0x0611,0x0601
1,0x0601,0x0601,0x0601,0x0601,0x0601,0x0609,0x065B,0x065C,0x0632,0x0631,0x0624,0x0623,0x0621,0x065B,0x065C,0x0630,0x0621,0x0632,0x0631,0x0621,0x0621,0x06CB,0x32CC,0x06CD,0x0622,0x061F,0x060A,0x0601
2,0x0601,0x0611,0x0619,0x0619,0x0619,0x0610,0x0663,0x0664,0x323A,0x3239,0x3229,0x3229,0x3229,0x0663,0x0664,0x3238,0x3229,0x323A,0x3239,0x3229,0x3229,0x32C6,0x3229,0x32C7,0x3229,0x0627,0x060A,0x0601
3,0x0601,0x060A,0x0621,0x0621,0x0621,0x0620,0x326B,0x326C,0x32A1,0x3228,0x3228,0x3228,0x3228,0x326B,0x326C,0x32A1,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x0637,0x060A,0x0601
4,0x0601,0x060A,0x061F,0x061F,0x061F,0x3213,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3229,0x060A,0x0601
5,0x0601,0x060A,0x0627,0x062F,0x062F,0x32A1,0x3228,0x3228,0x065D,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x065E,0x3299,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601
6,0x0601,0x060A,0x062F,0x0627,0x062F,0x32A1,0x3228,0x3228,0x0660,0x3171,0x3171,0x3171,0x3171,0x3171,0x3171,0x3171,0x3171,0x3171,0x3171,0x06A4,0x32A1,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601
7,0x0601,0x060A,0x0627,0x062F,0x32B1,0x32A9,0x3228,0x3228,0x0660,0x3171,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3170,0x3171,0x06A4,0x32A1,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601
8,0x0601,0x060A,0x062F,0x32B1,0x32A9,0x3228,0x3228,0x3228,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x06AC,0x32A1,0x3228,0x3228,0x3228,0x3228,0x061F,0x060A,0x0601
9,0x0601,0x060A,0x3229,0x32A9,0x3228,0x3228,0x3228,0x3228,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x32A9,0x3228,0x3228,0x3228,0x3228,0x0627,0x060A,0x0601
