map,AquaHideout_B1F_Layout,width,51,height,24,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0611,0x06E0,0x06E0,0x06E0,0x06C3,0x06C4,0x06C5,0x0611,0x06E0,0x06E0,0x06C3,0x06C4,0x06C5,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0611,0x06E0,0x06E0,0x06B3,0x06B4,0x06B5,0x06E0,0x06E0,0x0611,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0611,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0611
1,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0609,0x0630,0x0631,0x0621,0x06CB,0x32CC,0x06CD,0x060A,0x0631,0x0631,0x06CB,0x32CC,0x06CD,0x0621,0x07D8,0x07D9,0x07D8,0x07D9,0x060A,0x0621,0x0621,0x06BB,0x32BC,0x06BD,0x0621,0x0621,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x07D8,0x07D9,0x0621,0x0621,0x0621,0x07D8,0x07D9,0x07D8,0x07D9,0x060A
2,0x0611,0x06E0,0x06C3,0x06C4,0x06C5,0x0653,0x0654,0x0610,0x3238,0x3239,0x3229,0x32C6,0x3229,0x32C7,0x060A,0x3239,0x3239,0x32C6,0x3229,0x32C7,0x3229,0x07DA,0x07DB,0x07DA,0x07DB,0x060A,0x0627,0x3229,0x32C6,0x3229,0x32C7,0x3229,0x0627,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x07DA,0x07DB,0x3229,0x3229,0x3229,0x07DA,0x07DB,0x07DA,0x07DB,0x060A
3,0x060A,0x0621,0x06CB,0x32CC,0x06CD,0x065B,0x065C,0x0620,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x07DC,0x37DD,0x07DA,0x07DB,0x060A,0x062F,0x32A1,0x3228,0x3228,0x3228,0x3228,0x062F,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x07DC,0x37DD,0x32A1,0x3228,0x32DF,0x07DC,0x37DD,0x07DA,0x07DB,0x060A
4,0x060A,0x3229,0x32C6,0x3229,0x32C7,0x0663,0x0664,0x3213,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x3229,0x3228,0x3228,0x3228,0x3228,0x32DF,0x322A,0x322A,0x07DC,0x37DD,0x060A,0x3229,0x32DF,0x3228,0x3228,0x3228,0x32DF,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x322A,0x32A9,0x3228,0x3228,0x322A,0x322A,0x07DC,0x37DD,0x060A
5,0x060A,0x3229,0x3228,0x3228,0x3228,0x326B,0x326C,0x32A1,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x060A
6,0x060A,0x3229,0x3228,0x3228,0x3228,0x3202,0x3241,0x3242,0x3202,0x3202,0x3202,0x3228,0x3228,0x3228,0x0611,0x06E0,0x06E0,0x06D5,0x06D4,0x06D5,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0611,0x06E0,0x06E0,0x06E0,0x062B,0x062C,0x062D,0x062E,0x0611,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0686,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x065E,0x060A
7,0x060A,0x3229,0x3228,0x3228,0x3228,0x0605,0x0649,0x064A,0x3202,0x3202,0x3202,0x3228,0x3228,0x3228,0x060A,0x07E3,0x07E3,0x0624,0x0623,0x0624,0x0621,0x0621,0x0621,0x060E,0x060F,0x060A,0x0630,0x0630,0x0631,0x0633,0x0634,0x0635,0x0636,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0660,0x32AE,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x06A6,0x060A
8,0x060A,0x3229,0x3228,0x3228,0x3228,0x3202,0x321D,0x3202,0x3241,0x3242,0x3202,0x3228,0x3228,0x3228,0x060A,0x07EA,0x07EA,0x33E6,0x37F3,0x37F4,0x33E6,0x33F5,0x33E6,0x3616,0x3617,0x060A,0x3238,0x3238,0x3239,0x063B,0x063C,0x063D,0x063E,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x06AC,0x060A
9,0x060A,0x3229,0x3228,0x3228,0x3228,0x3202,0x3202,0x3202,0x0649,0x064A,0x0605,0x3228,0x3228,0x3228,0x060A,0x3381,0x3380,0x33E5,0x37C3,0x37C5,0x33E5,0x33FD,0x33E5,0x33E5,0x33E5,0x060A,0x3229,0x3336,0x3228,0x0643,0x0644,0x0645,0x0646,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x060A
