map,BattleTower_BattleRoom_Layout,width,10,height,9,primary,gTileset_Building,secondary,gTileset_BattleTower
y\x,0,1,2,3,4,5,6,7,8,9
0,0x062F,0x062F,0x062F,0x064C,0x064D,0x064D,0x064E,0x062F,0x062F,0x062F
1,0x063F,0x0637,0x0637,0x0654,0x3255,0x3255,0x0656,0x0637,0x0637,0x063F
2,0x0647,0x323C,0x323C,0x323C,0x323C,0x323C,0x323C,0x323C,0x323C,0x0615
3,0x323B,0x323A,0x3248,0x3242,0x3249,0x324A,0x3242,0x324B,0x323A,0x323A
4,0x323B,0x323A,0x3244,0x3250,0x3251,0x3252,0x3253,0x3245,0x323A,0x323A
5,0x323B,0x323A,0x3244,0x3258,0x3259,0x325A,0x325B,0x3245,0x323A,0x323A
6,0x323B,0x323A,0x3244,0x3260,0x3261,0x3262,0x3263,0x3245,0x323A,0x323A
7,0x327E,0x323A,0x3240,0x3243,0x3231,0x3239,0x3243,0x3241,0x323A,0x323E
8,0x067F,0x323A,0x323A,0x323A,0x3216,0x3217,0x323A,0x323A,0x323A,0x0646
