map,BattleTower_Outside_Layout,width,29,height,30,primary,gTileset_General,secondary,gTileset_Dewford
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x0680,0x0649,0x064A,0x064A,0x0678,0x0679,0x067A,0x067B,0x0662,0x064A,0x064A,0x0660,0x0681,0x0574,0x3170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
1,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x0591,0x04BE,0x0680,0x0649,0x064A,0x064A,0x0678,0x0679,0x067A,0x067B,0x0662,0x064A,0x064A,0x0660,0x0681,0x04BF,0x0591,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170
2,0x1170,0x1170,0x1170,0x0572,0x0591,0x04BE,0x046B,0x30D3,0x0672,0x0649,0x064A,0x064A,0x0678,0x0679,0x067A,0x067B,0x0662,0x064A,0x064A,0x0660,0x0673,0x30D4,0x046D,0x04BF,0x0574,0x1170,0x1170,0x1170,0x1170
3,0x1170,0x0572,0x0591,0x04EE,0x046B,0x04BE,0x0473,0x3001,0x066A,0x0649,0x064A,0x064A,0x0678,0x0679,0x067A,0x067B,0x0662,0x064A,0x064A,0x0660,0x066B,0x3001,0x30D4,0x046D,0x04BF,0x0574,0x1170,0x1170,0x1170
4,0x1178,0x0473,0x0471,0x04EE,0x0473,0x046B,0x30D3,0x3001,0x0648,0x0649,0x064A,0x064A,0x0678,0x0679,0x067A,0x067B,0x0662,0x064A,0x064A,0x0660,0x0661,0x3201,0x3201,0x0475,0x046D,0x04BF,0x0574,0x1170,0x1170
5,0x1192,0x0473,0x046B,0x04BE,0x0473,0x0473,0x0602,0x0602,0x0648,0x0649,0x064A,0x064A,0x0678,0x0679,0x067A,0x067B,0x0662,0x064A,0x064A,0x0660,0x0661,0x0607,0x0607,0x0475,0x0475,0x0471,0x0475,0x0574,0x1170
6,0x1192,0x0473,0x0473,0x0471,0x0473,0x0473,0x0602,0x3001,0x0648,0x0649,0x064A,0x064A,0x064B,0x064C,0x064D,0x064E,0x064F,0x064A,0x064A,0x0660,0x0661,0x3201,0x0607,0x0475,0x0475,0x0471,0x0475,0x0475,0x1179
7,0x1192,0x0473,0x0473,0x0471,0x0473,0x0473,0x3001,0x3001,0x0650,0x0651,0x0652,0x0652,0x0653,0x0654,0x0655,0x0656,0x0657,0x0652,0x0652,0x0668,0x0669,0x3201,0x3201,0x0475,0x0475,0x0471,0x0475,0x0475,0x1179
8,0x1192,0x0473,0x0473,0x046B,0x04BE,0x0473,0x0602,0x3001,0x3258,0x3259,0x325A,0x325A,0x065B,0x065C,0x065D,0x065E,0x065F,0x325A,0x325A,0x3270,0x3271,0x3201,0x0607,0x0475,0x0475,0x0471,0x0475,0x0475,0x1190
9,0x1192,0x0473,0x0473,0x0473,0x0471,0x0473,0x3001,0x3001,0x3001,0x3277,0x326F,0x3201,0x3263,0x3264,0x3265,0x3266,0x3267,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0475,0x0475,0x0471,0x0475,0x0475,0x1190
