map,CableCarStation_Layout,width,13,height,12,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x0219,0x0618,0x0219,0x06F8,0x06F8,0x0219,0x0618,0x0219,0x06F8,0x06F8,0x0219,0x0618,0x0219
1,0x0621,0x0620,0x0621,0x0700,0x0700,0x0621,0x0620,0x0621,0x0700,0x0700,0x0621,0x0620,0x0621
2,0x32F3,0x32F2,0x32F3,0x32F3,0x32F3,0x32F3,0x32F2,0x32F3,0x32F3,0x32F3,0x32F3,0x32F2,0x32F3
3,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9
4,0x0708,0x0708,0x06F4,0x06F5,0x0708,0x0709,0x32F6,0x070A,0x0708,0x0708,0x0708,0x0708,0x0708
5,0x0710,0x0710,0x0710,0x0710,0x0710,0x0711,0x32F0,0x0712,0x0710,0x0710,0x0710,0x0710,0x0710
6,0x0718,0x0718,0x0718,0x0718,0x0718,0x0719,0x32F0,0x071A,0x0718,0x0718,0x0718,0x0718,0x0718
7,0x3303,0x3320,0x3320,0x3320,0x3320,0x3321,0x32F0,0x0322,0x3320,0x3320,0x3320,0x3320,0x06FA
8,0x330B,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x0702
9,0x3313,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x06FB
10,0x331B,0x32F0,0x02F0,0x02F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x02F0,0x02F0,0x32F0,0x32F0
11,0x3323,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x0206,0x0207,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0
