map,CaveOfOrigin_Entrance_Layout,width,19,height,26,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733
1,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x071C,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x071D,0x0733,0x0733,0x0733,0x0733,0x0733
2,0x0733,0x0733,0x071C,0x0729,0x0729,0x0729,0x072A,0x071C,0x0729,0x0729,0x0729,0x071D,0x0733,0x0728,0x0729,0x0729,0x071D,0x0733,0x0733
3,0x0733,0x0733,0x0722,0x071C,0x0729,0x0729,0x0729,0x072A,0x0733,0x0733,0x0733,0x0728,0x0729,0x0729,0x0729,0x071D,0x0720,0x0733,0x0733
4,0x0733,0x0733,0x0722,0x0722,0x071C,0x0729,0x0729,0x0729,0x072D,0x072E,0x072F,0x0729,0x0729,0x071D,0x0733,0x0720,0x0728,0x071D,0x0733
5,0x0733,0x0733,0x0722,0x0722,0x0722,0x0733,0x071C,0x0729,0x0735,0x3336,0x0737,0x0729,0x071D,0x0720,0x0733,0x0720,0x0733,0x0720,0x0733
6,0x0733,0x071C,0x072A,0x0722,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0720,0x0733,0x0728,0x071D,0x0720,0x0733
7,0x0733,0x0722,0x0733,0x0722,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0720,0x0733,0x0733,0x0720,0x0720,0x0733
8,0x0733,0x0722,0x0733,0x0722,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0720,0x0733,0x0733,0x0720,0x0720,0x0733
9,0x0733,0x0722,0x0733,0x0722,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0728,0x071D,0x0733,0x0720,0x0728,0x071D
10,0x071C,0x072A,0x071C,0x072A,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0720,0x0733,0x0720,0x0733,0x0720
11,0x0722,0x0733,0x0722,0x0733,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0720,0x0733,0x0720,0x0733,0x0720
12,0x0722,0x0733,0x0722,0x0733,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0728,0x071D,0x0720,0x0733,0x0720
13,0x0722,0x0733,0x0722,0x0733,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0733,0x0720,0x0720,0x0733,0x0720
14,0x0722,0x0733,0x0722,0x0733,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0733,0x0720,0x0728,0x071D,0x0720
15,0x0722,0x071C,0x072A,0x0733,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0733,0x0720,0x0733,0x0720,0x0720
16,0x0722,0x0722,0x0733,0x0733,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0733,0x0720,0x0733,0x0720,0x0720
17,0x0722,0x0722,0x0733,0x0733,0x0722,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x070F,0x0724,0x0733,0x0720,0x0720
18,0x0722,0x0722,0x0733,0x071C,0x072A,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0720,0x0733,0x0733,0x0720,0x0720
19,0x0722,0x0722,0x0733,0x0722,0x0733,0x0733,0x0722,0x331B,0x3333,0x3333,0x3333,0x331B,0x0720,0x0733,0x0720,0x0733,0x0733,0x0720,0x0720
20,0x0722,0x0722,0x0733,0x0722,0x0733,0x0733,0x0722,0x331B,0x3333,0x3323,0x3333,0x331B,0x0720,0x0733,0x0720,0x0733,0x0733,0x0720,0x0720
21,0x0722,0x0725,0x0717,0x0722,0x0733,0x0733,0x0724,0x0732,0x0738,0x0739,0x073A,0x0732,0x0724,0x0733,0x0720,0x0733,0x0733,0x0720,0x0720
22,0x0722,0x0733,0x0722,0x0724,0x0732,0x0732,0x0732,0x0717,0x0733,0x0733,0x0733,0x070F,0x0732,0x0732,0x0724,0x0733,0x0733,0x0720,0x0720
23,0x0722,0x0733,0x0722,0x0733,0x0733,0x0733,0x0733,0x0724,0x0732,0x0732,0x0732,0x0724,0x0733,0x0733,0x0733,0x0733,0x0733,0x0720,0x0720
24,0x0722,0x0733,0x0724,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0724,0x0720
25,0x0724,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0717,0x0733,0x0733,0x0733,0x070F,0x0732,0x0732,0x0732,0x0732,0x0732,0x0724
