map,ContestHall_Layout,width,21,height,18,primary,gTileset_Building,secondary,gTileset_Contest
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F
1,0x0611,0x0611,0x0611,0x0611,0x066E,0x0611,0x0611,0x0611,0x0611,0x0611,0x066E,0x0611,0x0611,0x0611,0x0611,0x0611,0x066E,0x0611,0x0611,0x0611,0x0611
2,0x0613,0x0613,0x0613,0x0613,0x0280,0x0613,0x0613,0x0613,0x0613,0x0613,0x0280,0x0613,0x0613,0x0613,0x0613,0x0613,0x0280,0x0613,0x0613,0x0613,0x0613
3,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662
4,0x3220,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3222
5,0x3228,0x3260,0x3260,0x060C,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060E,0x3266,0x3260,0x322A
6,0x3228,0x3260,0x3260,0x0624,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x0626,0x3266,0x3260,0x322A
7,0x3228,0x3260,0x3260,0x0624,0x3225,0x3225,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x3225,0x3225,0x0626,0x3266,0x3260,0x322A
8,0x3228,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x326F,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x322A
9,0x3228,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3281,0x0271,0x4277,0x0271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x322A
10,0x3228,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3289,0x3271,0x0271,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x322A
11,0x3228,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x322A
12,0x3228,0x3260,0x3260,0x0624,0x3225,0x3225,0x0678,0x0679,0x0679,0x326B,0x326C,0x326D,0x0679,0x0679,0x067A,0x3225,0x3225,0x0626,0x3266,0x3260,0x322A
13,0x3228,0x3260,0x3260,0x0614,0x3215,0x3215,0x3215,0x3215,0x3215,0x3273,0x3274,0x3275,0x3215,0x3215,0x3215,0x3215,0x3215,0x0616,0x3266,0x3260,0x322A
14,0x3228,0x3260,0x3260,0x061C,0x061D,0x061D,0x061D,0x061D,0x3619,0x3273,0x3274,0x3275,0x3619,0x061D,0x061D,0x061D,0x061D,0x061E,0x3266,0x3260,0x322A
15,0x3228,0x3260,0x3260,0x32C6,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x3267,0x3260,0x322A
16,0x3228,0x3260,0x324A,0x3260,0x3260,0x324A,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x324A,0x3260,0x3260,0x324A,0x3260,0x322A
17,0x3228,0x3260,0x3652,0x3260,0x3260,0x3652,0x3260,0x3260,0x3260,0x3260,0x0204,0x0205,0x3260,0x3260,0x3260,0x3652,0x3260,0x3260,0x3652,0x3260,0x322A
