map,DewfordTown_Gym_Layout,width,18,height,28,primary,gTileset_Building,secondary,gTileset_DewfordGym
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0x0608,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0609
1,0x060A,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x061F,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0611
2,0x060A,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060C,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061D
3,0x060A,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060C,0x060F,0x0629,0x062A,0x062A,0x062A,0x060F,0x061D
4,0x060A,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060C,0x0616,0x322B,0x3239,0x323A,0x3201,0x0616,0x061D
5,0x0610,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x063B,0x3238,0x3224,0x3201,0x3201,0x3201,0x3234,0x0619
6,0x061D,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x060A,0x0627,0x3231,0x3201,0x3201,0x3202,0x0626,0x060C
7,0x061D,0x322C,0x322D,0x322E,0x322F,0x3223,0x3223,0x322D,0x322F,0x3223,0x060A,0x060B,0x060C,0x322B,0x3201,0x060A,0x060B,0x060C
8,0x061D,0x322B,0x060A,0x060B,0x060C,0x322B,0x3201,0x060A,0x060C,0x322B,0x060A,0x060B,0x060C,0x322B,0x3201,0x060A,0x060B,0x060C
9,0x061D,0x322B,0x060A,0x060B,0x060C,0x322B,0x3201,0x060A,0x060C,0x322B,0x0612,0x0613,0x0614,0x322B,0x3201,0x060A,0x060B,0x060C
10,0x0618,0x3237,0x0626,0x060B,0x060C,0x322B,0x3201,0x060A,0x060C,0x322B,0x061A,0x061B,0x061C,0x322B,0x3201,0x060A,0x060B,0x060C
11,0x060A,0x060B,0x060B,0x060B,0x060C,0x322B,0x3201,0x060A,0x0627,0x3237,0x3235,0x322E,0x322E,0x3236,0x3203,0x0626,0x060B,0x060C
12,0x060A,0x061F,0x0613,0x0613,0x0614,0x322B,0x3201,0x060A,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060C
13,0x060A,0x060C,0x061B,0x061B,0x061C,0x322B,0x3201,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x061E,0x060C
14,0x060A,0x060C,0x322C,0x322D,0x322F,0x3224,0x3201,0x061A,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x060A,0x060C
15,0x060A,0x060C,0x322B,0x060A,0x060C,0x322B,0x3201,0x3234,0x322E,0x322E,0x322E,0x322F,0x3223,0x322D,0x322E,0x322E,0x0626,0x060C
16,0x060A,0x060C,0x322B,0x060A,0x060C,0x322B,0x3201,0x060A,0x060B,0x060B,0x060B,0x060C,0x322B,0x060A,0x060B,0x060B,0x060B,0x060C
17,0x060A,0x0627,0x3237,0x0626,0x060C,0x322B,0x3201,0x060A,0x060B,0x060B,0x060B,0x060C,0x322B,0x060A,0x060B,0x060B,0x060B,0x060C
18,0x060A,0x060B,0x060B,0x060B,0x0627,0x3237,0x3203,0x063C,0x0613,0x061E,0x060B,0x060C,0x322B,0x060A,0x060B,0x060B,0x060B,0x060C
19,0x060A,0x061F,0x0613,0x061E,0x060B,0x060B,0x060B,0x060C,0x061B,0x060A,0x060B,0x060C,0x322B,0x060A,0x060B,0x060B,0x060B,0x060C
20,0x060A,0x060C,0x061B,0x0612,0x0613,0x0613,0x0613,0x0614,0x322C,0x0612,0x0613,0x0614,0x322B,0x060A,0x060B,0x060B,0x060B,0x060C
21,0x060A,0x060C,0x322C,0x061A,0x061B,0x061B,0x061B,0x061C,0x322B,0x061A,0x061B,0x061C,0x322B,0x060A,0x060B,0x060B,0x060B,0x060C
22,0x060A,0x0627,0x3231,0x3222,0x3223,0x3223,0x3223,0x3223,0x3232,0x3235,0x322E,0x322F,0x3224,0x060A,0x060B,0x060B,0x060B,0x060C
23,0x060A,0x060B,0x0627,0x3231,0x3205,0x3201,0x3201,0x3205,0x060A,0x060B,0x060B,0x060C,0x322B,0x060A,0x060B,0x060B,0x060B,0x060C
24,0x060A,0x060B,0x060B,0x060C,0x060D,0x322B,0x3201,0x060D,0x060A,0x060B,0x060B,0x0627,0x3237,0x0626,0x060B,0x060B,0x060B,0x060C
25,0x060A,0x060B,0x060B,0x0627,0x3238,0x3224,0x3201,0x3234,0x0626,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060C
26,0x0612,0x0613,0x0613,0x0613,0x0614,0x3201,0x3201,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0614
27,0x061A,0x061B,0x061B,0x061B,0x061C,0x0206,0x0207,0x061A,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061B,0x061C
