map,DewfordTown_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Dewford
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x0643,0x0611,0x0612,0x320C,0x320C,0x320D,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x157A,0x0643,0x0643,0x0643,0x3239,0x0643,0x3239
1,0x0643,0x0613,0x0614,0x0614,0x0614,0x0615,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x157A,0x0643,0x063A,0x0643,0x0643,0x0643,0x0643
2,0x063A,0x060E,0x061F,0x061D,0x061E,0x060F,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x157A,0x0643,0x3239,0x0643,0x0643,0x063A,0x0643
3,0x3239,0x0616,0x0627,0x0625,0x0626,0x0617,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x357A,0x0643,0x0643,0x063A,0x0643,0x3239,0x063A
4,0x0643,0x3124,0x0403,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3239,0x3239,0x1125,0x1170,0x057A,0x0643,0x0643,0x3239,0x0643,0x0643,0x3239
5,0x063A,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x320B,0x320C,0x0612,0x0618,0x1125,0x1170,0x057A,0x063A,0x063A,0x063A,0x0643,0x0643,0x0643
6,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0613,0x0614,0x0614,0x0615,0x1125,0x1170,0x1582,0x1479,0x1479,0x1489,0x063A,0x063A,0x063A
7,0x3124,0x3203,0x3204,0x3205,0x3206,0x3124,0x3124,0x060E,0x061D,0x061E,0x060F,0x1125,0x1170,0x1170,0x1170,0x1170,0x1582,0x1479,0x1479,0x1479
8,0x3124,0x0450,0x0451,0x0452,0x0453,0x3124,0x3124,0x0616,0x0625,0x0626,0x0617,0x1125,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
9,0x3124,0x0458,0x0459,0x045A,0x045B,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3228,0x3229,0x3229,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
10,0x3124,0x0609,0x0461,0x0462,0x060A,0x3124,0x3124,0x3124,0x3124,0x3124,0x0403,0x0630,0x0631,0x0631,0x111B,0x311C,0x311C,0x311C,0x311C,0x311C
11,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x313E,0x311C,0x311C,0x313D,0x3124,0x320B,0x320C,0x320C,0x320D
12,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0613,0x0614,0x0614,0x0615
13,0x3124,0x3124,0x3124,0x3124,0x3124,0x321A,0x321B,0x321B,0x321B,0x321B,0x321C,0x3124,0x3124,0x3124,0x3124,0x3124,0x060E,0x061D,0x061E,0x060F
14,0x3239,0x3124,0x3124,0x3124,0x3124,0x0622,0x0623,0x0623,0x0623,0x0623,0x0624,0x3124,0x3124,0x3124,0x3124,0x3124,0x0616,0x0625,0x0626,0x0617
15,0x0643,0x3124,0x3124,0x3124,0x3124,0x062B,0x062C,0x062D,0x05B3,0x062E,0x062F,0x3208,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x04E2,0x3239
16,0x0643,0x3124,0x3124,0x3124,0x3124,0x0633,0x0634,0x0635,0x05C5,0x0636,0x0637,0x0610,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0643
17,0x063A,0x3239,0x3124,0x3124,0x3124,0x323B,0x323C,0x063D,0x05CD,0x063E,0x323F,0x3124,0x3124,0x3124,0x3124,0x3124,0x3239,0x3239,0x3239,0x063A
18,0x3239,0x0643,0x3239,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x34E2,0x3239,0x3239,0x063A,0x0643,0x0643,0x04E2
19,0x0643,0x0643,0x0643,0x3239,0x3239,0x3239,0x3239,0x3239,0x3239,0x3239,0x3239,0x3239,0x3239,0x3239,0x0643,0x0643,0x3239,0x0643,0x0643,0x3239
