map,EverGrandeCity_ChampionsRoom_Layout,width,13,height,13,primary,gTileset_Building,secondary,gTileset_EliteFour
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x0401,0x06E8,0x06E9,0x06EA,0x06EA,0x06EA,0x06EB,0x06EA,0x06EA,0x06EA,0x06EE,0x06EF,0x0401
1,0x06E8,0x06E9,0x06F1,0x06F2,0x06F2,0x071D,0x071E,0x071F,0x06F2,0x06F2,0x06F6,0x06EE,0x06EF
2,0x06E9,0x06F1,0x06F9,0x06FA,0x06FA,0x0725,0x0726,0x0727,0x06FA,0x06FA,0x06FE,0x06F6,0x06EE
3,0x06F1,0x06F9,0x0701,0x0702,0x0702,0x333E,0x32DA,0x333F,0x0702,0x0702,0x0706,0x06FE,0x06F6
4,0x06F9,0x0701,0x0709,0x070A,0x330B,0x32E1,0x32E2,0x32E2,0x330B,0x070D,0x070E,0x0706,0x06FE
5,0x0701,0x0709,0x0711,0x3312,0x3313,0x3313,0x3313,0x3313,0x3313,0x3315,0x0716,0x070E,0x0706
6,0x0709,0x06F0,0x3304,0x3313,0x3313,0x3313,0x3313,0x3313,0x3313,0x3313,0x3305,0x06F7,0x070E
7,0x06F0,0x06F8,0x3304,0x3313,0x3313,0x3313,0x3313,0x3313,0x3313,0x3313,0x3305,0x06FF,0x06F7
8,0x06F8,0x0700,0x0718,0x3319,0x3313,0x3313,0x3313,0x3313,0x3313,0x331B,0x071C,0x0707,0x06FF
9,0x070C,0x0708,0x0720,0x0721,0x3322,0x3322,0x3322,0x3322,0x3322,0x0723,0x0724,0x070F,0x0714
10,0x06F4,0x06EC,0x0728,0x0729,0x072A,0x332D,0x332E,0x332F,0x072A,0x072B,0x072C,0x06ED,0x06F5
11,0x06FC,0x06F4,0x073C,0x0731,0x0732,0x3335,0x3336,0x3337,0x0732,0x0733,0x073D,0x06F5,0x06FD
12,0x0401,0x06FC,0x0738,0x0739,0x0732,0x3335,0x3336,0x3337,0x0732,0x073A,0x073B,0x06FD,0x0401
