map,EverGrandeCity_Corridor4_Layout,width,11,height,34,primary,gTileset_Building,secondary,gTileset_EliteFour
y\x,0,1,2,3,4,5,6,7,8,9,10
0,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
1,0x06D5,0x06D6,0x06D5,0x06D6,0x0601,0x0744,0x0603,0x06D5,0x06D6,0x06D5,0x06D6
2,0x060C,0x060D,0x060C,0x060D,0x0609,0x0345,0x060B,0x060C,0x060D,0x060C,0x060D
3,0x32D1,0x32D1,0x32D1,0x32D1,0x32D1,0x32D1,0x32D1,0x32D1,0x32D1,0x32D1,0x32D1
4,0x32D0,0x32D0,0x32D0,0x32D0,0x32D0,0x32D0,0x32D0,0x32D0,0x32D0,0x32D0,0x32D0
5,0x06DC,0x06DC,0x06DC,0x06D8,0x32D9,0x32DA,0x32DA,0x06DB,0x06DC,0x06DC,0x06DC
6,0x06E4,0x06E4,0x06E4,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E4,0x06E4,0x06E4
7,0x06E7,0x034A,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x034A,0x06E7
8,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
9,0x06E7,0x034A,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x034A,0x06E7
10,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
11,0x06E7,0x034A,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x034A,0x06E7
12,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
13,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
14,0x06E7,0x034A,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x034A,0x06E7
15,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
16,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
17,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
18,0x06E7,0x034A,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x034A,0x06E7
19,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
20,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
21,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
22,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
23,0x06E7,0x034A,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x034A,0x06E7
24,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
25,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
26,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
27,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
28,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
29,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
30,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
31,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
32,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
33,0x06E7,0x06E7,0x06E7,0x06E0,0x32E1,0x32E2,0x32E2,0x06E3,0x06E7,0x06E7,0x06E7
