map,EverGrandeCity_DrakesRoom_Layout,width,13,height,14,primary,gTileset_Building,secondary,gTileset_EliteFour
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x060F,0x0607,0x060F,0x0607,0x060F,0x0608,0x0608,0x0608,0x0607,0x060F,0x0607,0x060F,0x0607
1,0x0605,0x0604,0x0605,0x0604,0x0605,0x0601,0x0602,0x0603,0x0604,0x0605,0x0604,0x0605,0x0604
2,0x060D,0x060C,0x060D,0x060C,0x060D,0x0609,0x060A,0x060B,0x060C,0x060D,0x060C,0x060D,0x060C
3,0x32A2,0x32A2,0x32A2,0x32A2,0x32A2,0x32B8,0x32B8,0x32B8,0x32A2,0x32A2,0x32A2,0x32A2,0x32A2
4,0x06CE,0x06A6,0x32BC,0x32BC,0x32A0,0x32A3,0x32A3,0x32A3,0x32A4,0x32BC,0x32BC,0x06A7,0x06A5
5,0x06AD,0x06AE,0x32BC,0x32BC,0x32A8,0x32A9,0x32AA,0x32AB,0x32AC,0x32BC,0x32BC,0x06AF,0x06AD
6,0x06B5,0x06B6,0x32BC,0x32BC,0x32B0,0x32B1,0x32B2,0x32B3,0x32B4,0x32BC,0x32BC,0x06B7,0x06B5
7,0x06BD,0x06A1,0x32BC,0x32BC,0x32A8,0x32B9,0x32BA,0x32BB,0x32AC,0x32BC,0x32BC,0x06B7,0x06BD
8,0x06BD,0x06BE,0x32BC,0x32BC,0x32A8,0x32C1,0x32C2,0x32C3,0x32AC,0x32BC,0x32BC,0x06BF,0x06BD
9,0x32CD,0x32C6,0x32BC,0x32BC,0x32C8,0x32CB,0x32CB,0x32CB,0x32CC,0x32BC,0x32BC,0x32C7,0x32C5
10,0x32CA,0x32C9,0x32C9,0x32C9,0x32C9,0x32C9,0x32C9,0x32C9,0x32C9,0x32C9,0x32C9,0x32C9,0x32C9
11,0x3207,0x320F,0x3207,0x320F,0x3208,0x3208,0x3208,0x3208,0x3208,0x3207,0x320F,0x3207,0x320F
12,0x06D5,0x06D6,0x06D5,0x06D6,0x06E5,0x32BC,0x32BC,0x32BC,0x06D7,0x06D5,0x06D6,0x06D5,0x06D6
13,0x0748,0x0749,0x0748,0x0749,0x06E6,0x32C4,0x32C4,0x32C4,0x06DF,0x0748,0x0749,0x0748,0x0749
