map,EverGrandeCity_GlaciasRoom_Layout,width,13,height,14,primary,gTileset_Building,secondary,gTileset_EliteFour
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x060F,0x0607,0x060F,0x0607,0x060F,0x0608,0x0608,0x0608,0x0607,0x060F,0x0607,0x060F,0x0607
1,0x0605,0x0604,0x0605,0x0604,0x0605,0x0601,0x0602,0x0603,0x0604,0x0605,0x0604,0x0605,0x0604
2,0x060D,0x060C,0x060D,0x060C,0x060D,0x0609,0x060A,0x060B,0x060C,0x060D,0x060C,0x060D,0x060C
3,0x3272,0x3272,0x3272,0x3272,0x3272,0x3288,0x3288,0x3288,0x3272,0x3272,0x3272,0x3272,0x3272
4,0x069E,0x0676,0x328C,0x328C,0x3270,0x3273,0x3273,0x3273,0x3274,0x328C,0x328C,0x0677,0x0675
5,0x067D,0x067E,0x328C,0x328C,0x3278,0x3279,0x327A,0x327B,0x327C,0x328C,0x328C,0x067F,0x067D
6,0x0685,0x0686,0x328C,0x328C,0x3280,0x3281,0x3282,0x3283,0x3284,0x328C,0x328C,0x0687,0x0685
7,0x068D,0x0671,0x328C,0x328C,0x3278,0x3289,0x328A,0x328B,0x327C,0x328C,0x328C,0x0687,0x068D
8,0x068D,0x068E,0x328C,0x328C,0x3278,0x3291,0x3292,0x3293,0x327C,0x328C,0x328C,0x068F,0x068D
9,0x329D,0x3296,0x328C,0x328C,0x3298,0x329B,0x329B,0x329B,0x329C,0x328C,0x328C,0x3297,0x3295
10,0x329A,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299,0x3299
11,0x3207,0x320F,0x3207,0x320F,0x3208,0x3208,0x3208,0x3208,0x3208,0x3207,0x320F,0x3207,0x320F
12,0x06D5,0x06D6,0x06D5,0x06D6,0x06E5,0x328C,0x328C,0x328C,0x06D7,0x06D5,0x06D6,0x06D5,0x06D6
13,0x0748,0x0749,0x0748,0x0749,0x06E6,0x3294,0x3294,0x3294,0x06DF,0x0748,0x0749,0x0748,0x0749
