map,EverGrandeCity_Layout,width,40,height,80,primary,gTileset_General,secondary,gTileset_EverGrande
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x0473,0x0473,0x0473,0x0473,0x0473,0x0473,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0608,0x0601,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0628,0x0631,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0471,0x0475,0x0475,0x0475,0x0475,0x0475,0x0475,0x5001,0x0475
1,0x0473,0x0473,0x0473,0x0473,0x0473,0x0473,0x0473,0x0471,0x0471,0x0471,0x0471,0x0474,0x047D,0x0642,0x0611,0x0612,0x0612,0x0612,0x0612,0x0612,0x0612,0x0612,0x0638,0x0643,0x047B,0x0489,0x0471,0x0471,0x0471,0x0471,0x0475,0x0471,0x0475,0x0475,0x0475,0x0475,0x0475,0x5002,0x046A,0x0475
2,0x0473,0x0473,0x0473,0x0473,0x0473,0x0473,0x0473,0x0471,0x0471,0x0474,0x047C,0x047D,0x0471,0x0600,0x0601,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0628,0x0629,0x0471,0x047B,0x047C,0x0489,0x0471,0x0471,0x0475,0x0471,0x0475,0x0475,0x0475,0x0475,0x0472,0x5001,0x0475,0x0475
3,0x0473,0x0473,0x0473,0x0473,0x0473,0x0473,0x047B,0x047C,0x047C,0x047D,0x0474,0x0491,0x0644,0x0608,0x0609,0x060A,0x060B,0x060C,0x060D,0x060E,0x060F,0x060A,0x0630,0x0631,0x0644,0x0491,0x0489,0x047B,0x047C,0x047C,0x047D,0x0471,0x0475,0x0475,0x0475,0x0475,0x0475,0x0471,0x0475,0x0475
4,0x0473,0x0473,0x0473,0x0473,0x0473,0x047B,0x0489,0x0471,0x0471,0x0474,0x047A,0x700E,0x0632,0x0610,0x0611,0x0612,0x0613,0x0614,0x0615,0x0616,0x0617,0x0612,0x0638,0x0639,0x0632,0x7262,0x0677,0x0489,0x0471,0x0471,0x0471,0x0474,0x047D,0x0475,0x0475,0x0475,0x0475,0x0471,0x0475,0x0475
5,0x0473,0x0473,0x0473,0x0473,0x047B,0x0489,0x047B,0x0489,0x0471,0x0472,0x700E,0x04C6,0x0632,0x0618,0x0619,0x061A,0x061B,0x061C,0x061D,0x061E,0x061F,0x061A,0x0640,0x0641,0x0632,0x04C6,0x7262,0x0470,0x0471,0x0471,0x0471,0x0475,0x0471,0x0475,0x0475,0x0475,0x0475,0x0471,0x0475,0x50BE
6,0x0473,0x0473,0x0473,0x047B,0x0489,0x0478,0x0489,0x047B,0x0479,0x047A,0x04C6,0x04C6,0x0632,0x7001,0x0620,0x063F,0x7223,0x7224,0x7225,0x7226,0x7227,0x063F,0x063F,0x7222,0x0632,0x04C6,0x04C6,0x0478,0x0479,0x0479,0x0479,0x047D,0x0474,0x047A,0x0475,0x0475,0x50BE,0x046D,0x0475,0x0471
7,0x0473,0x0473,0x0473,0x0471,0x0473,0x728C,0x0478,0x0489,0x728A,0x7001,0x0416,0x04C6,0x0632,0x7001,0x063B,0x0620,0x7203,0x7204,0x7205,0x7206,0x7207,0x063F,0x063F,0x7222,0x0632,0x04C6,0x066A,0x728B,0x728A,0x7289,0x7288,0x0474,0x047A,0x528D,0x0475,0x0475,0x0471,0x0475,0x0475,0x0471
8,0x0473,0x0473,0x047B,0x0489,0x047B,0x0489,0x728C,0x0470,0x728A,0x728A,0x7001,0x0416,0x0632,0x7001,0x063B,0x063B,0x7221,0x7270,0x7271,0x7272,0x7222,0x063F,0x063F,0x7222,0x0632,0x066A,0x7222,0x728C,0x728B,0x728A,0x7289,0x0472,0x728F,0x528E,0x0475,0x50BE,0x046D,0x0475,0x50BE,0x046D
9,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x728D,0x0470,0x728B,0x728A,0x7001,0x7001,0x0632,0x7001,0x063B,0x063B,0x7001,0x723D,0x723D,0x723D,0x7222,0x063F,0x063F,0x7222,0x0632,0x7222,0x7222,0x728D,0x728C,0x728B,0x728A,0x0472,0x700E,0x500E,0x5002,0x046D,0x0475,0x0475,0x0471,0x0475
