map,EverGrandeCity_PhoebesRoom_Layout,width,13,height,14,primary,gTileset_Building,secondary,gTileset_EliteFour
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x060F,0x0607,0x060F,0x0607,0x060F,0x0608,0x0608,0x0608,0x0607,0x060F,0x0607,0x060F,0x0607
1,0x0605,0x0604,0x0605,0x0604,0x0605,0x0601,0x0602,0x0603,0x0604,0x0605,0x0604,0x0605,0x0604
2,0x060D,0x060C,0x060D,0x060C,0x060D,0x0609,0x060A,0x060B,0x060C,0x060D,0x060C,0x060D,0x060C
3,0x3242,0x3242,0x3242,0x3242,0x3242,0x3258,0x3258,0x3258,0x3242,0x3242,0x3242,0x3242,0x3242
4,0x0645,0x0646,0x325C,0x325C,0x3240,0x3243,0x3243,0x3243,0x3244,0x325C,0x325C,0x0647,0x0641
5,0x064D,0x064E,0x325C,0x325C,0x3248,0x3249,0x324A,0x324B,0x324C,0x325C,0x325C,0x064F,0x0740
6,0x0655,0x0656,0x325C,0x325C,0x3250,0x3251,0x3252,0x3253,0x3254,0x325C,0x325C,0x0657,0x0741
7,0x065D,0x065E,0x325C,0x325C,0x3248,0x3259,0x325A,0x325B,0x324C,0x325C,0x325C,0x0657,0x0742
8,0x0665,0x0666,0x325C,0x325C,0x3248,0x3261,0x3262,0x3263,0x324C,0x325C,0x325C,0x0667,0x0743
9,0x326D,0x326E,0x325C,0x325C,0x3268,0x326B,0x326B,0x326B,0x326C,0x325C,0x325C,0x326F,0x3260
10,0x326A,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269
11,0x3207,0x320F,0x3207,0x320F,0x3208,0x3208,0x3208,0x3208,0x3208,0x3207,0x320F,0x3207,0x320F
12,0x06D5,0x06D6,0x06D5,0x06D6,0x06E5,0x325C,0x325C,0x325C,0x06D7,0x06D5,0x06D6,0x06D5,0x06D6
13,0x0748,0x0749,0x0748,0x0749,0x06E6,0x3264,0x3264,0x3264,0x06DF,0x0748,0x0749,0x0748,0x0749
