map,EverGrandeCity_PokemonLeague_Layout,width,19,height,12,primary,gTileset_Building,secondary,gTileset_PokemonCenter
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0x0608,0x060B,0x060B,0x064A,0x064B,0x060B,0x060C,0x060B,0x06B3,0x06B4,0x06B4,0x06B5,0x060D,0x060E,0x060B,0x060B,0x060B,0x060B,0x060F
1,0x0610,0x0622,0x0623,0x0652,0x0653,0x0649,0x0404,0x0613,0x06BB,0x32BC,0x32BC,0x06BD,0x0615,0x0616,0x0648,0x0613,0x0613,0x0613,0x0617
2,0x3273,0x062A,0x062B,0x3207,0x065B,0x0651,0x3224,0x321D,0x32C3,0x32C4,0x32C4,0x32C5,0x321E,0x321E,0x0650,0x327D,0x3229,0x3274,0x3275
3,0x0621,0x0621,0x0621,0x0605,0x0621,0x0659,0x323C,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x0658,0x0621,0x0605,0x0621,0x0621
4,0x3220,0x3206,0x3206,0x3206,0x3206,0x3206,0x3225,0x3240,0x3240,0x3230,0x3233,0x3240,0x3240,0x3240,0x3267,0x3206,0x3206,0x3206,0x3244
5,0x3220,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3276,0x327B,0x327B,0x3277,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3227
6,0x3296,0x325E,0x3202,0x3202,0x3240,0x3240,0x3240,0x3230,0x327B,0x3286,0x3287,0x327B,0x3233,0x3240,0x3240,0x3240,0x3240,0x325E,0x320A
7,0x069E,0x0666,0x3202,0x3202,0x3240,0x3240,0x3240,0x3238,0x327C,0x328E,0x328F,0x327C,0x323B,0x3240,0x3240,0x3240,0x3226,0x0666,0x0612
8,0x3220,0x3240,0x3226,0x063D,0x063E,0x3240,0x3240,0x3240,0x327E,0x327C,0x327C,0x327F,0x3240,0x3240,0x3240,0x063D,0x063E,0x3240,0x3227
9,0x3220,0x3240,0x3234,0x0645,0x0646,0x3226,0x3240,0x3240,0x3240,0x3241,0x3242,0x3240,0x3240,0x3240,0x3240,0x0645,0x0646,0x3234,0x3227
10,0x3220,0x3240,0x3240,0x3240,0x3234,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3202,0x3226,0x3234,0x3240,0x3227
11,0x0628,0x3202,0x3202,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3203,0x3204,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x3240,0x0637
