map,EverGrandeCity_SidneysRoom_Layout,width,13,height,14,primary,gTileset_Building,secondary,gTileset_EliteFour
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x060F,0x0607,0x060F,0x0607,0x060F,0x0608,0x0608,0x0608,0x0607,0x060F,0x0607,0x060F,0x0607
1,0x0605,0x0604,0x0605,0x0604,0x0605,0x0601,0x0602,0x0603,0x0604,0x0605,0x0604,0x0605,0x0604
2,0x060D,0x060C,0x060D,0x060C,0x060D,0x0609,0x060A,0x060B,0x060C,0x060D,0x060C,0x060D,0x060C
3,0x3212,0x3212,0x3212,0x3212,0x3212,0x3228,0x3228,0x3228,0x3212,0x3212,0x3212,0x3212,0x3212
4,0x063E,0x0616,0x322C,0x322C,0x3210,0x3213,0x3213,0x3213,0x3214,0x322C,0x322C,0x0617,0x0615
5,0x061D,0x061E,0x322C,0x322C,0x3218,0x3219,0x321A,0x321B,0x321C,0x322C,0x322C,0x061F,0x061D
6,0x0625,0x0626,0x322C,0x322C,0x3220,0x3221,0x3222,0x3223,0x3224,0x322C,0x322C,0x0627,0x0625
7,0x063F,0x063A,0x322C,0x322C,0x3218,0x3229,0x322A,0x322B,0x321C,0x322C,0x322C,0x0627,0x063F
8,0x062D,0x062E,0x322C,0x322C,0x3218,0x3231,0x3232,0x3233,0x321C,0x322C,0x322C,0x062F,0x062D
9,0x323D,0x3236,0x322C,0x322C,0x3238,0x323B,0x323B,0x323B,0x323C,0x322C,0x322C,0x3237,0x3235
10,0x3239,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211
11,0x3207,0x320F,0x3207,0x320F,0x3208,0x3208,0x3208,0x3208,0x3208,0x3207,0x320F,0x3207,0x320F
12,0x06D5,0x06D6,0x06D5,0x06D6,0x06E5,0x322C,0x322C,0x322C,0x06D7,0x06D5,0x06D6,0x06D5,0x06D6
13,0x0748,0x0749,0x0748,0x0749,0x06E6,0x3234,0x3234,0x3234,0x06DF,0x0748,0x0749,0x0748,0x0749
