map,FallarborTown_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Fallarbor
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x031E,0x0715,0x0679,0x0679,0x0679,0x0679,0x0679
1,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x031D,0x031E,0x031E,0x031E,0x031E,0x031E
2,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x067A,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A
3,0x0722,0x0723,0x0723,0x0724,0x06C2,0x06C3,0x0700,0x0701,0x0701,0x0701,0x0702,0x066A,0x067A,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x067A
4,0x0685,0x0686,0x0686,0x0687,0x36CA,0x36CB,0x06B0,0x06B3,0x06B3,0x06B3,0x06B4,0x067A,0x0669,0x06A0,0x06A1,0x06A2,0x06A3,0x066A,0x067A,0x0669
5,0x068D,0x069D,0x069E,0x068F,0x32A7,0x3279,0x0708,0x0709,0x0709,0x0709,0x070A,0x3271,0x3271,0x0450,0x0451,0x0452,0x0453,0x067A,0x0669,0x0669
6,0x0695,0x06A5,0x06A6,0x0697,0x3279,0x3623,0x0710,0x0711,0x05D3,0x0712,0x0713,0x3623,0x3279,0x0458,0x0459,0x045A,0x045B,0x3271,0x3271,0x3271
7,0x3279,0x3279,0x3279,0x0403,0x3279,0x3623,0x0718,0x0719,0x05DB,0x071A,0x071B,0x3623,0x3279,0x06A9,0x0461,0x0462,0x06AA,0x3279,0x3279,0x329F
8,0x329F,0x3279,0x3279,0x3279,0x3279,0x3279,0x0403,0x32E8,0x32E9,0x32EA,0x3279,0x3279,0x3279,0x3279,0x32E8,0x32EA,0x3279,0x3279,0x3279,0x3279
9,0x3279,0x32E8,0x32E9,0x32E9,0x32E9,0x32E9,0x32E9,0x32F1,0x32F1,0x32F1,0x32E9,0x32E9,0x32E9,0x32E9,0x32F1,0x32F1,0x32E9,0x32E9,0x32EA,0x3279
10,0x3279,0x32F8,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32F1,0x32F1,0x32F9,0x32F9,0x32F9,0x32F9,0x32F9,0x32FA,0x3279
11,0x3279,0x329F,0x329F,0x329F,0x329F,0x3279,0x3279,0x3279,0x3279,0x3279,0x0403,0x32F0,0x32F2,0x3279,0x3279,0x329F,0x329F,0x329F,0x329F,0x3279
12,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x32F0,0x32F2,0x3279,0x32BB,0x32A8,0x32A8,0x32BC,0x3279,0x3279
13,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3320,0x3321,0x3279,0x3279,0x32F0,0x32F2,0x3279,0x0430,0x0431,0x0432,0x0433,0x3279,0x329F
14,0x3279,0x3325,0x3326,0x3327,0x3279,0x327D,0x327E,0x3328,0x3329,0x3279,0x3279,0x32F0,0x32F2,0x3279,0x0438,0x0439,0x043A,0x043B,0x3206,0x3207
15,0x3279,0x332D,0x332E,0x332F,0x3279,0x0685,0x0686,0x0686,0x0687,0x3279,0x329F,0x32F0,0x32F2,0x3279,0x06A9,0x0441,0x0442,0x06AB,0x360E,0x3674
16,0x3279,0x3335,0x3336,0x3337,0x3279,0x068D,0x069D,0x069E,0x068F,0x3279,0x3279,0x32F0,0x32F1,0x32E9,0x32E9,0x32EA,0x3279,0x329F,0x3206,0x066C
17,0x3207,0x3279,0x3279,0x3279,0x3279,0x0695,0x06A5,0x06A6,0x0697,0x3279,0x3279,0x32F8,0x32F9,0x32F9,0x32F9,0x32FA,0x3279,0x3206,0x3673,0x3674
18,0x066B,0x3207,0x3206,0x3207,0x32A7,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3206,0x3207,0x3206,0x366C,0x066B,0x066C
19,0x066C,0x066B,0x066C,0x066B,0x3207,0x3206,0x3207,0x3206,0x3207,0x3206,0x3207,0x3206,0x3207,0x3206,0x0673,0x3674,0x0673,0x0674,0x3673,0x3674
