map,FortreeCity_Gym_Layout,width,20,height,25,primary,gTileset_Building,secondary,gTileset_FortreeGym
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x0618,0x0618,0x060B,0x0610,0x0610,0x0610,0x060F,0x0618,0x0618,0x0618,0x0618,0x0618,0x0610,0x0610,0x0610,0x0610,0x0610,0x0610,0x0610,0x0618
1,0x0618,0x0619,0x0613,0x3214,0x3215,0x3216,0x0617,0x0619,0x0619,0x0619,0x0619,0x0619,0x3204,0x3203,0x3203,0x3230,0x3203,0x3203,0x3203,0x0618
2,0x0618,0x0611,0x061B,0x321C,0x321D,0x321E,0x061F,0x0611,0x0611,0x0611,0x0611,0x0611,0x3205,0x3202,0x3232,0x0633,0x320E,0x3202,0x3202,0x0618
3,0x0618,0x3204,0x3206,0x3202,0x3202,0x3202,0x3202,0x3203,0x3222,0x3222,0x3222,0x3230,0x3206,0x3202,0x0633,0x0634,0x3205,0x3202,0x3202,0x0618
4,0x0618,0x3205,0x3202,0x3202,0x3202,0x3232,0x3208,0x3208,0x0620,0x0620,0x0620,0x0633,0x320E,0x3202,0x0634,0x3204,0x3224,0x3209,0x3209,0x0618
5,0x0618,0x3205,0x3202,0x3202,0x3202,0x0633,0x0619,0x0619,0x0611,0x0611,0x0611,0x0634,0x3205,0x3202,0x3203,0x3206,0x062C,0x061A,0x061A,0x0618
6,0x0618,0x3205,0x3202,0x3202,0x3202,0x0629,0x0611,0x061A,0x3204,0x3203,0x3222,0x3222,0x3231,0x3202,0x3232,0x3202,0x061A,0x061A,0x061A,0x0618
7,0x0618,0x3205,0x3202,0x3202,0x3202,0x0620,0x0628,0x061A,0x3205,0x3202,0x0620,0x0620,0x0633,0x320E,0x0633,0x320E,0x061A,0x061A,0x061A,0x0618
8,0x0618,0x3205,0x3202,0x3202,0x3202,0x0620,0x0619,0x061A,0x3205,0x3202,0x061A,0x061A,0x0629,0x3205,0x0634,0x3205,0x061A,0x061A,0x061A,0x0618
9,0x0618,0x060C,0x060D,0x060D,0x060D,0x0620,0x061A,0x061A,0x3205,0x3202,0x061A,0x061A,0x061A,0x3223,0x3222,0x3224,0x061A,0x061A,0x061A,0x0618
10,0x0618,0x3205,0x3202,0x3202,0x3202,0x0620,0x061A,0x061A,0x3205,0x3202,0x061A,0x061A,0x061A,0x061A,0x061A,0x061A,0x061A,0x061A,0x061A,0x0618
11,0x0618,0x3205,0x3202,0x3202,0x3202,0x0620,0x061A,0x061A,0x3205,0x3202,0x061A,0x061A,0x061A,0x0611,0x0611,0x0611,0x0611,0x0611,0x061A,0x0618
12,0x0618,0x3205,0x3202,0x3202,0x3202,0x0620,0x0611,0x061A,0x3205,0x3202,0x061A,0x061A,0x061A,0x3204,0x3203,0x3203,0x3203,0x3203,0x0611,0x0618
13,0x0618,0x060C,0x060D,0x060D,0x060D,0x0620,0x0628,0x061A,0x320A,0x320E,0x0611,0x0611,0x0611,0x3205,0x3232,0x3202,0x3232,0x3209,0x3203,0x0618
14,0x0618,0x3205,0x3202,0x3202,0x3202,0x0620,0x0619,0x061A,0x0618,0x3212,0x3209,0x3209,0x3209,0x3209,0x0633,0x320E,0x0633,0x062D,0x3205,0x0618
15,0x0618,0x3205,0x3202,0x3202,0x3202,0x0620,0x0611,0x061A,0x0618,0x061A,0x061A,0x061A,0x061A,0x061A,0x0633,0x3205,0x0634,0x0611,0x3205,0x0618
16,0x0618,0x3205,0x3202,0x3202,0x3202,0x0620,0x0628,0x061A,0x0618,0x061A,0x061A,0x061A,0x061A,0x061A,0x0629,0x3205,0x3222,0x3222,0x3224,0x0618
17,0x0618,0x060C,0x060D,0x060D,0x060D,0x0620,0x0619,0x061A,0x0618,0x061A,0x061A,0x061A,0x061A,0x061A,0x061A,0x3205,0x0620,0x0620,0x0620,0x0618
18,0x0618,0x3205,0x3202,0x3202,0x3202,0x0611,0x0611,0x0611,0x0619,0x061A,0x061A,0x061A,0x061A,0x061A,0x0620,0x3205,0x0611,0x0611,0x0611,0x0618
19,0x0618,0x3205,0x3202,0x3202,0x3202,0x3203,0x3203,0x3203,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x3205,0x3203,0x3203,0x3203,0x0618
20,0x0618,0x322E,0x3202,0x3202,0x3227,0x3202,0x3232,0x3209,0x3222,0x3222,0x3230,0x3203,0x3203,0x3203,0x3203,0x3206,0x3232,0x3209,0x3209,0x0618
21,0x0618,0x062F,0x3205,0x3202,0x062F,0x3205,0x0633,0x0620,0x0620,0x0620,0x0633,0x320E,0x3202,0x3202,0x3202,0x3202,0x0633,0x0620,0x0620,0x0618
22,0x0618,0x3204,0x3206,0x3202,0x3203,0x3206,0x0629,0x0620,0x0620,0x0620,0x0629,0x3223,0x3209,0x3208,0x3208,0x3208,0x0629,0x0620,0x0620,0x0618
23,0x0619,0x3212,0x3202,0x3202,0x3209,0x3208,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0619,0x0619,0x0619,0x0620,0x0620,0x0620,0x0619
24,0x0611,0x0611,0x0225,0x0226,0x0611,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
