map,FortreeCity_Layout,width,40,height,20,primary,gTileset_General,secondary,gTileset_Fortree
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x0624,0x0625,0x0626,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
1,0x04C7,0x0648,0x0649,0x064A,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x0624,0x0625,0x0626,0x04C6,0x04C6,0x04C6,0x062A,0x0624,0x0625,0x0626,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0624,0x0625,0x0626,0x04C6,0x04C6,0x04C6,0x062B,0x062C,0x062D,0x062E,0x062F,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
2,0x04C6,0x0650,0x0651,0x0652,0x0417,0x0417,0x0417,0x0417,0x062B,0x062C,0x062D,0x062E,0x062F,0x062A,0x062A,0x062B,0x062C,0x062D,0x062E,0x062F,0x04C6,0x04C6,0x04C6,0x062B,0x062C,0x062D,0x062E,0x062F,0x04C6,0x04C6,0x0633,0x0634,0x0235,0x0636,0x0637,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
3,0x04C7,0x0644,0x065C,0x0644,0x0448,0x0449,0x044A,0x044B,0x0633,0x0634,0x0235,0x0636,0x0637,0x04C6,0x04C6,0x0633,0x0634,0x0235,0x0636,0x0637,0x04C7,0x062A,0x062A,0x0633,0x0634,0x0235,0x0636,0x0637,0x04C6,0x062A,0x0633,0x423C,0x423E,0x423E,0x0637,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
4,0x04C7,0x04C6,0x04C7,0x04C7,0x0450,0x0451,0x0452,0x0453,0x0633,0x423C,0x423D,0x423E,0x423F,0x4256,0x4256,0x423B,0x423C,0x423E,0x423E,0x423F,0x4256,0x4256,0x4256,0x423B,0x423C,0x423D,0x423E,0x423F,0x4256,0x4256,0x423B,0x423C,0x423E,0x423E,0x0637,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
5,0x0417,0x04C7,0x04C7,0x04C6,0x0458,0x0459,0x045A,0x045B,0x0643,0x0646,0x0245,0x0646,0x0647,0x0644,0x0644,0x0643,0x0646,0x0646,0x0646,0x0647,0x0644,0x0644,0x0644,0x0643,0x0646,0x0245,0x0646,0x0647,0x0644,0x0644,0x0643,0x0646,0x0245,0x0646,0x0647,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
6,0x3001,0x0417,0x0417,0x0417,0x0460,0x0461,0x0462,0x0463,0x04C6,0x04C7,0x024D,0x04C7,0x0648,0x0649,0x064A,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x024D,0x04C7,0x04C7,0x0648,0x0649,0x064A,0x04C7,0x024D,0x04C7,0x04C7,0x04C7,0x04C7,0x0417,0x0417,0x0417
7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3258,0x3259,0x3259,0x0653,0x0653,0x3261,0x04C7,0x0650,0x0651,0x0652,0x04C7,0x04C7,0x04C7,0x04C7,0x0663,0x0664,0x0664,0x0664,0x0664,0x0665,0x3261,0x04C7,0x04C7,0x0650,0x0651,0x0652,0x04C7,0x3261,0x0653,0x0653,0x0653,0x0417,0x3001,0x3001,0x3001
8,0x3001,0x3001,0x3001,0x3001,0x3001,0x3260,0x3261,0x3261,0x3261,0x3261,0x3261,0x04C7,0x04C7,0x0241,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x05B2,0x05B3,0x05B3,0x05B3,0x05B3,0x05B4,0x3261,0x0653,0x04C7,0x04C7,0x0241,0x04C7,0x04C7,0x3261,0x3261,0x3261,0x3262,0x3001,0x3001,0x3001,0x3001
9,0x3001,0x3001,0x3001,0x3001,0x3001,0x3268,0x0403,0x3261,0x3261,0x3261,0x3261,0x04C7,0x04C7,0x0673,0x04C6,0x04C6,0x04C7,0x04C7,0x0653,0x05B8,0x05B9,0x05BA,0x05B3,0x05BB,0x05BC,0x3260,0x3255,0x04C7,0x04C7,0x0673,0x04C6,0x04C7,0x3261,0x3261,0x3261,0x326A,0x3001,0x3001,0x3001,0x3001
10,0x300E,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3268,0x3261,0x3261,0x3261,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C7,0x04C7,0x3001,0x05C0,0x05C1,0x05C2,0x05C5,0x05C3,0x05C4,0x3260,0x065D,0x04C7,0x04C6,0x04C6,0x062A,0x0653,0x3261,0x3261,0x326A,0x300F,0x300F,0x300F,0x300F,0x300F
