map,Harbor_Layout,width,24,height,15,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219,0x0219
1,0x03B2,0x03B6,0x03B6,0x03B2,0x03B2,0x03B2,0x03B6,0x03B6,0x03B2,0x03B2,0x03B2,0x03B6,0x03B6,0x03B2,0x03B2,0x03B2,0x03B6,0x03B6,0x03B2,0x03B2,0x03B2,0x03B6,0x03B6,0x03B2
2,0x03B2,0x03B7,0x03B7,0x03B2,0x03B2,0x03B2,0x03B7,0x03B7,0x03B2,0x03B2,0x03B2,0x03B7,0x03B7,0x03B2,0x03B2,0x03B2,0x03B7,0x03B7,0x03B2,0x03B2,0x03B2,0x03B7,0x03B7,0x03B2
3,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621
4,0x3203,0x3203,0x3203,0x074D,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E,0x074E
5,0x3203,0x3202,0x3202,0x0747,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571,0x1571
6,0x3203,0x3202,0x3202,0x0747,0x1571,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570
7,0x3203,0x3202,0x3202,0x0747,0x1571,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570
8,0x3203,0x3202,0x3202,0x0747,0x1571,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570
9,0x3203,0x3202,0x3202,0x0747,0x1571,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570
10,0x3203,0x3202,0x3202,0x0668,0x0756,0x0756,0x0757,0x335B,0x335B,0x0755,0x0756,0x0756,0x0756,0x0756,0x0756,0x0756,0x0756,0x0746,0x37DE,0x37DF,0x0756,0x0756,0x0756,0x0756
11,0x3203,0x3202,0x3202,0x3204,0x3204,0x3204,0x3204,0x3202,0x3202,0x3225,0x3204,0x3204,0x3225,0x3204,0x3204,0x3225,0x3204,0x0660,0x37DA,0x37DB,0x37D8,0x37D9,0x36B1,0x362A
12,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x0660,0x37DC,0x37DD,0x37DC,0x37DD,0x37D8,0x37D9
13,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x0660,0x362A,0x362A,0x362A,0x362A,0x37DA,0x37DB
14,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x0206,0x0207,0x3202,0x3202,0x3202,0x3202,0x0660,0x3628,0x3628,0x3628,0x3628,0x37DC,0x37DD
