map,LavaridgeTown_Gym_1F_Layout,width,11,height,24,primary,gTileset_Building,secondary,gTileset_LavaridgeGym
y\x,0,1,2,3,4,5,6,7,8,9,10
0,0x3608,0x3608,0x3608,0x3608,0x3608,0x0618,0x3608,0x3608,0x3608,0x3608,0x3608
1,0x3210,0x3210,0x3210,0x3210,0x3210,0x0611,0x3210,0x3210,0x3210,0x3210,0x3210
2,0x321E,0x321D,0x321D,0x321D,0x3205,0x0619,0x321E,0x321D,0x321D,0x3205,0x321D
3,0x3203,0x3202,0x3202,0x3202,0x3202,0x0619,0x3203,0x3202,0x3202,0x3202,0x3202
4,0x3203,0x3202,0x3202,0x3202,0x3202,0x0619,0x3203,0x3202,0x3202,0x3202,0x3202
5,0x3203,0x3202,0x3202,0x3202,0x3202,0x0619,0x3203,0x3202,0x3202,0x3202,0x3202
6,0x3203,0x3204,0x3202,0x3202,0x3204,0x0619,0x321E,0x3202,0x3202,0x3202,0x3204
7,0x0608,0x0608,0x0608,0x0608,0x0608,0x0618,0x0608,0x0608,0x0608,0x0608,0x0608
8,0x3210,0x3210,0x3210,0x3210,0x3210,0x0611,0x3210,0x3210,0x3210,0x3210,0x3210
9,0x3203,0x321D,0x321D,0x321D,0x3205,0x0619,0x3203,0x321D,0x321D,0x321D,0x321D
10,0x3203,0x3202,0x3202,0x3202,0x3202,0x0619,0x320A,0x320B,0x320B,0x320B,0x320C
11,0x321E,0x3202,0x3202,0x3202,0x3202,0x0619,0x3212,0x3213,0x3213,0x3213,0x3214
12,0x3203,0x3202,0x3202,0x3202,0x3204,0x0619,0x3203,0x3202,0x3202,0x3202,0x3202
13,0x3203,0x3202,0x3202,0x3202,0x3202,0x0619,0x3203,0x3202,0x3202,0x3202,0x3202
14,0x3203,0x3204,0x3202,0x3202,0x3202,0x0619,0x321E,0x3202,0x3202,0x3202,0x3204
15,0x0608,0x0608,0x0608,0x0608,0x0608,0x0618,0x0608,0x0608,0x0608,0x0608,0x0608
16,0x3210,0x3210,0x3210,0x3210,0x3210,0x0611,0x060D,0x3210,0x3210,0x3210,0x060D
17,0x321E,0x321D,0x321D,0x321D,0x3205,0x0619,0x0615,0x321D,0x321D,0x321D,0x0615
18,0x3203,0x3202,0x3202,0x3202,0x3202,0x0619,0x3203,0x3202,0x3202,0x3202,0x3202
19,0x3203,0x3202,0x3202,0x3202,0x3202,0x0619,0x3203,0x3202,0x3202,0x3202,0x3204
20,0x3203,0x3202,0x3202,0x3202,0x3202,0x0619,0x321E,0x3202,0x3202,0x3202,0x3202
21,0x3203,0x3202,0x3202,0x3204,0x3202,0x0619,0x3203,0x3202,0x3202,0x3202,0x3202
22,0x3203,0x3202,0x3202,0x3202,0x3202,0x0620,0x3203,0x3202,0x3202,0x3202,0x3202
23,0x321E,0x3202,0x3202,0x3202,0x3202,0x0628,0x3203,0x3202,0x3216,0x3217,0x3202
