map,LavaridgeTown_Gym_B1F_Layout,width,11,height,24,primary,gTileset_Building,secondary,gTileset_LavaridgeGym
y\x,0,1,2,3,4,5,6,7,8,9,10
0,0x3608,0x3608,0x3608,0x3608,0x3608,0x3608,0x3608,0x3608,0x3608,0x3608,0x3608
1,0x0210,0x0210,0x0210,0x0210,0x0210,0x0210,0x0210,0x0210,0x0210,0x0210,0x0210
2,0x3203,0x321D,0x321D,0x321D,0x321D,0x321D,0x321D,0x321D,0x321D,0x321F,0x321D
3,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
4,0x0608,0x0608,0x0609,0x0608,0x0608,0x0609,0x0608,0x0608,0x0609,0x0608,0x0608
5,0x3210,0x3210,0x0611,0x3210,0x3210,0x0611,0x3210,0x3210,0x0611,0x3210,0x3210
6,0x3203,0x321F,0x0619,0x3203,0x321D,0x0619,0x3203,0x321D,0x0619,0x3203,0x321D
7,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
8,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
9,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
10,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
11,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
12,0x060E,0x060F,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
13,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
14,0x3203,0x3206,0x0619,0x3203,0x3202,0x0619,0x3207,0x3202,0x0619,0x3203,0x3202
15,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
16,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
17,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202,0x0619,0x3203,0x3202
18,0x3203,0x3202,0x0621,0x3203,0x3202,0x0621,0x3203,0x3202,0x0621,0x3203,0x3202
19,0x060E,0x060F,0x0629,0x060E,0x060F,0x0629,0x060E,0x060F,0x0629,0x060E,0x060F
20,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3206,0x3202,0x3202,0x3202,0x3202
21,0x3203,0x3202,0x3202,0x3206,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
22,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
23,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
