map,LavaridgeTown_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Lavaridge
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x0671,0x0671,0x0671,0x0671,0x067B,0x0674,0x0674,0x0674,0x0674,0x0674,0x067C,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x0671,0x3618,0x3618
1,0x067B,0x0674,0x0674,0x0674,0x067A,0x3271,0x32AE,0x32AE,0x32AE,0x32AE,0x0678,0x0674,0x0674,0x0674,0x0674,0x0674,0x0674,0x0674,0x0674,0x0611
2,0x0672,0x067B,0x0699,0x069A,0x069B,0x069B,0x329C,0x069D,0x0674,0x329E,0x067C,0x0671,0x0671,0x0671,0x064E,0x064B,0x064C,0x064F,0x0671,0x3618
3,0x0672,0x0672,0x06A1,0x32A3,0x32BC,0x32A3,0x32A3,0x06A5,0x064A,0x0648,0x0649,0x064D,0x0679,0x0679,0x0430,0x0431,0x0432,0x0433,0x0611,0x0611
4,0x0672,0x0672,0x06A1,0x32BB,0x331D,0x331D,0x32BB,0x06A5,0x0450,0x0451,0x0452,0x0453,0x321E,0x321F,0x0438,0x0439,0x043A,0x043B,0x34C6,0x34C6
5,0x0672,0x0672,0x06A9,0x32AA,0x32A3,0x32BC,0x32AC,0x06AD,0x0458,0x0459,0x045A,0x045B,0x35D6,0x35D7,0x0460,0x0441,0x0442,0x0443,0x34C6,0x34C6
6,0x0672,0x0672,0x06B1,0x06B2,0x06B3,0x06B3,0x06B4,0x06B5,0x0460,0x0461,0x0462,0x0463,0x35E6,0x35E7,0x3004,0x3120,0x3122,0x3001,0x3416,0x3416
7,0x0672,0x0672,0x32BA,0x32A8,0x32A8,0x32A8,0x32B9,0x328A,0x3001,0x3120,0x3122,0x3001,0x3004,0x3004,0x3001,0x3120,0x3122,0x3001,0x3001,0x3001
8,0x0672,0x0672,0x32A8,0x3298,0x32A8,0x3298,0x328C,0x3292,0x3001,0x3120,0x3122,0x3001,0x3001,0x0403,0x3001,0x3120,0x3122,0x3001,0x3001,0x3001
9,0x0672,0x0672,0x02A8,0x42A0,0x02A8,0x42A0,0x028A,0x3001,0x3001,0x3120,0x3121,0x3119,0x3119,0x3119,0x3119,0x3121,0x3121,0x3119,0x3119,0x3119
10,0x0672,0x0672,0x3291,0x0291,0x3291,0x0291,0x3292,0x3001,0x3001,0x3128,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129
11,0x0672,0x0672,0x31AA,0x31AB,0x31AB,0x31AB,0x31AB,0x31AC,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
12,0x0672,0x0672,0x05B2,0x05B3,0x05B3,0x05B3,0x05B3,0x05B4,0x3001,0x3001,0x3001,0x3008,0x3009,0x3009,0x300A,0x3008,0x3009,0x3009,0x300A,0x3001
13,0x0672,0x0672,0x05B8,0x05B9,0x05BA,0x05B3,0x05BB,0x05BC,0x3001,0x3001,0x3001,0x0410,0x0411,0x0411,0x0412,0x0410,0x0411,0x0411,0x0412,0x300E
14,0x0672,0x0672,0x05C0,0x05C1,0x05C2,0x05C5,0x05C3,0x069F,0x3001,0x3001,0x3001,0x0418,0x0419,0x040B,0x041A,0x0418,0x0419,0x040B,0x041A,0x34C6
15,0x0672,0x0672,0x31C8,0x31C9,0x05CA,0x05CD,0x05CB,0x06A7,0x3001,0x3001,0x3001,0x0420,0x0421,0x0413,0x0422,0x0420,0x0421,0x0413,0x0422,0x34C6
16,0x0672,0x0672,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3403,0x3001,0x3001,0x3001,0x300E,0x34C6
17,0x067F,0x067F,0x066D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x34C6,0x34C6
18,0x0671,0x0671,0x0672,0x066D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3416,0x3416
19,0x0671,0x0671,0x067F,0x067F,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C,0x066C
