map,LilycoveCity_ContestHall_Layout,width,51,height,33,primary,gTileset_Building,secondary,gTileset_Contest
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0x0603,0x0603,0x0603,0x0603,0x0603,0x0603,0x0603,0x0603,0x0603,0x061B,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x062F,0x321A,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
1,0x0603,0x0603,0x0603,0x0603,0x0603,0x0603,0x0603,0x0603,0x0603,0x0602,0x0611,0x0611,0x0611,0x067E,0x0611,0x0611,0x0611,0x0611,0x0611,0x0686,0x0611,0x0611,0x0611,0x0611,0x0611,0x0696,0x0611,0x0611,0x0611,0x0611,0x0611,0x0676,0x0611,0x0611,0x0611,0x0611,0x0611,0x068E,0x0611,0x0611,0x0611,0x320B,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
2,0x0603,0x0603,0x0603,0x0603,0x061B,0x062F,0x062F,0x062F,0x062F,0x060A,0x0613,0x0613,0x0613,0x0690,0x0613,0x0613,0x0613,0x0613,0x0613,0x0698,0x0613,0x0613,0x0613,0x0613,0x0613,0x06A8,0x0613,0x0613,0x0613,0x0613,0x0613,0x0688,0x0613,0x0613,0x0613,0x0613,0x0613,0x06A0,0x0613,0x0613,0x0613,0x0608,0x062F,0x062F,0x062F,0x062F,0x321A,0x3203,0x3203,0x3203,0x3203
3,0x0603,0x0603,0x0603,0x0603,0x0602,0x0611,0x063C,0x063D,0x063E,0x0612,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0662,0x0610,0x063C,0x063D,0x063E,0x0611,0x320B,0x3203,0x3203,0x3203,0x3203
4,0x062F,0x062F,0x062F,0x062F,0x060A,0x0613,0x0644,0x0645,0x0646,0x062E,0x3220,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3222,0x062C,0x0644,0x0645,0x0646,0x0613,0x0608,0x062F,0x062F,0x062F,0x062F
5,0x0611,0x063C,0x063D,0x063E,0x0612,0x0662,0x0662,0x0662,0x0662,0x0636,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A,0x0634,0x0662,0x0662,0x0662,0x0662,0x0610,0x063C,0x063D,0x063E,0x0611
6,0x0613,0x0644,0x0645,0x0646,0x062E,0x3220,0x3221,0x3221,0x3221,0x3221,0x3230,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3232,0x3221,0x3221,0x3221,0x3221,0x3222,0x062C,0x0644,0x0645,0x0646,0x0613
7,0x0662,0x0662,0x0662,0x0662,0x0636,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x060C,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060E,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A,0x0634,0x0662,0x0662,0x0662,0x0662
8,0x3220,0x3221,0x3221,0x3221,0x3221,0x3230,0x3260,0x3260,0x324A,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x324A,0x3260,0x3260,0x3232,0x3221,0x3221,0x3221,0x3221,0x3222
9,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0652,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0652,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
