map,LilycoveCity_ContestLobby_Layout,width,23,height,12,primary,gTileset_Building,secondary,gTileset_Contest
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0x065B,0x065C,0x065D,0x06CA,0x06CA,0x06CA,0x063A,0x063B,0x06CA,0x06CA,0x06CA,0x064D,0x065B,0x065C,0x065D,0x06CA,0x06CA,0x06CA,0x06CA,0x06CA,0x06CA,0x06CA,0x06CA
1,0x3663,0x0264,0x0665,0x06CC,0x0662,0x0662,0x0642,0x0643,0x0662,0x0662,0x06CC,0x0404,0x3663,0x0264,0x0665,0x06C9,0x0662,0x06C9,0x0662,0x06C9,0x0662,0x0662,0x0654
2,0x3220,0x3221,0x3221,0x06D0,0x32D1,0x329E,0x32D7,0x32D7,0x32AE,0x32D1,0x0682,0x3255,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3221,0x3222
3,0x3228,0x3260,0x3260,0x06D8,0x06D9,0x06A6,0x06DF,0x06DF,0x06B6,0x06D9,0x068A,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
4,0x3228,0x3260,0x3260,0x32C6,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x3267,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
5,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x06DD,0x3260,0x3260,0x3260,0x322A
6,0x3238,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3239
7,0x3240,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3241
8,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
9,0x3238,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x06DD,0x3260,0x3260,0x3260,0x3239
10,0x3240,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3241
11,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x0204,0x0205,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
