map,LilycoveCity_DepartmentStoreRooftop_Layout,width,18,height,12,primary,gTileset_Building,secondary,gTileset_Shop
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0x0626,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x066F,0x066F,0x0681,0x0681,0x0681,0x0681,0x0627,0x021F,0x021F
1,0x062E,0x3253,0x3253,0x3253,0x3253,0x3253,0x3253,0x3253,0x3253,0x0677,0x0677,0x3253,0x064E,0x064F,0x0635,0x062F,0x021F,0x021F
2,0x0636,0x32C9,0x32CA,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x324D,0x324D,0x3317,0x0656,0x0657,0x063D,0x067A,0x0681,0x0627
3,0x0636,0x06CB,0x06CC,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x065E,0x025F,0x0645,0x3254,0x3253,0x062F
4,0x0636,0x32C9,0x32CA,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x324A,0x324D,0x324D,0x324D,0x324D,0x36C0,0x0637
5,0x0636,0x06CB,0x06CC,0x324A,0x324A,0x36C1,0x36C2,0x324A,0x324A,0x36C1,0x36C2,0x324A,0x324A,0x324A,0x324A,0x324A,0x36C0,0x0637
6,0x063E,0x3255,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x325B,0x063F
7,0x0646,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0663,0x0647
8,0x06E4,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E5,0x06E6
9,0x06EC,0x06F0,0x06F1,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06F0,0x06F1,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06F0,0x06F1,0x06EE
10,0x06EC,0x06F8,0x06F9,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06F8,0x06F9,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06F8,0x06F9,0x06EE
11,0x06EC,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06ED,0x06EE
