map,LilycoveCity_Layout,width,80,height,40,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x0470,0x0473,0x05D4,0x05D5,0x05E4,0x05E5,0x05E4,0x05E7,0x5001,0x528A,0x528B,0x528B,0x528B,0x528B,0x528C,0x05E6,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x0700,0x06ED,0x06EE,0x0701,0x06FB,0x0701,0x06ED,0x06EE,0x0702,0x05DC,0x05DD,0x35D4,0x35D5,0x0475,0x0475,0x0475,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x319B,0x0566,0x0473,0x047B,0x0489,0x0071,0x0071,0x0475,0x0475,0x057C,0x319E,0x319E,0x319E,0x319E,0x11B7
1,0x0470,0x0473,0x05E6,0x05F2,0x31CF,0x0468,0x50D3,0x5002,0x5002,0x5260,0x5261,0x5262,0x5262,0x5262,0x527A,0x5002,0x5002,0x50D4,0x046A,0x35D4,0x35D5,0x35D4,0x35D5,0x3700,0x0701,0x0701,0x0701,0x0701,0x0701,0x0701,0x0701,0x3702,0x35D4,0x35D5,0x05DC,0x05DD,0x0475,0x0475,0x0475,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0570,0x0570,0x0570,0x0570,0x0570,0x0570,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x31AE,0x319B,0x319E,0x0566,0x047B,0x0489,0x0473,0x0071,0x0071,0x0475,0x0475,0x057C,0x319E,0x319E,0x319E,0x319E,0x11B7
2,0x0470,0x0473,0x3001,0x05D4,0x05D5,0x0470,0x5001,0x0608,0x0663,0x0668,0x0669,0x066A,0x0678,0x0669,0x0679,0x0663,0x0607,0x5001,0x0472,0x05DC,0x05DD,0x05DC,0x05DD,0x0700,0x06ED,0x06EE,0x0701,0x06FB,0x0701,0x06ED,0x06EE,0x0702,0x05DC,0x05DD,0x35D4,0x35D5,0x50D4,0x50D4,0x50D4,0x01E8,0x01E9,0x5002,0x5002,0x5002,0x5002,0x51E8,0x51E9,0x51E8,0x51E9,0x0642,0x0570,0x0570,0x0570,0x0570,0x0570,0x1570,0x1570,0x1570,0x1170,0x1170,0x11AD,0x31AE,0x319B,0x319E,0x319E,0x319E,0x056E,0x0489,0x0473,0x0473,0x0071,0x0071,0x0475,0x0475,0x057C,0x319E,0x319E,0x319E,0x319E,0x11B7
3,0x0470,0x0473,0x3001,0x05DC,0x05DD,0x0470,0x5001,0x061D,0x061E,0x0670,0x0671,0x0672,0x0680,0x0671,0x0681,0x061E,0x061F,0x5001,0x0472,0x35D4,0x35D5,0x35D4,0x35D5,0x3700,0x0701,0x0701,0x0701,0x0701,0x0701,0x0701,0x0701,0x3702,0x35D4,0x35D5,0x05E4,0x322D,0x322E,0x322E,0x322F,0x35D6,0x35D7,0x322D,0x322E,0x322E,0x322F,0x35D4,0x35D5,0x35D4,0x35D7,0x05E8,0x05E9,0x05E8,0x05E9,0x0642,0x0570,0x0570,0x0570,0x1570,0x11AD,0x31AE,0x319B,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x0566,0x0473,0x047B,0x047C,0x047C,0x047D,0x0475,0x057C,0x319E,0x319E,0x319E,0x319E,0x11B7
4,0x0470,0x047B,0x0489,0x05D4,0x05D5,0x0470,0x5004,0x0600,0x0605,0x0605,0x0601,0x0602,0x0603,0x0604,0x0605,0x0605,0x0606,0x5004,0x0472,0x05E6,0x05E5,0x05E4,0x05E5,0x0700,0x06ED,0x06EE,0x06F5,0x06F6,0x06F7,0x06ED,0x06EE,0x0702,0x05E4,0x05E7,0x5001,0x0635,0x0636,0x0636,0x0637,0x05DC,0x05DD,0x0635,0x0636,0x0636,0x0637,0x05DC,0x05DD,0x05DC,0x05DD,0x35D4,0x35D5,0x35D4,0x35D7,0x5002,0x5002,0x50D4,0x355F,0x319E,0x319E,0x319E,0x319E,0x0594,0x319E,0x0594,0x055E,0x055F,0x319E,0x0566,0x047B,0x06A8,0x06A9,0x06AA,0x04A9,0x047D,0x057C,0x319E,0x319E,0x319E,0x11A4,0x11BF
5,0x0478,0x0489,0x0473,0x05E6,0x05E7,0x0470,0x5001,0x0625,0x0626,0x060D,0x0609,0x020A,0x020B,0x060C,0x060D,0x060E,0x060F,0x5001,0x0472,0x0650,0x0651,0x0651,0x0651,0x06FE,0x06FC,0x070F,0x0703,0x0704,0x0705,0x070E,0x06FC,0x06FF,0x0651,0x0651,0x3652,0x063D,0x063E,0x063F,0x064D,0x35D4,0x35D5,0x063D,0x063E,0x063F,0x064D,0x35D4,0x35D5,0x35D4,0x35D5,0x05E4,0x05E5,0x05E4,0x05E7,0x5001,0x5001,0x5001,0x0475,0x055F,0x319E,0x319E,0x0594,0x319E,0x0594,0x055E,0x04EE,0x04EF,0x055F,0x056E,0x0491,0x06B0,0x12B1,0x16B2,0x0491,0x0491,0x056F,0x319E,0x319E,0x319E,0x11B7,0x1170
6,0x3001,0x0470,0x047B,0x0489,0x3001,0x0470,0x5004,0x0617,0x0615,0x0615,0x0611,0x5212,0x5213,0x0614,0x0615,0x0615,0x0616,0x5004,0x0472,0x5001,0x5001,0x5001,0x5001,0x0706,0x06FD,0x06D7,0x070B,0x070C,0x070D,0x06D6,0x06FD,0x0707,0x5001,0x5001,0x0403,0x0645,0x0646,0x0647,0x0655,0x05E6,0x05E7,0x0645,0x0646,0x0647,0x0655,0x05E6,0x05E5,0x05E4,0x05E7,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x0475,0x0475,0x055F,0x0594,0x319E,0x319E,0x319E,0x0566,0x047B,0x047D,0x0567,0x11A4,0x11BE,0x11BF,0x1170,0x11BD,0x11BE,0x11BE,0x0568,0x0569,0x0568,0x0569,0x11BF,0x1170
7,0x3001,0x0478,0x0489,0x0473,0x3001,0x0478,0x047C,0x047C,0x0479,0x0479,0x0619,0x521A,0x521B,0x061C,0x0479,0x0479,0x0479,0x0479,0x047A,0x0403,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5233,0x5233,0x522B,0x0403,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x0475,0x0475,0x0472,0x319E,0x319E,0x0594,0x319E,0x056E,0x0491,0x0491,0x056F,0x11B7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x0558,0x0559,0x0550,0x0551
8,0x01CE,0x01CF,0x0470,0x0478,0x0479,0x0479,0x0491,0x0489,0x523B,0x523B,0x0621,0x5222,0x5223,0x0624,0x522B,0x523B,0x523B,0x523B,0x523B,0x523B,0x5233,0x5233,0x5233,0x522B,0x5233,0x5233,0x5233,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522B,0x522C,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x0475,0x0475,0x0472,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x0594,0x11A4,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x0574,0x0570,0x0558,0x0559
9,0x05D4,0x05D7,0x0470,0x3001,0x3001,0x3001,0x5001,0x0470,0x523B,0x523B,0x5232,0x5234,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x5233,0x5233,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523B,0x523C,0x5001,0x5001,0x5001,0x046E,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x046F,0x5001,0x0475,0x0475,0x0472,0x3197,0x319E,0x319E,0x319E,0x319E,0x11A4,0x11BE,0x11BF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x05FA,0x04EE,0x04EF,0x05FB,0x11AF,0x1170
