map,LilycoveCity_LilycoveMuseum_1F_Layout,width,21,height,14,primary,gTileset_Building,secondary,gTileset_LilycoveMuseum
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0x060B,0x0618,0x0619,0x060B,0x060B,0x061A,0x061B,0x060B,0x060B,0x061C,0x060B,0x061D,0x060B,0x0611,0x060B,0x0605,0x0606,0x0607,0x060B,0x061E,0x061F
1,0x0613,0x0620,0x0621,0x0613,0x0613,0x0622,0x0623,0x0613,0x0613,0x0624,0x0613,0x0625,0x0613,0x0611,0x0613,0x060D,0x020E,0x060F,0x0613,0x0626,0x0627
2,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x0604,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
3,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x060C,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
4,0x3208,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3212,0x3202,0x3202,0x3202,0x0614,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
5,0x060B,0x060B,0x062D,0x062E,0x060B,0x060B,0x062F,0x060B,0x060B,0x068B,0x3203,0x3202,0x3202,0x3203,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
6,0x0613,0x0613,0x0635,0x0636,0x0613,0x0613,0x0637,0x0613,0x0613,0x0604,0x3203,0x3202,0x3202,0x3202,0x3202,0x323A,0x323B,0x323B,0x323B,0x323C,0x3202
7,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x060C,0x3203,0x3202,0x3202,0x3202,0x3202,0x0642,0x0628,0x0629,0x062A,0x0644,0x324F
8,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x0614,0x3203,0x3202,0x3202,0x3202,0x3202,0x064A,0x0630,0x0631,0x0632,0x064C,0x324F
9,0x3203,0x323A,0x323B,0x323B,0x323B,0x323B,0x323C,0x3202,0x3202,0x3203,0x3203,0x3202,0x3202,0x3202,0x3202,0x0652,0x0653,0x0653,0x0653,0x0654,0x324F
10,0x3203,0x0648,0x0653,0x0641,0x0653,0x0640,0x0649,0x323E,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x323F,0x323F,0x323F,0x323F,0x323F,0x3246
11,0x3203,0x0610,0x324D,0x323F,0x323F,0x323F,0x0610,0x324F,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x322B,0x3202,0x3202,0x062C,0x323E,0x3202
12,0x3203,0x0638,0x3234,0x323B,0x323B,0x323B,0x0639,0x324F,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x0633,0x323E,0x3202,0x323F,0x3246,0x3202
13,0x3203,0x0652,0x0653,0x0653,0x0653,0x0653,0x0654,0x324F,0x3202,0x0216,0x0217,0x3202,0x3202,0x3202,0x3202,0x323F,0x3246,0x3202,0x3202,0x3202,0x3202
