map,LilycoveCity_LilycoveMuseum_2F_Layout,width,22,height,13,primary,gTileset_Building,secondary,gTileset_LilycoveMuseum
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0x0679,0x0679,0x0679,0x067A,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x0681,0x066A,0x066B,0x066C,0x0681,0x0681,0x0681,0x0678,0x0679,0x0679,0x0679
1,0x0681,0x0681,0x0681,0x0682,0x0689,0x0689,0x0689,0x0689,0x0689,0x0689,0x0689,0x0684,0x0672,0x0273,0x0674,0x0685,0x0689,0x0689,0x0680,0x0681,0x0681,0x0681
2,0x0689,0x0689,0x0689,0x068A,0x3271,0x3270,0x3271,0x3270,0x3271,0x3270,0x3271,0x068C,0x3271,0x3270,0x3271,0x068D,0x3271,0x3270,0x0688,0x0689,0x0689,0x0689
3,0x3270,0x3271,0x3270,0x3271,0x3270,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3270,0x3271,0x3270,0x3271
4,0x3271,0x3264,0x3265,0x3266,0x3267,0x3268,0x3269,0x3268,0x3269,0x3264,0x3265,0x3266,0x3267,0x3268,0x3269,0x3268,0x3269,0x3264,0x3265,0x3266,0x3267,0x3268
5,0x3270,0x0686,0x066E,0x066E,0x066F,0x3283,0x3268,0x3269,0x3268,0x0686,0x066E,0x066E,0x066F,0x3283,0x3268,0x3269,0x3268,0x0686,0x066E,0x066E,0x066F,0x3283
6,0x3271,0x068E,0x0658,0x0659,0x0677,0x327B,0x3269,0x3268,0x3269,0x068E,0x0658,0x0659,0x0677,0x327B,0x3269,0x3268,0x3269,0x068E,0x0658,0x0659,0x0677,0x327B
7,0x3270,0x327C,0x327D,0x327E,0x327F,0x3283,0x3268,0x3269,0x3268,0x327C,0x327D,0x327E,0x327F,0x3283,0x3268,0x3269,0x3268,0x327C,0x327D,0x327E,0x327F,0x3283
8,0x3271,0x3268,0x3269,0x3268,0x3269,0x3264,0x3265,0x3266,0x3267,0x3268,0x3269,0x3268,0x3269,0x3264,0x3265,0x3266,0x3267,0x3268,0x3269,0x3268,0x3269,0x3268
9,0x3270,0x3269,0x3268,0x3269,0x3268,0x0686,0x066E,0x066E,0x066F,0x3283,0x3268,0x3269,0x3268,0x0686,0x066E,0x066E,0x066F,0x3283,0x3268,0x3269,0x3268,0x3269
10,0x3271,0x3268,0x3269,0x3268,0x3269,0x068E,0x0658,0x0659,0x0677,0x327B,0x3269,0x3268,0x3269,0x068E,0x0658,0x0659,0x0677,0x327B,0x3269,0x3268,0x3269,0x3268
11,0x3270,0x3269,0x3268,0x3269,0x3268,0x327C,0x327D,0x327E,0x327F,0x3283,0x3268,0x3269,0x3268,0x327C,0x327D,0x327E,0x327F,0x3283,0x3268,0x3269,0x3268,0x3269
12,0x3271,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268,0x3269,0x3268
