map,LilycoveCity_PokemonTrainerFanClub_Layout,width,12,height,14,primary,gTileset_Building,secondary,gTileset_GenericBuilding
y\x,0,1,2,3,4,5,6,7,8,9,10,11
0,0x066E,0x066F,0x0605,0x0605,0x0606,0x0605,0x0605,0x0606,0x0630,0x0605,0x0605,0x0605
1,0x0676,0x0677,0x0669,0x060D,0x060E,0x060D,0x060D,0x060E,0x061E,0x060D,0x0683,0x0684
2,0x327E,0x327F,0x3271,0x3224,0x3224,0x3224,0x3224,0x3224,0x3238,0x3224,0x328B,0x328C
3,0x3239,0x3223,0x3223,0x322B,0x064C,0x064D,0x064C,0x064D,0x322C,0x3223,0x3223,0x3223
4,0x3239,0x3223,0x3223,0x3223,0x0654,0x0655,0x0654,0x0655,0x3223,0x3223,0x3223,0x3223
5,0x3239,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x322C,0x3223,0x3223,0x3223,0x3223
6,0x3309,0x32FB,0x32FC,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x32FA,0x32FB,0x32FB
7,0x0703,0x0703,0x0704,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x0702,0x0703,0x0703
8,0x0683,0x0684,0x070C,0x3235,0x3236,0x3236,0x3236,0x3236,0x3237,0x070A,0x0668,0x0669
9,0x328B,0x328C,0x3224,0x323D,0x0648,0x065E,0x0648,0x0649,0x323F,0x3225,0x3270,0x3271
10,0x3239,0x3223,0x3223,0x323D,0x0650,0x0651,0x0650,0x0651,0x323F,0x3223,0x3223,0x3223
11,0x3239,0x3223,0x3223,0x3245,0x3246,0x3246,0x3246,0x3246,0x3247,0x3223,0x3223,0x3223
12,0x3239,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223,0x3223
13,0x3239,0x3223,0x3223,0x3223,0x3223,0x0208,0x0209,0x3223,0x3223,0x3223,0x3223,0x3223
