map,LittlerootTown_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Petalburg
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x35D5,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
1,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD
2,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5
3,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5
4,0x3001,0x3001,0x3208,0x3209,0x3209,0x3209,0x320A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3208,0x3209,0x3209,0x3209,0x320A,0x3001,0x3001
5,0x3001,0x3001,0x0610,0x0611,0x0611,0x0611,0x0612,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0610,0x0611,0x0611,0x0611,0x0612,0x3001,0x3001
6,0x3001,0x3001,0x0618,0x0619,0x0619,0x0619,0x061A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0618,0x0619,0x0619,0x0619,0x061A,0x3001,0x3001
7,0x3001,0x3001,0x0622,0x0632,0x0630,0x0640,0x0621,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0620,0x0640,0x0631,0x0632,0x0623,0x3001,0x3004
8,0x3004,0x3001,0x062A,0x063A,0x0638,0x0648,0x0629,0x3403,0x3001,0x3001,0x3001,0x3001,0x3403,0x0628,0x0648,0x0639,0x063A,0x062B,0x3004,0x3001
9,0x3001,0x3004,0x3001,0x3001,0x3001,0x3201,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3201,0x3001,0x3001,0x3001,0x3001,0x3004
10,0x3004,0x3001,0xF001,0x3004,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0xF001,0x3001,0x3001,0x3001,0x3001,0x3004,0x3001,0x3004,0x3001
11,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
12,0x3001,0x3001,0x3001,0x320C,0x3242,0x3243,0x320D,0x320D,0x320D,0x320E,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
13,0x3001,0x3001,0x3001,0x0614,0x064A,0x064B,0x0615,0x0615,0x0615,0x0616,0x3001,0x3001,0x3001,0x3001,0x3001,0x0403,0x3001,0x3001,0x3001,0x3001
14,0x3001,0x3001,0x3001,0x0614,0x0615,0x0615,0x0615,0x0615,0x0615,0x0616,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
15,0x3001,0x3001,0x3001,0x061E,0x060F,0x060F,0x062C,0x0641,0x062D,0x061F,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF
16,0x3001,0x3001,0x3001,0x0626,0x0617,0x0617,0x0634,0x0649,0x0635,0x0627,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D5
17,0x31CE,0x31CF,0x3001,0x3004,0x3004,0x3004,0x0403,0x3201,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x05DC,0x05DD
18,0x05D4,0x05D7,0x3001,0x3004,0x3004,0x3004,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5
19,0x05DC,0x05DD,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD
