map,LittlerootTown_ProfessorBirchsLab_Layout,width,13,height,13,primary,gTileset_Building,secondary,gTileset_Lab
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x0610,0x0611,0x0608,0x0612,0x0613,0x0608,0x0608,0x0609,0x0609,0x0608,0x0608,0x0608,0x0608
1,0x0618,0x0619,0x063C,0x061A,0x061B,0x060A,0x060B,0x060C,0x060D,0x060E,0x060A,0x060A,0x060F
2,0x0620,0x3221,0x0644,0x3222,0x3223,0x323E,0x3222,0x3233,0x3222,0x3233,0x323E,0x323E,0x0617
3,0x0628,0x3202,0x322A,0x322A,0x3241,0x3202,0x3202,0x3202,0x3202,0x3229,0x323A,0x3202,0x061F
4,0x3204,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x0631,0x0642,0x3202,0x0627
5,0x3224,0x3225,0x3236,0x3237,0x3202,0x3202,0x3202,0x3202,0x3202,0x323F,0x323F,0x3202,0x322F
6,0x062C,0x062D,0x062C,0x062D,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x0614,0x0615,0x3216
7,0x0634,0x0635,0x0634,0x0635,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x061C,0x061D,0x061E
8,0x323D,0x323E,0x323E,0x323E,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3247,0x323F,0x3292
9,0x3204,0x0630,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x063B,0x062E
10,0x0648,0x0638,0x3239,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3249,0x0643,0x323A
11,0x0648,0x0640,0x3202,0x3226,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x064B,0x0642
12,0x324F,0x323F,0x3202,0x062E,0x3202,0x3202,0x0206,0x0207,0x3202,0x3202,0x3202,0x323F,0x323F
