map,MagmaHideout_1F_Layout,width,28,height,30,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0x0601,0x0611,0x0653,0x0654,0x0619,0x0619,0x061C,0x061B,0x0619,0x0619,0x0619,0x0619,0x06B3,0x06B4,0x06B5,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x061B,0x0619,0x0619,0x0611,0x0601
1,0x0601,0x060A,0x065B,0x065C,0x0632,0x0631,0x0624,0x0623,0x0621,0x0621,0x0621,0x0621,0x06BB,0x32BC,0x06BD,0x0621,0x0621,0x0621,0x0621,0x0621,0x0632,0x0631,0x0624,0x0623,0x061F,0x061F,0x060A,0x0601
2,0x0601,0x060A,0x0663,0x0664,0x323A,0x3239,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x32C6,0x3229,0x32C7,0x3229,0x3229,0x3229,0x3229,0x3229,0x323A,0x3239,0x3229,0x3229,0x0627,0x0627,0x060A,0x0601
3,0x0601,0x060A,0x326B,0x326C,0x32A1,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x0627,0x0627,0x060A,0x0601
4,0x0601,0x060A,0x061F,0x061F,0x061F,0x32A1,0x3228,0x3228,0x066E,0x065D,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x065E,0x066F,0x3228,0x3228,0x3228,0x3228,0x3228,0x062F,0x062F,0x060A,0x0601
5,0x0601,0x060A,0x0627,0x062F,0x062F,0x32A1,0x3228,0x066E,0x0473,0x0660,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x06A6,0x0475,0x066F,0x3228,0x3228,0x3228,0x3228,0x062F,0x0627,0x060A,0x0601
6,0x0601,0x060A,0x062F,0x0627,0x062F,0x32A1,0x3228,0x0676,0x0473,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x0475,0x0677,0x3229,0x3228,0x3228,0x3228,0x322A,0x062F,0x060A,0x0601
7,0x0601,0x060A,0x0627,0x062F,0x32B1,0x32A9,0x3228,0x0676,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0677,0x3229,0x3228,0x3228,0x3228,0x3228,0x322A,0x060A,0x0601
8,0x0601,0x060A,0x062F,0x32B1,0x32A9,0x3228,0x3228,0x067E,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x067F,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601
9,0x0601,0x060A,0x3229,0x32A9,0x3228,0x3228,0x3228,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601
10,0x0601,0x060A,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601
11,0x0601,0x060A,0x0697,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0666,0x3228,0x3228,0x0665,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x060A,0x0601
12,0x0601,0x060A,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x06E3,0x30AF,0x30CF,0x0778,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x060A,0x0601
13,0x0601,0x060A,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x060A,0x0601
14,0x0601,0x060A,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601
15,0x0601,0x060A,0x0697,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0666,0x3228,0x3228,0x0665,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x060A,0x0601
