map,MauvilleCity_GameCorner_Layout,width,22,height,11,primary,gTileset_Building,secondary,gTileset_MauvilleGameCorner
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0x0612,0x0612,0x0612,0x0612,0x0612,0x0612,0x0612,0x0612,0x0612,0x063C,0x063D,0x063E,0x063E,0x063E,0x063E,0x063F,0x0612,0x0612,0x0609,0x060A,0x060A,0x060B
1,0x060E,0x060F,0x061A,0x061A,0x061A,0x062F,0x062F,0x062F,0x061A,0x0644,0x0646,0x0645,0x0646,0x0646,0x0646,0x0647,0x061A,0x061A,0x0611,0x0612,0x0612,0x0613
2,0x0616,0x0617,0x062E,0x3204,0x3204,0x0637,0x0637,0x0637,0x3204,0x064C,0x3243,0x324D,0x324E,0x324D,0x324D,0x064F,0x3205,0x3204,0x0619,0x061A,0x061A,0x061B
3,0x3203,0x3204,0x3215,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x0654,0x0656,0x0655,0x0656,0x0655,0x0655,0x0657,0x320C,0x3202,0x321E,0x321F,0x321E,0x321F
4,0x3203,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x325C,0x325D,0x325E,0x325E,0x325E,0x325D,0x325F,0x320C,0x3202,0x3214,0x3204,0x3204,0x0636
5,0x3203,0x3202,0x3224,0x3225,0x3202,0x3202,0x3202,0x3224,0x3225,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
6,0x3203,0x3226,0x062C,0x062D,0x3227,0x3202,0x3226,0x062C,0x062D,0x3227,0x3202,0x3202,0x3202,0x3202,0x0622,0x0623,0x320D,0x3202,0x0622,0x0623,0x320D,0x3202
7,0x3203,0x3226,0x062C,0x062D,0x3227,0x3202,0x3226,0x062C,0x062D,0x3227,0x3202,0x3202,0x3202,0x3202,0x062A,0x062B,0x320C,0x3202,0x062A,0x062B,0x320C,0x3202
8,0x3203,0x3226,0x062C,0x062D,0x3227,0x3202,0x3226,0x062C,0x062D,0x3227,0x3202,0x3202,0x3202,0x3202,0x0632,0x0633,0x320C,0x3202,0x0632,0x0633,0x320C,0x3202
9,0x3203,0x3226,0x0634,0x0635,0x3227,0x3202,0x3226,0x0634,0x0635,0x3227,0x3202,0x3202,0x3202,0x3202,0x3214,0x3204,0x3215,0x3202,0x3214,0x3204,0x3215,0x3202
10,0x3203,0x3202,0x3214,0x3204,0x3215,0x3202,0x3202,0x3214,0x3204,0x3215,0x3202,0x3206,0x3207,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202
