map,MauvilleCity_Gym_Layout,width,10,height,21,primary,gTileset_Building,secondary,gTileset_MauvilleGym
y\x,0,1,2,3,4,5,6,7,8,9
0,0x0401,0x0401,0x0626,0x0614,0x0614,0x0614,0x0614,0x0627,0x0401,0x0401
1,0x0401,0x0401,0x061F,0x0611,0x0611,0x0611,0x0611,0x061E,0x0401,0x0401
2,0x0401,0x0401,0x061F,0x3619,0x3619,0x3619,0x3619,0x061E,0x0401,0x0401
3,0x0401,0x0401,0x061F,0x3201,0x3201,0x3201,0x3201,0x061E,0x0401,0x0401
4,0x0401,0x0401,0x061F,0x3201,0x3201,0x3201,0x3201,0x061E,0x0401,0x0401
5,0x0401,0x0401,0x061F,0x3201,0x3201,0x3201,0x3201,0x061E,0x0401,0x0401
6,0x0614,0x0614,0x0615,0x3201,0x3201,0x3201,0x3201,0x0613,0x0614,0x0614
7,0x061C,0x061C,0x061D,0x3210,0x3220,0x3221,0x3210,0x061B,0x061C,0x061C
8,0x3202,0x3202,0x3202,0x0640,0x0628,0x0629,0x0618,0x3209,0x3202,0x3202
9,0x3205,0x3201,0x3201,0x0648,0x3201,0x3201,0x3201,0x3201,0x3201,0x320B
10,0x3210,0x3232,0x3233,0x3650,0x3232,0x3233,0x3210,0x3201,0x3201,0x0613
11,0x0618,0x323A,0x323B,0x0643,0x323A,0x323B,0x0640,0x3201,0x3205,0x061B
12,0x320D,0x3201,0x3201,0x321A,0x3201,0x3201,0x0648,0x320B,0x320C,0x320E
13,0x0615,0x3201,0x3201,0x3251,0x3220,0x3221,0x3650,0x0613,0x0614,0x0614
14,0x061D,0x3201,0x3201,0x0618,0x0628,0x0629,0x0618,0x061B,0x061C,0x061C
15,0x3202,0x3201,0x3201,0x3201,0x3205,0x3201,0x3201,0x3209,0x3202,0x3202
16,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
17,0x320F,0x3217,0x3201,0x320A,0x3201,0x3201,0x320A,0x3201,0x3216,0x320F
18,0x0401,0x061F,0x3201,0x0612,0x3201,0x3201,0x0612,0x3201,0x061E,0x0401
19,0x0401,0x061F,0x3201,0x3202,0x3201,0x3201,0x3202,0x3201,0x061E,0x0401
20,0x0401,0x061F,0x3201,0x3201,0x0203,0x0204,0x3201,0x3201,0x061E,0x0401
