map,MauvilleCity_Layout,width,40,height,20,primary,gTileset_General,secondary,gTileset_Mauville
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x0688,0x0401,0x3004,0x3001,0x3004,0x3001,0x3004,0x3004,0x3001,0x3004,0x3001,0x3001,0x068A,0x3001,0x3001,0x3108,0x305E,0x310A,0x3001,0x3001,0x0688,0x0401,0x040E,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
1,0x0688,0x0401,0x3004,0x3001,0x3004,0x31AA,0x31AB,0x31AB,0x31AB,0x31AB,0x31AC,0x3001,0x068A,0x3001,0x3001,0x3108,0x305E,0x310A,0x3001,0x3001,0x0688,0x3001,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
2,0x0688,0x3004,0x3001,0x3004,0x3004,0x05B2,0x05B3,0x05B3,0x05B3,0x05B3,0x05B4,0x3004,0x068A,0x3001,0x3001,0x3108,0x305E,0x310A,0x3001,0x3001,0x0688,0x0448,0x0449,0x044A,0x044B,0x0680,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0691,0x0682,0x0683,0x0684,0x0684,0x0684,0x0685,0x04C6
3,0x0688,0x0401,0x3004,0x3004,0x0401,0x05B8,0x05B9,0x05BA,0x05B3,0x05BB,0x05BC,0x3001,0x068A,0x3001,0x3001,0x3108,0x305E,0x310A,0x3001,0x3001,0x0688,0x0450,0x0451,0x0452,0x0453,0x0688,0x0698,0x0699,0x069A,0x3001,0x0698,0x0699,0x069A,0x068A,0x068B,0x068C,0x068C,0x068C,0x068D,0x04C6
4,0x0673,0x0691,0x0691,0x0691,0x0691,0x05C0,0x05C1,0x05C2,0x05C5,0x05C3,0x35C4,0x0691,0x0692,0x3001,0x3001,0x3108,0x305E,0x310A,0x3001,0x3001,0x0690,0x0458,0x0459,0x045A,0x045B,0x3688,0x0698,0x0699,0x069A,0x3001,0x0698,0x0699,0x069A,0x068A,0x0693,0x06A4,0x06A5,0x066F,0x0695,0x04C6
5,0x0688,0x3001,0x3001,0x3001,0x3001,0x31C8,0x31C9,0x05CA,0x05CD,0x05CB,0x31CC,0x3130,0x3001,0x3001,0x3001,0x3108,0x305E,0x310A,0x3001,0x3001,0x3001,0x0460,0x0461,0x0462,0x0463,0x3690,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0692,0x069B,0x06AC,0x06AD,0x0677,0x069D,0x04C6
6,0x36B2,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3100,0x305E,0x3102,0x3001,0x0531,0x3001,0x3001,0x3001,0x3108,0x305E,0x310A,0x3001,0x3001,0x3001,0x3001,0x3108,0x310A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0403,0x3001,0x3108,0x310A,0x3001,0x3001,0x0416
7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3108,0x305E,0x310A,0x3001,0x3001,0x3001,0x3001,0x3100,0x305E,0x305E,0x305E,0x3102,0x0403,0x3001,0x3001,0x3108,0x310A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3108,0x310A,0x3001,0x3001,0x3001
8,0x3100,0x3101,0x3101,0x3101,0x3101,0x3101,0x3101,0x305E,0x305E,0x305E,0x3101,0x3101,0x3101,0x3101,0x305E,0x305E,0x305E,0x305E,0x305E,0x3101,0x3101,0x3101,0x305E,0x305E,0x3101,0x3101,0x3101,0x3101,0x3101,0x3101,0x3101,0x3101,0x3101,0x3101,0x3101,0x305E,0x305E,0x3101,0x3101,0x3102
9,0x3110,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x305E,0x305E,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x305E,0x305E,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3112
10,0x3001,0x3001,0x3001,0x3001,0x3001,0x32D8,0x32D9,0x32D9,0x32D9,0x32D9,0x32D9,0x32DC,0x3108,0x310A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3108,0x310A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
11,0x36BA,0x3001,0x3001,0x3001,0x3001,0x06E0,0x06E1,0x06E1,0x06E1,0x06E1,0x06E1,0x06E4,0x3108,0x310A,0x3001,0x3001,0x3001,0x3001,0x3283,0x3284,0x3284,0x3285,0x3028,0x3029,0x3029,0x302B,0x3001,0x3001,0x3108,0x310A,0x3001,0x3283,0x3284,0x3284,0x3284,0x3285,0x327E,0x32A7,0x32A7,0x327F
12,0x0688,0x3001,0x3001,0x3001,0x3001,0x06E8,0x06DB,0x06E9,0x06EA,0x06EB,0x06DB,0x06EC,0x3108,0x310A,0x0680,0x0691,0x0691,0x0691,0x068B,0x068C,0x068C,0x068D,0x0430,0x0431,0x0432,0x0433,0x3001,0x3001,0x3108,0x310A,0x3001,0x068B,0x068C,0x068C,0x068C,0x068D,0x0686,0x06AF,0x06AF,0x0687
13,0x0688,0x3001,0x3001,0x3001,0x3001,0x06D1,0x06E3,0x06D2,0x02D3,0x06DA,0x06E3,0x06E2,0x3108,0x310A,0x0688,0x3004,0x3004,0x3004,0x0693,0x06A4,0x066F,0x0695,0x0438,0x0439,0x043A,0x043B,0x3001,0x3001,0x3108,0x310A,0x3001,0x06A0,0x06A4,0x06A1,0x06A3,0x06A2,0x068E,0x06B7,0x06B7,0x068F
14,0x0690,0x0691,0x0691,0x0691,0x0691,0x0691,0x0682,0x3320,0x3001,0x3321,0x3001,0x3001,0x3108,0x310A,0x0688,0x3001,0x3001,0x3001,0x069B,0x06AC,0x0677,0x069D,0x0460,0x0441,0x0442,0x0443,0x3001,0x3001,0x3108,0x310A,0x3001,0x06A8,0x06AC,0x06A9,0x06AB,0x06AA,0x0696,0x06A6,0x06A6,0x0697
15,0x040E,0x040E,0x3001,0x3001,0x3001,0x3001,0x068A,0x3001,0x3001,0x3001,0x3001,0x0403,0x3108,0x310A,0x0688,0x3100,0x3101,0x3101,0x3101,0x305E,0x3101,0x3101,0x3101,0x305E,0x3101,0x3101,0x3101,0x3101,0x305E,0x305E,0x3101,0x3101,0x305E,0x3102,0x3001,0x300E,0x069E,0x069C,0x069C,0x069F
16,0x04C6,0x04C6,0x040E,0x040E,0x040E,0x3001,0x068A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3110,0x3112,0x0688,0x3108,0x305E,0x305E,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3111,0x3112,0x3001,0x04C6,0x040E,0x040E,0x3001,0x3001
17,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x040E,0x068A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0688,0x3108,0x305E,0x310A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x04C6,0x0416,0x0416,0x3001,0x3001
