map,MeteorFalls_1F_2R_Layout,width,30,height,32,primary,gTileset_General,secondary,gTileset_MeteorFalls
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
1,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0613,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0614,0x063C,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
2,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0628,0x063D,0x063E,0x063E,0x063E,0x063E,0x0601,0x0601,0x0601,0x0601
3,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x063F,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0630,0x0631,0x0631,0x0631,0x0631,0x0614,0x063D,0x063E,0x063E,0x063E
4,0x063E,0x063E,0x063E,0x063E,0x063E,0x063F,0x0613,0x0632,0x323E,0x323E,0x323E,0x323E,0x323E,0x068E,0x3255,0x3256,0x3256,0x3257,0x3255,0x3257,0x068D,0x063D,0x063E,0x063E,0x0601,0x0630,0x0631,0x0631,0x0631,0x0631
5,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x0613,0x0631,0x3202,0x0631,0x0631,0x0631,0x069E,0x065D,0x065E,0x065E,0x065F,0x065D,0x065F,0x069D,0x0631,0x0631,0x0614,0x063D,0x063E,0x063E,0x063E,0x063E,0x063E
6,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0632,0x323E,0x323E,0x323E,0x323E,0x323E,0x068E,0x3255,0x3257,0x3255,0x3256,0x3256,0x3256,0x3257,0x068D,0x063D,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631
7,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0613,0x0631,0x0631,0x3202,0x0631,0x0631,0x0631,0x069E,0x065D,0x065F,0x065D,0x065E,0x065E,0x065E,0x065F,0x069D,0x0631,0x0631,0x0631,0x0631,0x0614,0x063C,0x0601,0x0601
8,0x0601,0x063E,0x063E,0x063E,0x063E,0x063F,0x062A,0x323E,0x323E,0x323E,0x323E,0x323E,0x068E,0x3255,0x3256,0x3257,0x3255,0x3257,0x3255,0x3256,0x3256,0x3257,0x068D,0x063D,0x063E,0x063E,0x0628,0x063C,0x0601,0x0601
9,0x0634,0x0613,0x0631,0x0631,0x0631,0x0631,0x0632,0x0613,0x0631,0x3202,0x0631,0x0631,0x069E,0x065D,0x065E,0x065F,0x065D,0x065F,0x065D,0x065E,0x065E,0x065F,0x069D,0x0631,0x0631,0x0614,0x0628,0x063C,0x0601,0x0601
10,0x0634,0x062A,0x0613,0x0631,0x0631,0x0631,0x0631,0x0632,0x323E,0x323E,0x323E,0x068E,0x3255,0x3257,0x3255,0x3256,0x3256,0x3257,0x3201,0x3255,0x3256,0x3256,0x3257,0x068D,0x063D,0x0628,0x0628,0x063D,0x063E,0x0601
11,0x0634,0x062A,0x062A,0x0634,0x0613,0x0631,0x0631,0x0631,0x0631,0x3202,0x0631,0x069E,0x065D,0x065F,0x065D,0x065E,0x065E,0x065F,0x068C,0x065D,0x065E,0x065E,0x065F,0x069D,0x0614,0x0628,0x0630,0x0631,0x0614,0x063C
12,0x0634,0x062A,0x062A,0x063F,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x068C,0x3201,0x3255,0x3256,0x3256,0x3257,0x3201,0x068C,0x3201,0x3201,0x3201,0x3201,0x3201,0x0695,0x0630,0x0631,0x0631,0x0628,0x063C
13,0x0634,0x062A,0x062A,0x0613,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x068C,0x3201,0x3201,0x065D,0x065E,0x065E,0x065F,0x068C,0x3201,0x3255,0x3257,0x3255,0x3256,0x3257,0x0695,0x063D,0x063E,0x0628,0x0628,0x063C
14,0x0634,0x062A,0x062A,0x0612,0x320D,0x3201,0x3201,0x3201,0x3201,0x068D,0x068E,0x3255,0x3256,0x3256,0x3257,0x3201,0x3201,0x068C,0x3201,0x065D,0x065F,0x065D,0x065E,0x065F,0x069D,0x0631,0x0614,0x0628,0x0628,0x063C
15,0x0634,0x062A,0x062A,0x0612,0x3201,0x3201,0x3201,0x3201,0x068C,0x069D,0x069E,0x065D,0x065E,0x065E,0x065F,0x068D,0x0685,0x0687,0x068E,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0628,0x0628,0x0628,0x063C
16,0x0634,0x062A,0x062A,0x0686,0x0686,0x0686,0x0687,0x060A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0695,0x063C,0x0634,0x0696,0x3201,0x3255,0x3257,0x3255,0x3256,0x3256,0x3257,0x0628,0x0628,0x0628,0x063C
17,0x0634,0x062A,0x062A,0x0601,0x0601,0x063E,0x063F,0x0612,0x3201,0x3201,0x3201,0x3201,0x3255,0x3256,0x3257,0x0695,0x063D,0x063F,0x0696,0x3201,0x065D,0x065F,0x065D,0x065E,0x065E,0x065F,0x0628,0x0628,0x0628,0x063C
18,0x0634,0x062A,0x062A,0x0601,0x063F,0x0613,0x0619,0x061A,0x3201,0x3201,0x068D,0x068E,0x065D,0x065E,0x065F,0x069D,0x0619,0x0619,0x069E,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0628,0x0628,0x0628,0x063C
19,0x0634,0x062A,0x062A,0x063F,0x0613,0x061A,0x3201,0x3201,0x3201,0x3201,0x0695,0x0696,0x3201,0x3201,0x3201,0x3201,0x068C,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0628,0x0628,0x0628,0x063C
20,0x0634,0x062A,0x062A,0x0613,0x061A,0x3201,0x3201,0x320D,0x3201,0x3201,0x069D,0x069E,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x068C,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0628,0x0628,0x0628,0x063C
21,0x0634,0x062A,0x062A,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x1180,0x1189,0x055A,0x055B,0x1181,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0633,0x0686,0x0686,0x0628,0x063C
22,0x0634,0x062A,0x062A,0x0612,0x1180,0x1189,0x1189,0x1189,0x1189,0x1198,0x1170,0x0558,0x0559,0x119A,0x1189,0x1189,0x1181,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0628,0x063C,0x0601,0x0601,0x0628,0x063C
