map,MeteorFalls_B1F_1R_Layout,width,29,height,38,primary,gTileset_General,secondary,gTileset_MeteorFalls
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
1,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063F,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x063D,0x063E,0x063E,0x063E,0x0601,0x0601
2,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0616,0x0644,0x0644,0x0644,0x0644,0x062F,0x0644,0x0644,0x0644,0x0645,0x0646,0x0647,0x0644,0x0644,0x0644,0x0644,0x062E,0x0644,0x0644,0x0615,0x063C,0x0601
3,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x063F,0x0612,0x0616,0x0644,0x0644,0x0644,0x062F,0x0644,0x0644,0x0644,0x064D,0x324E,0x064F,0x0644,0x0644,0x0644,0x0644,0x062E,0x0644,0x0615,0x0628,0x063C,0x0601
4,0x0634,0x0613,0x0631,0x0631,0x0631,0x0631,0x0631,0x061A,0x0612,0x060E,0x0616,0x0644,0x062F,0x3201,0x060E,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x060F,0x062E,0x0615,0x0628,0x0628,0x063C,0x0601
5,0x0634,0x062A,0x0613,0x0631,0x0631,0x0663,0x0631,0x0631,0x061A,0x4201,0x062A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x060F,0x3201,0x1180,0x1189,0x1181,0x0628,0x0628,0x0628,0x063C,0x0601
6,0x0634,0x062A,0x0612,0x4201,0x4201,0x420C,0x4201,0x4201,0x4201,0x4201,0x062A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x1190,0x1170,0x1192,0x0628,0x0628,0x0628,0x063C,0x0601
7,0x0634,0x062A,0x0612,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x060E,0x062A,0x1180,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1198,0x1170,0x1192,0x0628,0x0628,0x0628,0x063C,0x0601
8,0x0634,0x062A,0x0612,0x4201,0x4201,0x4201,0x4201,0x4201,0x060E,0x4201,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0610,0x0628,0x0628,0x063D,0x0601
9,0x0634,0x062A,0x0612,0x4201,0x4201,0x0608,0x5285,0x5286,0x5287,0x060A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x0630,0x0614,0x063C
10,0x0634,0x062A,0x0612,0x4201,0x4201,0x0610,0x523C,0x0603,0x5234,0x0612,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0610,0x0630,0x0614,0x0628,0x063C
11,0x0634,0x062A,0x0612,0x4201,0x4201,0x0610,0x523C,0x520C,0x5234,0x0612,0x062A,0x1190,0x1170,0x1170,0x061B,0x4270,0x4271,0x4271,0x4271,0x4271,0x061D,0x1170,0x1170,0x1192,0x0630,0x0614,0x0628,0x0628,0x063C
12,0x0634,0x062A,0x0612,0x4201,0x4201,0x0610,0x523C,0x5201,0x5234,0x0612,0x062A,0x1190,0x1170,0x1178,0x0628,0x423C,0x0608,0x0685,0x0687,0x060A,0x062A,0x1179,0x1170,0x119A,0x1181,0x0610,0x0628,0x0628,0x063C
13,0x0634,0x062A,0x0612,0x4201,0x4201,0x0610,0x523D,0x523E,0x523F,0x0612,0x062A,0x1190,0x1170,0x1192,0x0628,0x423C,0x0610,0x063D,0x063F,0x0612,0x062A,0x1190,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
14,0x0634,0x062A,0x0612,0x4201,0x4201,0x0618,0x0619,0x0202,0x0631,0x061A,0x062A,0x1190,0x1170,0x1192,0x0628,0x423C,0x0618,0x0619,0x0663,0x061A,0x062A,0x1190,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
15,0x0634,0x062A,0x0612,0x4201,0x4201,0x4201,0x0613,0x3202,0x0631,0x0631,0x061A,0x1190,0x1170,0x1192,0x0628,0x423C,0x4201,0x4201,0x420C,0x4201,0x062A,0x1190,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
