map,MeteorFalls_B1F_2R_Layout,width,11,height,18,primary,gTileset_General,secondary,gTileset_MeteorFalls
y\x,0,1,2,3,4,5,6,7,8,9,10
0,0x0601,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x063E,0x0601
1,0x0634,0x0613,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0631,0x0614,0x063C
2,0x0634,0x062A,0x0613,0x0631,0x0631,0x0631,0x0631,0x0631,0x0614,0x0628,0x063C
3,0x0634,0x062A,0x062A,0x3201,0x3201,0x3201,0x3201,0x3201,0x0628,0x0628,0x063C
4,0x0634,0x062A,0x062A,0x3201,0x3201,0x3201,0x3201,0x3201,0x0628,0x0628,0x063C
5,0x0634,0x062A,0x062A,0x1180,0x1189,0x1189,0x1189,0x1181,0x0628,0x0628,0x063C
6,0x0634,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x063C
7,0x0634,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x063C
8,0x0634,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x063C
9,0x0634,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x063C
10,0x0634,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x063C
11,0x0634,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x063C
12,0x0634,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x063C
13,0x0634,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x0628,0x063C
14,0x0634,0x062A,0x062A,0x321E,0x321E,0x321E,0x321E,0x321E,0x0628,0x0628,0x063C
15,0x0634,0x062A,0x062A,0x3201,0x3201,0x3207,0x3201,0x3201,0x0628,0x0628,0x063C
16,0x0634,0x062A,0x0686,0x0686,0x067D,0x067E,0x067F,0x0686,0x0686,0x0628,0x063C
17,0x0601,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0601
