map,MossdeepCity_Gym_Layout,width,20,height,30,primary,gTileset_Building,secondary,gTileset_MossdeepGym
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640,0x0640
1,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648,0x0648
2,0x3211,0x3211,0x3211,0x3211,0x3211,0x3202,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x3209,0x0620,0x3211,0x3211,0x3211,0x3211,0x3211
3,0x322D,0x3210,0x3210,0x3210,0x3210,0x3202,0x3210,0x3213,0x3206,0x3207,0x3214,0x3210,0x320E,0x320A,0x0628,0x3210,0x3210,0x3210,0x3210,0x3210
4,0x322D,0x3210,0x3210,0x3210,0x3210,0x3202,0x3210,0x3212,0x3212,0x3212,0x3212,0x3210,0x0620,0x320A,0x0628,0x3210,0x3210,0x3210,0x3210,0x3210
5,0x322D,0x3210,0x3210,0x3210,0x3210,0x320C,0x3201,0x3215,0x3212,0x3212,0x3216,0x3210,0x0628,0x320A,0x0628,0x3210,0x3210,0x3210,0x3210,0x3210
6,0x0617,0x3202,0x0618,0x0619,0x061C,0x3210,0x3226,0x0625,0x0619,0x0619,0x0619,0x0619,0x0646,0x322A,0x0645,0x3226,0x3226,0x3226,0x3226,0x3210
7,0x322D,0x3210,0x0638,0x3210,0x0628,0x322E,0x4202,0x4209,0x4209,0x4209,0x4209,0x4209,0x4209,0xF231,0x4209,0x4209,0x4209,0x4209,0x4209,0x322F
8,0x322D,0x3210,0x3210,0x3210,0x0628,0x322E,0x0203,0x063D,0x0637,0x0635,0x0635,0x0637,0x063E,0x3232,0x0636,0x3227,0x0647,0x0636,0x020B,0x322F
9,0x322D,0x3210,0x3210,0x3210,0x0623,0x061C,0x0203,0x0634,0x323F,0x322C,0x322C,0x323F,0x0634,0x320A,0x0634,0x322C,0x323F,0x0634,0x020B,0x0620
10,0x322D,0x3210,0x3210,0x3210,0x3210,0x0628,0x3202,0x0628,0x0638,0x3210,0x3210,0x3210,0x0628,0x320A,0x0628,0x3210,0x3210,0x0628,0x320A,0x0628
11,0x322D,0x3210,0x3210,0x3210,0x3210,0x0628,0x3202,0x0630,0x3210,0x3210,0x3210,0x3210,0x0628,0x320A,0x0628,0x3210,0x3210,0x0628,0x320A,0x0628
12,0x3618,0x3619,0x361A,0x3202,0x320A,0x0628,0x3202,0x061B,0x3619,0x361A,0x3202,0x320A,0x0628,0x320A,0x0623,0x0619,0x0619,0x061F,0x320A,0x0628
13,0x322D,0x3226,0x3226,0x322B,0x322A,0x0645,0x322B,0x0645,0x3226,0x3226,0x322B,0x322A,0x0645,0x322A,0x3226,0x3226,0x3210,0x0628,0x320A,0x0628
14,0x324F,0x4201,0x4201,0xF229,0xF229,0x4201,0xF229,0x4201,0x4205,0x4201,0xF229,0xF229,0x4201,0xF229,0x4201,0x4202,0x322F,0x0630,0x320A,0x0628
15,0x324F,0x020B,0x0647,0x3233,0x3232,0x0636,0x3233,0x0636,0x0203,0x0647,0x3233,0x3232,0x0636,0x3232,0x0647,0x0203,0x322F,0x0638,0x320A,0x0628
16,0x324F,0x020B,0x323F,0x3202,0x320A,0x0634,0x3202,0x0634,0x0203,0x323F,0x3202,0x320A,0x0634,0x320A,0x323F,0x0203,0x3201,0x3210,0x3210,0x0628
17,0x0620,0x320A,0x0620,0x3202,0x320A,0x0628,0x3202,0x0628,0x3210,0x3210,0x3202,0x320A,0x0628,0x320A,0x3209,0x3204,0x3201,0x3210,0x320A,0x0628
18,0x0628,0x320A,0x0628,0x3202,0x320A,0x0628,0x3202,0x0630,0x3210,0x3210,0x3210,0x320A,0x0623,0x0619,0x0619,0x0619,0x061A,0x3210,0x320A,0x0628
