map,MossdeepCity_Layout,width,80,height,40,primary,gTileset_General,secondary,gTileset_Mossdeep
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0x1170,0x1170,0x1170,0x1170,0x057A,0x3071,0x3071,0x047B,0x047C,0x047C,0x347D,0x3071,0x3071,0x3071,0x157C,0x0558,0x0559,0x1582,0x1479,0x1584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
1,0x1170,0x1170,0x1170,0x1170,0x1582,0x1479,0x3489,0x3071,0x3071,0x3071,0x3071,0x3071,0x1474,0x1479,0x1584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1575,0x1576,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
2,0x1170,0x1170,0x1170,0x1170,0x173B,0x173D,0x1582,0x1479,0x1479,0x1479,0x1479,0x1479,0x1584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
3,0x1170,0x1170,0x0550,0x0551,0x157D,0x157E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x31AE,0x31AE,0x31AE,0x11AF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0572,0x069C,0x0695,0x0696,0x069D,0x06BD,0x1570,0x16F2,0x16F3,0x16F4,0x1570,0x1570,0x1570,0x1570,0x1570,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
4,0x1550,0x1551,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x31AE,0x319B,0x319E,0x319E,0x319E,0x319C,0x31AE,0x31AE,0x11AF,0x1170,0x1170,0x1170,0x0572,0x40F6,0x40F6,0x40F6,0x40F6,0x40F6,0x40F6,0x40F6,0x40F6,0x40F6,0x40F6,0x40F6,0x0574,0x1170,0x1170,0x1170,0x0572,0x04EE,0x0690,0x0691,0x0692,0x0693,0x7002,0x7002,0x7301,0x070B,0x7305,0x7002,0x7002,0x7002,0x7002,0x7002,0x06BD,0x1570,0x1570,0x1570,0x1570,0x1570,0x1570,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
5,0x1558,0x1559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x319B,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x0594,0x319E,0x319E,0x319E,0x055E,0x40F6,0x40F6,0x40F6,0x40F6,0x40F6,0x531A,0x531B,0x531A,0x531B,0x41AA,0x41AB,0x41AB,0x41AB,0x41AB,0x41AC,0x4001,0x40F6,0x40F6,0x40F6,0x40F6,0x0753,0x0473,0x0698,0x0699,0x069A,0x069B,0x7001,0x7001,0x0712,0x0713,0x0714,0x9404,0x0468,0x9002,0x9002,0x9002,0x9002,0x9002,0x9002,0x9002,0x9002,0x9002,0x9002,0x9002,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
6,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x319B,0x319E,0x319E,0x319E,0x0594,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x319E,0x055E,0x431E,0x431F,0x4001,0x5294,0x5295,0x5296,0x5297,0x0722,0x0756,0x0755,0x0723,0x05B2,0x05B3,0x05B3,0x05B3,0x05B3,0x05B4,0x4001,0x4001,0x531A,0x531B,0x5001,0x0470,0x0473,0x06A0,0x06A1,0x06A2,0x06A3,0x7001,0x7001,0x7001,0x0468,0x9002,0x9002,0x06C0,0x9404,0x072B,0x0737,0x072C,0x072C,0x072D,0x072C,0x072C,0x0737,0x072E,0x9401,0x0475,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
7,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x319B,0x319E,0x319E,0x0594,0x055E,0x531E,0x531F,0x5002,0x529E,0x5295,0x52A6,0x529F,0x5002,0x531E,0x0755,0x0756,0x531B,0x5690,0x5691,0x5692,0x5693,0x5001,0x0722,0x0723,0x5001,0x05B8,0x05B9,0x05BA,0x05B3,0x05BB,0x05BC,0x4001,0x531A,0x0755,0x0723,0x0468,0x70D3,0x7002,0x7004,0x7001,0x7001,0x7001,0x7001,0x7001,0x0468,0x0473,0x9001,0x9001,0x0470,0x9404,0x0733,0x0734,0x0317,0x072F,0x0735,0x072F,0x0317,0x0734,0x0736,0x9404,0x0475,0x0475,0x90D4,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
8,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319E,0x319E,0x055E,0x0473,0x0722,0x0723,0x5001,0x5690,0x5691,0x56A7,0x5693,0x531A,0x0755,0x0725,0x0724,0x0723,0x0698,0x0699,0x069A,0x069B,0x5001,0x5001,0x5001,0x5130,0x05C0,0x05C1,0x05C2,0x05C5,0x05C3,0x05C4,0x531A,0x0755,0x0723,0x0468,0x0473,0x7004,0x7001,0x7001,0x7118,0x711A,0x7001,0x7001,0x0468,0x9002,0x06C0,0x9004,0x0468,0x9402,0x9401,0x06DA,0x06DB,0x06DB,0x06DC,0x06DD,0x06DE,0x06DF,0x06DF,0x06C7,0x9401,0x0475,0x0475,0x9401,0x0475,0x0574,0x1170,0x1170,0x1170,0x1170,0x1170
9,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319E,0x319E,0x0566,0x0473,0x5001,0x5004,0x5004,0x0698,0x0699,0x069A,0x069B,0x0722,0x0723,0x0722,0x0723,0x5001,0x06A0,0x06A1,0x06A2,0x56A3,0x5001,0x5001,0x5001,0x0531,0x51C8,0x51C9,0x05CA,0x05CD,0x05CB,0x51CC,0x0722,0x0723,0x0468,0x70D3,0x7002,0x7001,0x7001,0x7001,0x7120,0x7122,0x7001,0x0468,0x0473,0x0468,0x9002,0x9001,0x0470,0x9401,0x9401,0x06DA,0x06DB,0x06DB,0x06DC,0x06DD,0x06DE,0x06DF,0x06DF,0x06C7,0x9401,0x0472,0x90D4,0x946A,0x0475,0x0475,0x0574,0x1170,0x1170,0x1170,0x1170
10,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319E,0x0594,0x0566,0x0473,0x5001,0x5004,0x5004,0x06A0,0x06A1,0x06A2,0x06A3,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5004,0x5001,0x5118,0x5119,0x5119,0x5119,0x5119,0x5119,0x5119,0x5119,0x511A,0x5001,0x0468,0x0473,0x7004,0x7001,0x7001,0x7001,0x7118,0x7121,0x7122,0x7001,0x0470,0x0473,0x0473,0x9001,0x9001,0x0470,0x971A,0x971B,0x06DA,0x06DB,0x06DB,0x06DC,0x06DD,0x06DE,0x06DF,0x06DF,0x06C7,0x9401,0x94D4,0x946A,0x0475,0x0475,0x0475,0x0475,0x0574,0x1170,0x1170,0x1170
11,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319E,0x319E,0x0566,0x047B,0x0489,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5004,0x5001,0x5001,0x5001,0x5001,0x5120,0x5121,0x5121,0x5129,0x5129,0x5129,0x5129,0x5129,0x512A,0x5001,0x0470,0x0473,0x7001,0x7001,0x7001,0x7118,0x7121,0x7121,0x7122,0x0468,0x7002,0x06C0,0x0473,0x9004,0x9001,0x0470,0x9722,0x9723,0x06DA,0x06DB,0x06DB,0x06DC,0x06DD,0x06DE,0x06DF,0x06DF,0x06C7,0x971A,0x071B,0x0475,0x0475,0x0475,0x0475,0x0475,0x0475,0x0574,0x1170,0x1170
12,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319E,0x319E,0x056E,0x0489,0x0473,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x531A,0x531B,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x5120,0x5121,0x5122,0x5001,0x5001,0x5001,0x5001,0x5001,0x5001,0x0468,0x72FA,0x72FB,0x7304,0x7001,0x7118,0x7121,0x7121,0x7121,0x7122,0x0470,0x7001,0x0470,0x0473,0x9001,0x9001,0x0470,0x971A,0x971B,0x06E2,0x06E3,0x06E3,0x06E4,0x06E5,0x06E6,0x06E7,0x06E7,0x06CF,0x9722,0x9723,0x0475,0x0475,0x0475,0x0475,0x0475,0x0475,0x0472,0x90D4,0x0574
13,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11B5,0x319E,0x319E,0x319E,0x319E,0x0566,0x047B,0x0489,0x5294,0x5295,0x5296,0x5297,0x5001,0x5001,0x5001,0x0722,0x0756,0x531B,0x5048,0x5049,0x504A,0x504B,0x5001,0x5120,0x5121,0x5122,0x5001,0x5001,0x5001,0x5001,0x5004,0x0468,0x0473,0x730A,0x070B,0x730C,0x7001,0x7120,0x7121,0x7121,0x7121,0x7122,0x0470,0x7004,0x0470,0x0478,0x0489,0x9001,0x0470,0x9722,0x9723,0x06EA,0x06EB,0x06EB,0x06EC,0x06ED,0x06EE,0x06EF,0x06EF,0x06D7,0x971A,0x971B,0x0475,0x0475,0x0475,0x0475,0x0475,0x0475,0x0472,0x7001,0x057C
