map,MossdeepCity_SpaceCenter_1F_Layout,width,16,height,10,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0x0618,0x0219,0x0219,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06B3,0x06B4,0x06B5,0x0219
1,0x06BA,0x06B8,0x06B9,0x0700,0x0700,0x0700,0x0700,0x0700,0x0700,0x0700,0x0700,0x0700,0x06BB,0x02BC,0x06BD,0x06B9
2,0x3377,0x3375,0x3376,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x336E,0x3366,0x336F,0x3376
3,0x32F1,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x32F0,0x32F0
4,0x32F1,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x3363,0x3364,0x32F0,0x3363,0x3364,0x32F0
5,0x32F1,0x32F0,0x0768,0x0769,0x0768,0x0769,0x32F0,0x32F0,0x32F0,0x32F0,0x076B,0x076C,0x32F0,0x076B,0x076C,0x32F0
6,0x32F1,0x3361,0x0770,0x0771,0x0770,0x0771,0x3361,0x32F0,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0
7,0x32F1,0x32F0,0x3361,0x32F0,0x3361,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x0768,0x0769,0x0768,0x0769,0x32F0,0x32F0
8,0x32F1,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x0770,0x0771,0x0770,0x0771,0x3361,0x32F0
9,0x32F1,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x0206,0x0207,0x32F0,0x32F0,0x3361,0x32F0,0x3361,0x32F0,0x32F0
