map,MtChimney_Layout,width,40,height,47,primary,gTileset_General,secondary,gTileset_Lavaridge
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0x0668,0x067E,0x0671,0x0670,0x0671,0x0671,0x0670,0x0671,0x0670,0x0671,0x0672,0x0672,0x0672,0x3271,0x0672,0x071C,0x061C,0x0689,0x0678,0x067C,0x3271,0x067B,0x067A,0x031C,0x06BD,0x061C,0x0689,0x0670,0x0670,0x0670,0x0670,0x0671,0x0672,0x0672,0x0671,0x0671,0x0671,0x0672,0x0671,0x0671
1,0x0670,0x0671,0x0671,0x0670,0x0671,0x0671,0x0670,0x0671,0x0670,0x0671,0x0672,0x0672,0x0672,0x067B,0x067A,0x071C,0x06BD,0x061B,0x067C,0x0678,0x0674,0x067A,0x067B,0x061D,0x06BD,0x0613,0x367E,0x0670,0x0670,0x0670,0x0670,0x0671,0x0672,0x0672,0x0671,0x0671,0x0671,0x0672,0x0671,0x0671
2,0x0670,0x0671,0x0668,0x067E,0x0671,0x0671,0x0670,0x0668,0x067E,0x0671,0x0672,0x0672,0x0672,0x0672,0x067B,0x061D,0x06BD,0x061C,0x061B,0x0679,0x0679,0x0679,0x061D,0x061C,0x06BD,0x0689,0x0671,0x0670,0x0670,0x0670,0x0670,0x0671,0x0672,0x0672,0x0671,0x0671,0x0671,0x0672,0x0671,0x067B
3,0x0670,0x0671,0x0670,0x0671,0x0671,0x0671,0x0670,0x0670,0x0671,0x0671,0x0672,0x0672,0x0672,0x0672,0x071C,0x061C,0x06BD,0x06BD,0x061C,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x061C,0x0689,0x0668,0x067E,0x0670,0x0670,0x0670,0x0671,0x0672,0x0672,0x0671,0x0671,0x067B,0x067A,0x0671,0x0672
4,0x0670,0x0671,0x0670,0x0671,0x0671,0x0671,0x0670,0x0670,0x0671,0x0671,0x0672,0x0672,0x0672,0x0672,0x071C,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x061C,0x06BD,0x061C,0x06BD,0x06BD,0x0689,0x0670,0x0668,0x067E,0x0670,0x0678,0x0674,0x067A,0x0672,0x0671,0x0671,0x0672,0x0671,0x0671,0x0672
5,0x0670,0x0671,0x0670,0x0671,0x0671,0x0671,0x0670,0x0670,0x0671,0x067B,0x067A,0x0672,0x0672,0x0672,0x0705,0x06BD,0x061C,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x0613,0x067E,0x0670,0x0670,0x0668,0x327E,0x3271,0x3271,0x3271,0x0672,0x0671,0x0671,0x0672,0x0671,0x0671,0x0672
6,0x0670,0x0671,0x0670,0x0671,0x0671,0x0671,0x0670,0x0678,0x0674,0x067A,0x3271,0x327F,0x327F,0x327F,0x3704,0x0615,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x061C,0x0689,0x0671,0x0670,0x0670,0x0670,0x3271,0x3271,0x3271,0x3271,0x0672,0x0671,0x067B,0x067A,0x0671,0x0671,0x0672
7,0x0670,0x0671,0x0670,0x0671,0x0671,0x0671,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x071C,0x06BD,0x061C,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x06BD,0x0689,0x0668,0x067E,0x0670,0x0670,0x3271,0x3271,0x3271,0x3271,0x0672,0x0671,0x0672,0x0671,0x0671,0x067B,0x067A
8,0x0670,0x0671,0x0670,0x0671,0x0671,0x0671,0x0670,0x3271,0x3271,0x3271,0x3271,0x067B,0x0674,0x0674,0x0674,0x061D,0x061C,0x06BD,0x06BD,0x06BD,0x061C,0x06BD,0x061C,0x06BD,0x0689,0x0670,0x0671,0x0670,0x0670,0x3271,0x3271,0x3271,0x3271,0x0672,0x0671,0x0672,0x0671,0x0671,0x0672,0x0671
9,0x0670,0x0671,0x0678,0x067C,0x0671,0x0671,0x0670,0x3271,0x3271,0x3271,0x3271,0x0672,0x0672,0x0672,0x071C,0x061C,0x06BD,0x06BD,0x061C,0x06BD,0x06BD,0x06BD,0x06BD,0x0613,0x067E,0x067E,0x0668,0x067E,0x0670,0x3271,0x3271,0x3271,0x067B,0x067A,0x0671,0x0672,0x0671,0x067B,0x067A,0x0671
10,0x0678,0x067C,0x0671,0x0670,0x0671,0x0671,0x0670,0x0668,0x0669,0x066A,0x3271,0x0672,0x0672,0x067F,0x067F,0x0614,0x0615,0x06BD,0x06BD,0x061C,0x06BD,0x0613,0x0614,0x0670,0x0671,0x0668,0x067E,0x0668,0x327E,0x3271,0x3271,0x3271,0x0672,0x0671,0x067B,0x067A,0x0671,0x0672,0x0671,0x0671
11,0x0671,0x0670,0x0671,0x0678,0x067C,0x0671,0x0670,0x0670,0x0671,0x0672,0x3271,0x327F,0x327F,0x066A,0x0671,0x0671,0x0672,0x0614,0x0614,0x0614,0x0614,0x067E,0x0668,0x067E,0x0671,0x0670,0x0668,0x327E,0x3271,0x3271,0x3271,0x3271,0x0672,0x0671,0x0672,0x0671,0x0671,0x0672,0x0671,0x067B
12,0x0671,0x0670,0x0671,0x0671,0x0670,0x0671,0x0670,0x0678,0x0674,0x067A,0x3271,0x3271,0x3271,0x327F,0x3269,0x066A,0x067F,0x0669,0x0669,0x0669,0x0669,0x0669,0x067E,0x0671,0x0668,0x367E,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x0672,0x0671,0x0672,0x0671,0x0671,0x0672,0x0671,0x0672
13,0x067C,0x0678,0x067C,0x0671,0x0678,0x067C,0x0678,0x067C,0x3271,0x3271,0x3271,0x3271,0x0668,0x0669,0x066A,0x0672,0x0669,0x0669,0x066A,0x0671,0x0671,0x0668,0x0669,0x0669,0x367E,0x3671,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x0672,0x0671,0x0672,0x0671,0x0671,0x0672,0x067B,0x067A
14,0x0670,0x0671,0x0670,0x0671,0x0671,0x0670,0x0671,0x0678,0x067C,0x3271,0x3271,0x3271,0x0670,0x0671,0x0672,0x327F,0x3269,0x066A,0x067F,0x0669,0x0669,0x067E,0x0668,0x3269,0x3269,0x3269,0x327E,0x3271,0x3271,0x3271,0x3271,0x3271,0x0672,0x0671,0x0672,0x0671,0x067B,0x067A,0x0672,0x067B
15,0x0678,0x067C,0x0678,0x067C,0x0671,0x0670,0x0671,0x0671,0x0670,0x3271,0x3271,0x3271,0x0678,0x0674,0x067A,0x3271,0x3271,0x327F,0x3269,0x3269,0x3269,0x3269,0x327E,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x0672,0x067B,0x067A,0x0671,0x0672,0x067B,0x067A,0x0672
