map,MtPyre_1F_Layout,width,22,height,19,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x06EF,0x06B3,0x06B4,0x06B5,0x06EF,0x06EF,0x06E4,0x06EF,0x06EF,0x06E4,0x06EF,0x06EF,0x06E4
1,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x06F7,0x06BB,0x32BC,0x06BD,0x06F7,0x06F7,0x06EC,0x06F7,0x06F7,0x06EC,0x06F7,0x06F7,0x06EC
2,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x32E7,0x32E8,0x32E7,0x32E9,0x3726,0x3726,0x32E7,0x32E7,0x32E7,0x32E7,0x32E7,0x32E7,0x32E7
3,0x0601,0x0601,0x0601,0x06EF,0x06E4,0x06EF,0x06EF,0x06E4,0x071F,0x32E7,0x32E6,0x32E6,0x32E6,0x36EE,0x36EE,0x32E6,0x36EE,0x36EE,0x36EE,0x32E6,0x36EE,0x36EE
4,0x0601,0x0601,0x0601,0x06F7,0x06EC,0x06F7,0x06F7,0x06EC,0x3727,0x32E7,0x32E6,0x32E6,0x32E6,0x36EE,0x36EE,0x32E6,0x36EE,0x36EE,0x36EE,0x32E6,0x36EE,0x36EE
5,0x0601,0x0601,0x0601,0x32E7,0x32E7,0x32E7,0x32E7,0x32E7,0x32E7,0x32E7,0x32E6,0x32E6,0x32E6,0x36EE,0x36EE,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6
6,0x0601,0x0601,0x0601,0x3206,0x3207,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x36EE,0x36EE,0x36EE,0x32E6,0x36EE,0x36EE
7,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x3726,0x36EE,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x36EE,0x36EE,0x36EE,0x32E6,0x36EE,0x36EE
8,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x3726,0x36EE,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6
9,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x32E7,0x32E6,0x36EE,0x36EE,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6
10,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x32E7,0x32E6,0x36EE,0x36EE,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6
11,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x3726,0x36EE,0x32E6,0x32E6,0x36EE,0x36EE,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x36EE,0x36EE
12,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x3726,0x36EE,0x32E6,0x32E6,0x36EE,0x36EE,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x36EE,0x36EE
13,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x32E7,0x32E6,0x0601,0x0601,0x0601
14,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x32E7,0x32E6,0x0601,0x0601,0x0601
15,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x32E7,0x32E6,0x0601,0x0601,0x0601
16,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x32E7,0x32E6,0x0601,0x0601,0x0601
17,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x32E7,0x32E6,0x0601,0x0601,0x0601
18,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x3206,0x3207,0x0601,0x0601,0x0601
