map,MtPyre_5F_Layout,width,13,height,13,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0x06E4,0x06B3,0x06B4,0x06B5,0x06EF,0x06EA,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
1,0x06EC,0x06BB,0x32BC,0x06BD,0x06F7,0x06EB,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
2,0x0726,0x32E8,0x32E7,0x32E9,0x0726,0x32E7,0x070F,0x06EF,0x06EF,0x06EF,0x06EF,0x06EF,0x06EF
3,0x0726,0x32E6,0x32E6,0x32E6,0x06EE,0x32E6,0x0717,0x06F7,0x06F7,0x06F7,0x06F7,0x06F7,0x06F7
4,0x06EF,0x06EA,0x32DE,0x06E4,0x06EF,0x06EF,0x06EF,0x06EF,0x06EF,0x06C3,0x06C4,0x06C5,0x06EF
5,0x06F7,0x06EB,0x32DE,0x06EC,0x06F7,0x06F7,0x06F7,0x06F7,0x06F7,0x06CB,0x32CC,0x06CD,0x06F7
6,0x0726,0x32E7,0x32E7,0x32E7,0x0726,0x0726,0x0726,0x0726,0x0726,0x32E8,0x32E7,0x32E9,0x0726
7,0x0726,0x32E6,0x32E6,0x32E6,0x06EE,0x32E6,0x32E6,0x32E6,0x06EE,0x32E6,0x32E6,0x32E6,0x06EE
8,0x32E7,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6
9,0x0726,0x06EE,0x32E6,0x32E6,0x32E6,0x06EE,0x06EE,0x06EE,0x32E6,0x32E6,0x32E6,0x06EE,0x06EE
10,0x32E7,0x32E6,0x06EE,0x06EE,0x06EE,0x32E6,0x36ED,0x32E6,0x06EE,0x06EE,0x06EE,0x32E6,0x33F2
11,0x0726,0x32E6,0x32E6,0x06EE,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x06EE,0x32E6,0x32E6,0x06EE
12,0x0726,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x32E6,0x33F2
