map,MtPyre_Exterior_Layout,width,38,height,51,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0x046B,0x046B,0x00BE,0x0473,0x0473,0x0471,0x0471,0x0471,0x0471,0x046B,0x3001,0x0468,0x30D3,0x0468,0x30D3,0x3001,0x3001,0x0470,0x073D,0x0732,0x0732,0x073B,0x0472,0x3001,0x3001,0x3001,0x3001,0x0475,0x0475,0x3001,0x0475,0x046D,0x0471,0x0471,0x0475,0x0471,0x04BF,0x046D
1,0x0473,0x0473,0x046B,0x30BE,0x0473,0x0471,0x0471,0x0471,0x046B,0x30D3,0x0468,0x0473,0x3001,0x0470,0x3001,0x3001,0x3001,0x0470,0x073D,0x0732,0x0732,0x073B,0x0472,0x3001,0x3001,0x3001,0x3001,0x0475,0x0475,0x3001,0x0475,0x30D4,0x046D,0x0471,0x04BF,0x046D,0x0471,0x0475
2,0x00BE,0x0473,0x0473,0x0471,0x0473,0x0471,0x0471,0x046B,0x0473,0x3001,0x0470,0x0473,0x3001,0x0470,0x3001,0x3001,0x3001,0x0470,0x073D,0x0732,0x0732,0x073B,0x0472,0x3001,0x3001,0x3001,0x3001,0x0475,0x0475,0x3001,0x0475,0x3001,0x0472,0x046D,0x0471,0x04BF,0x046D,0x04BF
3,0x046B,0x00BE,0x0473,0x0471,0x0473,0x0471,0x0471,0x0473,0x0473,0x3001,0x0470,0x0473,0x3001,0x0470,0x3001,0x0468,0x046A,0x0470,0x073D,0x0732,0x0732,0x073B,0x0472,0x0468,0x046A,0x3001,0x3001,0x0475,0x0475,0x3001,0x0475,0x3001,0x0472,0x04BF,0x046D,0x0471,0x04BF,0x046D
4,0x0473,0x0471,0x0473,0x046B,0x30BE,0x0471,0x046B,0x30D3,0x3002,0x3001,0x0470,0x0473,0x3001,0x0470,0x3001,0x048B,0x048C,0x0470,0x073D,0x0732,0x0732,0x073B,0x0472,0x048B,0x048C,0x3001,0x3001,0x0475,0x0475,0x3001,0x0475,0x3001,0x0472,0x0471,0x04BF,0x046D,0x0471,0x0475
5,0x00BE,0x0471,0x0473,0x0473,0x0471,0x046B,0x0473,0x3001,0x3001,0x3001,0x0470,0x0473,0x3001,0x0470,0x3001,0x0725,0x3001,0x0470,0x073D,0x0732,0x0732,0x073B,0x0472,0x3001,0x0725,0x3001,0x3001,0x0475,0x0472,0x3001,0x0472,0x3001,0x30D4,0x046D,0x0471,0x04BF,0x046D,0x0475
6,0x0471,0x046B,0x00BE,0x0473,0x0471,0x0473,0x0473,0x0468,0x0469,0x046A,0x0470,0x0473,0x3001,0x0470,0x3001,0x0468,0x046A,0x0470,0x073D,0x0732,0x0732,0x073B,0x0472,0x0468,0x046A,0x3001,0x3001,0x0475,0x0472,0x3001,0x0472,0x3001,0x3001,0x0472,0x0471,0x0471,0x0475,0x0475
7,0x046B,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x0470,0x0474,0x047A,0x0470,0x0473,0x3001,0x0470,0x3001,0x048B,0x048C,0x0470,0x073D,0x0732,0x0732,0x073B,0x0472,0x048B,0x048C,0x3001,0x0474,0x047D,0x0472,0x3001,0x0472,0x0468,0x046A,0x0472,0x046B,0x046D,0x0475,0x0475
8,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x0470,0x0472,0x0724,0x0470,0x0473,0x3001,0x0478,0x0489,0x3001,0x0725,0x0470,0x073D,0x0738,0x0738,0x073A,0x0472,0x0725,0x3001,0x3001,0x0475,0x0474,0x047A,0x3001,0x0472,0x0470,0x0472,0x0472,0x0473,0x0475,0x0475,0x0475
9,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x0470,0x0472,0x3001,0x0470,0x0473,0x0468,0x046A,0x0470,0x3725,0x3001,0x0478,0x047A,0x0739,0x0739,0x073C,0x047A,0x3001,0x3725,0x3001,0x0475,0x0472,0x0468,0x046A,0x0472,0x0470,0x0472,0x0472,0x0473,0x0475,0x0475,0x0475
10,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x0470,0x0472,0x3001,0x0470,0x0473,0x0473,0x0472,0x0478,0x0479,0x0479,0x0479,0x0479,0x3328,0x3329,0x0479,0x0479,0x0479,0x0479,0x0479,0x047D,0x0472,0x0470,0x0472,0x0472,0x0470,0x0472,0x0472,0x0473,0x0475,0x0475,0x0475
11,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x0478,0x047A,0x3001,0x0470,0x0473,0x0473,0x0472,0x3725,0x3001,0x3725,0x3001,0x3725,0x31D8,0x31DA,0x3725,0x3001,0x3725,0x3001,0x3725,0x3001,0x0472,0x0470,0x0472,0x0472,0x0470,0x0472,0x0472,0x0473,0x0475,0x0475,0x0475
12,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x3001,0x3001,0x3001,0x0470,0x0473,0x0473,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D8,0x31DA,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047A,0x0478,0x047A,0x0472,0x0470,0x0472,0x0472,0x047B,0x047D,0x0475,0x0475
13,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x3001,0x0468,0x046A,0x0470,0x0473,0x0470,0x0472,0x0724,0x3001,0x0724,0x3001,0x3001,0x31D8,0x31DA,0x3001,0x3001,0x0724,0x3001,0x0724,0x0475,0x0724,0x0724,0x0474,0x047A,0x0470,0x0472,0x0472,0x0471,0x0471,0x0475,0x0475
14,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x3001,0x0470,0x0472,0x0470,0x0473,0x0478,0x047A,0x3001,0x3001,0x3001,0x3001,0x3001,0x31E0,0x31E2,0x3001,0x3001,0x3001,0x3001,0x3001,0x0475,0x3001,0x3001,0x0472,0x3001,0x0470,0x0472,0x0472,0x0471,0x0471,0x0475,0x0475
15,0x0473,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x3001,0x0470,0x0472,0x0470,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x30AF,0x30CF,0x047C,0x0479,0x0479,0x0479,0x047C,0x047A,0x3001,0x3001,0x0472,0x0724,0x0470,0x0472,0x0472,0x0471,0x0471,0x0475,0x0475
