map,MtPyre_Summit_Layout,width,50,height,37,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x0741,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0743,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1
1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x0741,0x0473,0x0474,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0489,0x0475,0x0743,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1
2,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x0741,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x00BE,0x0473,0x0472,0x3001,0x3001,0x3001,0x3001,0x072A,0x3001,0x3001,0x3001,0x3001,0x0470,0x0475,0x00BF,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0742,0x0743,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1
3,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x0741,0x0473,0x0474,0x047C,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0489,0x0473,0x0472,0x3001,0x3001,0x3001,0x072A,0x3001,0x072A,0x3001,0x3001,0x3001,0x0470,0x0475,0x0474,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0489,0x0472,0x0743,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1
4,0x04A1,0x04A1,0x04A1,0x04A1,0x0741,0x0473,0x0473,0x0472,0x300D,0x300D,0x0725,0x300D,0x0725,0x3001,0x3001,0x3001,0x0470,0x0473,0x0472,0x3001,0x3001,0x3001,0x072C,0x072D,0x072E,0x3001,0x3001,0x3001,0x0470,0x0475,0x0472,0x3001,0x3001,0x300D,0x0725,0x300D,0x0725,0x300D,0x0470,0x0472,0x0472,0x0743,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1,0x04A1
5,0x04A1,0x04A1,0x04A1,0x0741,0x0473,0x0473,0x0473,0x0472,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x0470,0x0473,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0475,0x0472,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x0470,0x0472,0x0472,0x0472,0x3002,0x3002,0x30D4,0x0743,0x04A1,0x04A1,0x04A1,0x04A1
6,0x0741,0x30D3,0x3002,0x0470,0x0473,0x0473,0x0473,0x00BF,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x046A,0x3001,0x0470,0x0473,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0475,0x0472,0x3001,0x0468,0x0469,0x0469,0x0469,0x046A,0x300D,0x0470,0x0472,0x0472,0x0472,0x3001,0x0468,0x046A,0x0472,0x30D4,0x0743,0x04A1,0x04A1
7,0x0473,0x0468,0x046A,0x0470,0x0473,0x0473,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x0489,0x0472,0x3001,0x0470,0x0473,0x00BF,0x0469,0x046A,0x3001,0x3001,0x3001,0x3001,0x3001,0x0468,0x0469,0x00BE,0x0475,0x0472,0x3001,0x0470,0x0474,0x047C,0x047C,0x047A,0x300D,0x0478,0x047A,0x0472,0x0472,0x3001,0x0470,0x0475,0x0472,0x3001,0x0475,0x0743,0x04A1
8,0x0473,0x0470,0x0472,0x0470,0x0473,0x0478,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0489,0x0473,0x0472,0x3001,0x0470,0x0478,0x0479,0x0479,0x047A,0x072B,0x31D0,0x31D1,0x31D2,0x072B,0x0478,0x0479,0x0479,0x047A,0x0472,0x3001,0x0470,0x0475,0x0474,0x0491,0x0479,0x0479,0x0479,0x0479,0x047A,0x0472,0x3001,0x0470,0x0475,0x0472,0x3001,0x0475,0x0475,0x0743
9,0x0473,0x0470,0x0472,0x0470,0x0473,0x0468,0x0469,0x0469,0x0469,0x0469,0x046A,0x3001,0x0470,0x0473,0x0472,0x3001,0x0470,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x3001,0x3001,0x3001,0x3001,0x0472,0x3001,0x0470,0x0475,0x0472,0x0468,0x0469,0x0469,0x0469,0x0469,0x046A,0x0472,0x3001,0x0470,0x0475,0x0472,0x3001,0x0475,0x0475,0x0475
