map,NewMauville_Entrance_Layout,width,9,height,9,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8
0,0x0474,0x047C,0x047C,0x06C3,0x06C4,0x06C5,0x047C,0x047C,0x0489
1,0x0475,0x0474,0x04A9,0x06CB,0x32CC,0x06CD,0x04A9,0x0489,0x0473
2,0x0475,0x0475,0x33D0,0x33CE,0x33D0,0x33CF,0x33D0,0x07D4,0x0473
3,0x0475,0x0475,0x33D0,0x33D0,0x33D0,0x33D0,0x33D0,0x07D4,0x0473
4,0x0475,0x0475,0x33D0,0x33D0,0x33D0,0x33D0,0x33D0,0x07D4,0x0473
5,0x0475,0x0475,0x33D0,0x33D0,0x33D0,0x33D0,0x33D0,0x07D4,0x0473
6,0x0475,0x0475,0x33D0,0x33D0,0x33C7,0x33D0,0x33D0,0x07D4,0x0473
7,0x0475,0x04BF,0x07D6,0x07D1,0x07D2,0x07D3,0x07D6,0x04BE,0x0473
8,0x04BF,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x04BE
