map,NewMauville_Inside_Layout,width,41,height,41,primary,gTileset_General,secondary,gTileset_BikeShop
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,0x0608,0x0608,0x0608,0x0668,0x061F,0x06A8,0x061F,0x061F,0x061F,0x061F,0x06B7,0x061F,0x061F,0x061F,0x061F,0x066A,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0668,0x061F,0x061F,0x0699,0x069A,0x061F,0x061F,0x061F,0x061F,0x061F,0x061F,0x061F,0x061F,0x061F,0x061F,0x061F,0x066A
1,0x0608,0x0608,0x0608,0x0670,0x0627,0x06B0,0x06B1,0x0627,0x0627,0x0627,0x06BF,0x0627,0x06D7,0x06D7,0x06D6,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0670,0x06D7,0x0627,0x06A1,0x06A2,0x06D4,0x06D5,0x0627,0x06D0,0x06D1,0x06D2,0x06D3,0x06D6,0x06D7,0x06D4,0x06D5,0x0672
2,0x0608,0x0608,0x0608,0x0670,0x3275,0x32B8,0x32B9,0x3275,0x322F,0x322F,0x36C7,0x322F,0x32EF,0x32DF,0x32DE,0x068C,0x061F,0x061F,0x061F,0x061F,0x061F,0x06B6,0x061F,0x061F,0x068B,0x32DF,0x3275,0x32A9,0x32AA,0x36DC,0x06DD,0x3275,0x06D8,0x06D9,0x06DA,0x06DB,0x32DE,0x32DF,0x36DC,0x36DD,0x0672
3,0x0608,0x0608,0x0608,0x0670,0x327D,0x328E,0x3237,0x3237,0x3237,0x3237,0x36CF,0x3237,0x3237,0x328D,0x3285,0x0694,0x0627,0x0627,0x0627,0x0627,0x0627,0x06BE,0x0627,0x0627,0x0693,0x327D,0x3210,0x3210,0x3210,0x36E4,0x36E5,0x327D,0x36E0,0x36E1,0x36E2,0x36E3,0x327D,0x32C8,0x36E4,0x36E5,0x0672
4,0x0608,0x0608,0x0608,0x0670,0x327D,0x0696,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0695,0x327D,0x327F,0x322F,0x322F,0x322F,0x322F,0x322F,0x36C6,0x322F,0x322F,0x322F,0x327E,0x3210,0x3210,0x3210,0x327F,0x322F,0x327E,0x36E8,0x36E9,0x36EA,0x36EB,0x327D,0x3210,0x327F,0x322F,0x0672
5,0x0668,0x061F,0x061F,0x068B,0x327D,0x068C,0x0699,0x069A,0x066A,0x0608,0x0608,0x0608,0x0608,0x0670,0x327D,0x328E,0x3237,0x3237,0x3237,0x3237,0x3237,0x36CE,0x3237,0x3237,0x328D,0x3285,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x327F,0x322F,0x322F,0x322F,0x327E,0x3210,0x3210,0x3210,0x0672
6,0x0670,0x0627,0x06B3,0x0693,0x327D,0x0694,0x06A1,0x06A2,0x0672,0x0608,0x0608,0x0608,0x0608,0x0670,0x327D,0x0696,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0695,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x323E,0x3210,0x3210,0x3210,0x3210,0x06C1,0x06C0,0x0672
7,0x0670,0x3275,0x32BB,0x322F,0x327E,0x327F,0x32A9,0x32AA,0x0672,0x0608,0x0608,0x0668,0x061F,0x068B,0x327D,0x068C,0x061F,0x0699,0x069A,0x066A,0x0608,0x0608,0x0608,0x0608,0x0670,0x327D,0x3210,0x06C1,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x06C1,0x3210,0x06C0,0x06C0,0x0672
8,0x0689,0x3279,0x326F,0x329D,0x3285,0x329E,0x326F,0x3237,0x068A,0x0608,0x0608,0x0670,0x06D6,0x0693,0x327D,0x0694,0x0627,0x06A1,0x06A2,0x0672,0x0608,0x0608,0x0608,0x0608,0x0678,0x3279,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x067A
9,0x0670,0x0627,0x0677,0x06A5,0x327D,0x06A6,0x0677,0x0627,0x0672,0x0608,0x0608,0x0670,0x32DE,0x322F,0x327E,0x327F,0x322F,0x32A9,0x32AA,0x0672,0x0608,0x0608,0x0608,0x0608,0x0680,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0682
10,0x0670,0x3275,0x322F,0x322F,0x327E,0x327F,0x322F,0x322F,0x0672,0x0608,0x0608,0x0670,0x327D,0x3236,0x3210,0x3210,0x3210,0x322E,0x3210,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
11,0x0670,0x327D,0x322E,0x3210,0x3210,0x3210,0x3236,0x3210,0x0672,0x0608,0x0608,0x0678,0x3279,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x067A,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
12,0x0689,0x3279,0x3237,0x329D,0x3285,0x329E,0x3237,0x3237,0x068A,0x0608,0x0608,0x0680,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0682,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
13,0x0670,0x06D4,0x06D5,0x06A5,0x327D,0x06A6,0x0627,0x0627,0x0672,0x0608,0x0608,0x0668,0x061F,0x06A8,0x061F,0x061F,0x061F,0x061F,0x061F,0x0699,0x0688,0x061F,0x061F,0x061F,0x061F,0x061F,0x066A,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
14,0x0670,0x36DC,0x36DD,0x3275,0x327E,0x327F,0x322F,0x322F,0x0672,0x0608,0x0608,0x0670,0x0627,0x06B0,0x06B1,0x0627,0x0627,0x06D6,0x06B2,0x06A1,0x0690,0x0627,0x06D4,0x06D5,0x06D6,0x06D7,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
15,0x0670,0x36E4,0x36E5,0x327D,0x3210,0x3210,0x3210,0x3210,0x0672,0x0608,0x0608,0x0670,0x3275,0x32B8,0x32B9,0x3275,0x322F,0x32EE,0x32C4,0x32A9,0x0690,0x3275,0x36DC,0x36DD,0x32DE,0x32DF,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
16,0x0670,0x3275,0x322F,0x327E,0x3210,0x3210,0x3210,0x3210,0x068C,0x061F,0x06B7,0x068B,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x0698,0x327D,0x36E4,0x36E5,0x327D,0x3210,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
17,0x0670,0x327D,0x06C1,0x3210,0x3210,0x3210,0x3210,0x3210,0x0694,0x0627,0x06BF,0x0693,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x06A0,0x327D,0x327F,0x322F,0x327E,0x3210,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
18,0x0670,0x06C3,0x3210,0x3210,0x32A3,0x32A4,0x3210,0x3210,0x327F,0x322F,0x36C7,0x322F,0x327E,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x327F,0x327E,0x3210,0x3210,0x3210,0x322E,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
19,0x0670,0x06C2,0x3658,0x3210,0x36AB,0x36AC,0x3210,0x3210,0x328E,0x3237,0x36CF,0x328D,0x3285,0x3210,0x329E,0x3237,0x3237,0x3237,0x3237,0x3292,0x3237,0x326F,0x3237,0x3237,0x326F,0x3237,0x068A,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
20,0x0670,0x06C2,0x06C1,0x3658,0x3210,0x32C8,0x3210,0x3210,0x0696,0x0627,0x0627,0x0695,0x327D,0x3210,0x06A6,0x0627,0x0627,0x0627,0x0627,0x0690,0x0627,0x0677,0x0627,0x0627,0x06D6,0x06D7,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
21,0x0689,0x3279,0x326F,0x3237,0x326F,0x3237,0x326F,0x3237,0x068A,0x0608,0x0608,0x0670,0x327D,0x3210,0x327F,0x322F,0x322F,0x322F,0x322F,0x0690,0x3275,0x322F,0x322F,0x322F,0x32EE,0x32DF,0x0672,0x0608,0x0608,0x069F,0x061F,0x061F,0x061F,0x061F,0x06A8,0x061F,0x06A7,0x0608,0x0608,0x0608,0x0608
22,0x0670,0x0627,0x0677,0x0627,0x0677,0x06B3,0x0677,0x06B4,0x0672,0x0608,0x0608,0x0670,0x327D,0x3210,0x3210,0x3210,0x3236,0x3210,0x3210,0x0690,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x068C,0x061F,0x06B6,0x0660,0x0627,0x06B4,0x06B4,0x0627,0x06B0,0x06B1,0x0661,0x061F,0x061F,0x061F,0x066A
23,0x0670,0x3275,0x322F,0x322F,0x322F,0x32BB,0x322F,0x32BC,0x0672,0x0608,0x0608,0x0670,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x06C1,0x0690,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x0694,0x0627,0x06BE,0x0693,0x3275,0x32BC,0x32BD,0x322F,0x32B8,0x32B9,0x0694,0x0627,0x0627,0x0627,0x0672
24,0x0670,0x327D,0x06C1,0x3210,0x06C1,0x06C0,0x06C1,0x06C0,0x068C,0x061F,0x06B6,0x068B,0x3297,0x3237,0x329D,0x3285,0x329E,0x3237,0x3237,0x0691,0x3287,0x329D,0x3285,0x3210,0x3210,0x3210,0x327F,0x322F,0x36C6,0x322F,0x327E,0x3210,0x3210,0x3210,0x3210,0x3210,0x327F,0x322F,0x322F,0x322F,0x0672
25,0x0670,0x36C3,0x3210,0x3210,0x3210,0x06C1,0x06C0,0x06C0,0x0694,0x0627,0x06BE,0x0693,0x06A6,0x0627,0x06A5,0x327D,0x06A6,0x06B3,0x06B4,0x0690,0x0627,0x06A5,0x327D,0x3210,0x3210,0x3210,0x328E,0x3237,0x36CE,0x328D,0x3285,0x3210,0x3210,0x3210,0x3210,0x3210,0x328E,0x3237,0x328D,0x3285,0x0672
26,0x0670,0x06C3,0x06C0,0x3210,0x3236,0x3210,0x3210,0x3210,0x327F,0x322F,0x36C6,0x322F,0x322F,0x322F,0x322F,0x327E,0x327F,0x32BB,0x32BC,0x0698,0x3275,0x322F,0x327E,0x3210,0x3210,0x3210,0x0696,0x0627,0x0627,0x0695,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x0696,0x0627,0x0695,0x327D,0x0672
27,0x0670,0x06C2,0x06C0,0x3210,0x3210,0x3210,0x3210,0x3210,0x328E,0x3237,0x36CE,0x328D,0x3285,0x06C0,0x3210,0x3210,0x3210,0x3210,0x3210,0x06A0,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x0672,0x0608,0x0608,0x0678,0x3279,0x3237,0x3237,0x3237,0x3237,0x3237,0x067A,0x0608,0x0670,0x327D,0x0672
