map,OldaleTown_Layout,width,20,height,20,primary,gTileset_General,secondary,gTileset_Petalburg
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x31D0,0x31D2,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
1,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E7,0x31D0,0x31D9,0x31DA,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD
2,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x31D8,0x31D9,0x31D9,0x31D2,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5
3,0x05DC,0x05DD,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x31D8,0x31D9,0x31D9,0x31DA,0x3001,0x3028,0x3029,0x3029,0x0685,0x05E5,0x05E4,0x05DD
4,0x05D4,0x05D5,0x3001,0x3001,0x326C,0x326D,0x326D,0x326E,0x31D8,0x31D9,0x31D9,0x31DA,0x3001,0x0430,0x0431,0x0432,0x0433,0x3001,0x05D4,0x05D5
5,0x05DC,0x05DD,0x3001,0x3004,0x0674,0x0675,0x0675,0x0676,0x31D8,0x31D9,0x31D9,0x31D9,0x31D2,0x0438,0x0439,0x043A,0x043B,0x3001,0x05DC,0x05DD
6,0x05D4,0x05D5,0x3004,0x3001,0x067C,0x067F,0x067D,0x067E,0x31D8,0x31D9,0x31D9,0x31D9,0x31DA,0x0460,0x0441,0x0442,0x0443,0x3001,0x05D4,0x05D5
7,0x05DC,0x05DD,0x3001,0x3004,0x0684,0x0687,0x068F,0x0686,0x31D8,0x31E1,0x31E1,0x31E1,0x31D9,0x31D1,0x31D1,0x31D1,0x31D1,0x31D2,0x05E6,0x05E5
8,0x05D4,0x05D5,0x3004,0x3001,0x3001,0x31D0,0x31D1,0x31D1,0x31DA,0x3001,0x3001,0x3004,0x31D8,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31D2,0x3001
9,0x05E4,0x05E7,0x3001,0x31D0,0x31D1,0x31D9,0x31D9,0x31D9,0x31DA,0x3004,0x3001,0x0403,0x31D8,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31E2,0x3001
10,0x3206,0x3001,0x31D0,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31DA,0x3001,0x3004,0x3001,0x31D8,0x31D9,0x31D9,0x31D9,0x31D9,0x31E2,0x3001,0x3001
11,0x3207,0x31CF,0x31E0,0x31E1,0x31E1,0x31D9,0x31D9,0x31D9,0x31D9,0x31D1,0x31D1,0x31D1,0x31D9,0x31D9,0x31D9,0x31E1,0x31E2,0x3001,0x31CE,0x31CF
12,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x31E0,0x31E1,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31DA,0x3001,0x3001,0x3001,0x05D6,0x05D5
13,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3048,0x3049,0x3282,0x3283,0x31D9,0x31D9,0x31D9,0x31D9,0x31E1,0x326C,0x326D,0x326D,0x326E,0x05DC,0x05DD
14,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x0450,0x0451,0x0452,0x0453,0x31D9,0x31D9,0x31D9,0x31DA,0x3001,0x0674,0x0675,0x0675,0x0676,0x05D4,0x05D5
15,0x05DC,0x05DD,0x31CE,0x31CF,0x3001,0x0458,0x0459,0x045A,0x045B,0x31D8,0x31D9,0x31D9,0x31DA,0x3001,0x067C,0x067F,0x067D,0x067E,0x05DC,0x05DD
16,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x0460,0x0461,0x0462,0x0463,0x31D8,0x31D9,0x31D9,0x31E2,0x3001,0x0684,0x0687,0x068F,0x0686,0x05D4,0x05D5
17,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x31D0,0x31D1,0x31D9,0x31D9,0x31DA,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x05DC,0x05DD
18,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x31D8,0x31D9,0x31D9,0x31D9,0x31DA,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5
19,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31CF,0x31CE,0x3278,0x31D9,0x31D9,0x31D9,0x31E2,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD
