map,PacifidlogTown_Layout,width,20,height,40,primary,gTileset_General,secondary,gTileset_Pacifidlog
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
1,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
2,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474
3,0x047C,0x047C,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D
4,0x0489,0x0471,0x047B,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0471,0x0471,0x0471
5,0x047B,0x0489,0x0471,0x047B,0x0479,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0474,0x047C,0x047C
6,0x0489,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x04A9,0x047C,0x047C,0x047D,0x0471,0x0474
7,0x047B,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x047B,0x0479,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0474,0x04A9,0x04A9,0x04A9,0x047C,0x047D
8,0x1189,0x1189,0x1189,0x1189,0x1181,0x047B,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047D,0x1180,0x1189,0x1189,0x1189,0x1189
9,0x1170,0x1170,0x1202,0x1170,0x119A,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1198,0x1170,0x1170,0x1575,0x1576
10,0x1208,0x1209,0x120A,0x120B,0x120C,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1202,0x1170,0x157D,0x157E
11,0x3210,0x0611,0x0612,0x0613,0x3214,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1208,0x1209,0x120A,0x120B,0x120C,0x1170
12,0x3218,0x0619,0x061A,0x061B,0x321C,0x1170,0x1170,0x1230,0x1231,0x1232,0x1233,0x1170,0x1170,0x1170,0x3210,0x0611,0x0612,0x0613,0x3214,0x1170
13,0x3218,0x3221,0x3221,0x3221,0x321C,0x1170,0x1208,0x1450,0x1451,0x1452,0x1453,0x120C,0x1170,0x1203,0x3218,0x0619,0x061A,0x061B,0x321C,0x1170
14,0x3220,0x3221,0x3221,0x3221,0x3224,0x1170,0x3210,0x0458,0x0459,0x045A,0x045B,0x3214,0x1170,0x1203,0x3220,0x3221,0x3221,0x3221,0x3224,0x1170
15,0x1228,0x1229,0x1229,0x322A,0x122C,0x1170,0x3218,0x0648,0x0461,0x0462,0x064B,0x321C,0x1170,0x1203,0x1228,0x1229,0x322A,0x1229,0x122C,0x1170
16,0x1170,0x1203,0x1203,0x3258,0x1203,0x1170,0x3218,0x0403,0x3221,0x3221,0x3221,0x321C,0x1170,0x1203,0x1203,0x1203,0x3258,0x1203,0x1170,0x1170
17,0x1170,0x1203,0x1203,0x3260,0x3250,0x3251,0x3220,0x3221,0x3221,0x3221,0x3221,0x3224,0x3250,0x3251,0x3250,0x3251,0x3260,0x1203,0x1203,0x1170
18,0x1170,0x1203,0x1203,0x1203,0x1203,0x1203,0x1228,0x1229,0x322A,0x1229,0x1229,0x122C,0x1170,0x1203,0x1170,0x1170,0x1170,0x1202,0x1170,0x1170
19,0x1170,0x1170,0x1170,0x1202,0x1170,0x1170,0x1170,0x1170,0x3258,0x1170,0x1203,0x1170,0x1170,0x1170,0x1170,0x1208,0x1209,0x120A,0x120B,0x120C
20,0x1170,0x1208,0x1209,0x120A,0x120B,0x120C,0x1170,0x1170,0x3260,0x1170,0x1203,0x1170,0x1170,0x1170,0x1170,0x3210,0x0611,0x0612,0x0613,0x3214
21,0x1170,0x3210,0x0611,0x0612,0x0613,0x3214,0x1170,0x1170,0x3258,0x1170,0x1203,0x1170,0x1202,0x1170,0x1170,0x3218,0x0619,0x061A,0x061B,0x321C
22,0x1170,0x3218,0x0619,0x061A,0x061B,0x321C,0x1170,0x1170,0x3260,0x1170,0x1208,0x1209,0x120A,0x120B,0x120C,0x3220,0x3221,0x3221,0x3221,0x3224
23,0x1170,0x3220,0x3221,0x3221,0x3221,0x3224,0x1170,0x1170,0x3258,0x1170,0x3210,0x0611,0x0612,0x0613,0x3214,0x1228,0x1229,0x322A,0x1229,0x122C
24,0x1203,0x1228,0x1229,0x322A,0x1229,0x122C,0x1203,0x1203,0x3260,0x1170,0x3218,0x0619,0x061A,0x061B,0x321C,0x1170,0x1170,0x3258,0x1170,0x1170
