map,PetalburgCity_Gym_Layout,width,9,height,112,primary,gTileset_Building,secondary,gTileset_PetalburgGym
y\x,0,1,2,3,4,5,6,7,8
0,0x0602,0x0678,0x0679,0x061D,0x061E,0x061F,0x067A,0x067B,0x0604
1,0x060A,0x0680,0x0681,0x060B,0x060B,0x060B,0x0682,0x0683,0x060C
2,0x3212,0x3288,0x3289,0x3213,0x3213,0x3213,0x328A,0x328B,0x3214
3,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
4,0x3209,0x3201,0x3201,0x3228,0x3229,0x322A,0x3201,0x3201,0x3201
5,0x3209,0x3201,0x3201,0x3230,0x3231,0x3232,0x3201,0x3201,0x3201
6,0x3209,0x3201,0x3201,0x3238,0x3239,0x323A,0x3201,0x3201,0x3201
7,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
8,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
9,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
10,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
11,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
12,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
13,0x0602,0x0603,0x0603,0x061D,0x061E,0x061F,0x0603,0x0618,0x0604
14,0x060A,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x0620,0x060C
15,0x3212,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3214
16,0x3209,0x3241,0x3242,0x3243,0x3244,0x3245,0x3246,0x3247,0x3201
17,0x3209,0x3249,0x324A,0x324B,0x324C,0x324D,0x324E,0x324F,0x3201
18,0x3209,0x3251,0x3252,0x3253,0x3254,0x3255,0x3256,0x3257,0x3201
19,0x3209,0x3259,0x325A,0x325B,0x325C,0x325D,0x325E,0x325F,0x3201
20,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
21,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
22,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
23,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
24,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
25,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
26,0x0602,0x0618,0x0603,0x061D,0x061E,0x061F,0x0603,0x0603,0x0604
27,0x060A,0x0620,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060C
28,0x3212,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3214
29,0x3209,0x3241,0x3242,0x3243,0x3244,0x3245,0x3246,0x3247,0x3201
30,0x3209,0x3249,0x324A,0x324B,0x324C,0x324D,0x324E,0x324F,0x3201
31,0x3209,0x3251,0x3252,0x3253,0x3254,0x3255,0x3256,0x3257,0x3201
32,0x3209,0x3259,0x325A,0x325B,0x325C,0x325D,0x325E,0x325F,0x3201
33,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
34,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
35,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
36,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
37,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
38,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
39,0x0602,0x0603,0x0603,0x061D,0x061E,0x061F,0x0603,0x0618,0x0604
40,0x060A,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x0620,0x060C
41,0x3212,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3214
42,0x3209,0x3241,0x3242,0x3243,0x3244,0x3245,0x3246,0x3247,0x3201
43,0x3209,0x3249,0x324A,0x324B,0x324C,0x324D,0x324E,0x324F,0x3201
44,0x3209,0x3251,0x3252,0x3253,0x3254,0x3255,0x3256,0x3257,0x3201
45,0x3209,0x3259,0x325A,0x325B,0x325C,0x325D,0x325E,0x325F,0x3201
46,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
47,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
48,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
49,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
50,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
51,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
52,0x0602,0x0618,0x0603,0x061D,0x061E,0x061F,0x0603,0x0618,0x0604
53,0x060A,0x0620,0x060B,0x060B,0x060B,0x060B,0x060B,0x0620,0x060C
54,0x3212,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3214
55,0x3209,0x3241,0x3242,0x3243,0x3244,0x3245,0x3246,0x3247,0x3201
56,0x3209,0x3249,0x324A,0x324B,0x324C,0x324D,0x324E,0x324F,0x3201
57,0x3209,0x3251,0x3252,0x3253,0x3254,0x3255,0x3256,0x3257,0x3201
58,0x3209,0x3259,0x325A,0x325B,0x325C,0x325D,0x325E,0x325F,0x3201
59,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
60,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
61,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
62,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
63,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
64,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
65,0x0602,0x0618,0x0603,0x061D,0x061E,0x061F,0x0603,0x0603,0x0604
66,0x060A,0x0620,0x060B,0x060B,0x060B,0x060B,0x060B,0x060B,0x060C
67,0x3212,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3214
68,0x3209,0x3241,0x3242,0x3243,0x3244,0x3245,0x3246,0x3247,0x3201
69,0x3209,0x3249,0x324A,0x324B,0x324C,0x324D,0x324E,0x324F,0x3201
70,0x3209,0x3251,0x3252,0x3253,0x3254,0x3255,0x3256,0x3257,0x3201
