map,PetalburgCity_Layout,width,30,height,30,primary,gTileset_General,secondary,gTileset_Petalburg
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
1,0x05DC,0x05DD,0x05DC,0x05DD,0x0655,0x064E,0x064D,0x064E,0x064D,0x064E,0x0656,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD
2,0x05D4,0x05D5,0x05D4,0x05D5,0x0644,0x0408,0x0409,0x0409,0x0409,0x040A,0x0646,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x10B0,0x10B1,0x10B1,0x10B2,0x05D4,0x05D5,0x05D4,0x05D5
3,0x05DC,0x05DD,0x05DC,0x05DD,0x064C,0x0410,0x0411,0x0411,0x0411,0x0412,0x064C,0x35E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x35E7,0x10B0,0x10B1,0x10B1,0x10C0,0x10A1,0x10A1,0x10BA,0x05DC,0x05DD,0x05DC,0x05DD
4,0x05D4,0x05D5,0x05D4,0x05D5,0x0654,0x0418,0x040B,0x0419,0x040B,0x041A,0x064C,0x063F,0x05AA,0x05AB,0x05AB,0x05AB,0x05AB,0x05AC,0x063F,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x05D4,0x05D5,0x05D4,0x05D5
5,0x05DC,0x05DD,0x05DC,0x05DD,0x3004,0x0420,0x0413,0x0421,0x0413,0x0422,0x064C,0x064C,0x05B2,0x05B3,0x05B3,0x05B3,0x05B3,0x05B4,0x064C,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x05DC,0x05DD,0x05DC,0x05DD
6,0x05D4,0x05D5,0x05D4,0x05D5,0x3004,0x3004,0x3118,0x311A,0x3004,0x3004,0x064C,0x064C,0x05B8,0x05B9,0x05BA,0x05B3,0x05BB,0x05BC,0x064C,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x05D4,0x05D5,0x05D4,0x05D5
7,0x05DC,0x05DD,0x05DC,0x05DD,0x3004,0x3004,0x3120,0x3122,0x3004,0x3004,0x064C,0x064C,0x05C0,0x05C1,0x05C2,0x05C5,0x05C3,0x05C4,0x064C,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x05DC,0x05DD,0x05DC,0x05DD
8,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3120,0x3122,0x3001,0x323C,0x0666,0x064C,0x31C8,0x31C9,0x05CA,0x05CD,0x05CB,0x31CC,0x064C,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x05D4,0x05D5,0x05D4,0x05D5
9,0x05DC,0x05DD,0x35E4,0x35E7,0x3001,0x3001,0x3120,0x3122,0x0403,0x0664,0x0665,0x0654,0x3001,0x3001,0x3118,0x3119,0x311A,0x3130,0x0654,0x3002,0x3002,0x3002,0x3002,0x3002,0x3250,0x3251,0x0658,0x0659,0x05DC,0x05DD
10,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3120,0x3121,0x3122,0x0531,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0430,0x0431,0x0432,0x0433,0x05D4,0x05D5
11,0x35E6,0x35E7,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3120,0x3121,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0438,0x0439,0x043A,0x043B,0x05DC,0x05DD
12,0x3001,0x3001,0x3118,0x3119,0x3119,0x3119,0x3121,0x3121,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3121,0x3121,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0460,0x0441,0x0442,0x0443,0x05D4,0x05D5
13,0x31CE,0x31CF,0x3128,0x3129,0x3129,0x3129,0x3129,0x3252,0x3253,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3121,0x3122,0x3001,0x3001,0x3048,0x3049,0x304A,0x304B,0x3001,0x3001,0x3118,0x311A,0x3001,0x05DC,0x05DD
14,0x05D4,0x05D7,0x10B0,0x10B1,0x10B1,0x10B1,0x10B2,0x05D6,0x05D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x3001,0x0450,0x0451,0x0452,0x0453,0x3001,0x3001,0x3120,0x3122,0x3001,0x05D4,0x05D5
15,0x05DC,0x05DD,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x3001,0x0458,0x0459,0x045A,0x045B,0x3001,0x3001,0x3120,0x3122,0x3001,0x35E6,0x05E5
16,0x05D4,0x05D5,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x05D4,0x05D5,0x3008,0x3009,0x3009,0x300A,0x3001,0x3001,0x3120,0x3122,0x0403,0x3001,0x0460,0x0461,0x0462,0x0463,0x3001,0x3001,0x3120,0x3122,0x3001,0x3001,0x3001
17,0x05DC,0x05DD,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x05DC,0x05DD,0x0410,0x0411,0x0411,0x0412,0x3001,0x3001,0x3120,0x3121,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3121,0x3121,0x311A,0x3001,0x3001
18,0x05D4,0x05D5,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x05D4,0x05D5,0x0418,0x0419,0x040B,0x041A,0x3001,0x3001,0x3120,0x3121,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x312A,0x3001,0x3001
19,0x05DC,0x05DD,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x35E6,0x35E7,0x0420,0x0421,0x0413,0x0422,0x3001,0x3001,0x3120,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x31CE,0x31CF
20,0x05D4,0x05D5,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x3201,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x323C,0x323D,0x323D,0x323D,0x323D,0x323D,0x323D,0x323E,0x05D6,0x05D5,0x05D4,0x05D5
21,0x05DC,0x05DD,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x0644,0x0408,0x0409,0x0409,0x040A,0x0645,0x0645,0x0646,0x05DC,0x05DD,0x05DC,0x05DD
22,0x05D4,0x05D5,0x10B8,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3120,0x3122,0x3001,0x064C,0x0410,0x0411,0x0411,0x0412,0x0407,0x0407,0x064C,0x05D4,0x05D5,0x05D4,0x05D5
23,0x05DC,0x05DD,0x10B8,0x10A1,0x10A1,0x10A1,0x10C2,0x10B1,0x10B1,0x10B1,0x10B1,0x10B2,0x31CE,0x31CF,0x3001,0x3120,0x3122,0x3001,0x0654,0x0418,0x0419,0x040B,0x041A,0x0407,0x0407,0x064C,0x05DC,0x05DD,0x05DC,0x05DD
24,0x05D4,0x05D5,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x05D6,0x05D7,0x3004,0x3120,0x3122,0x3004,0x3001,0x0420,0x0421,0x0413,0x0422,0x3004,0x3004,0x064C,0x05D4,0x05D5,0x05D4,0x05D5
25,0x05DC,0x05DD,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x05DC,0x05DD,0x3001,0x3120,0x3121,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3004,0x3004,0x064C,0x05DC,0x05DD,0x05DC,0x05DD
