map,PetalburgWoods_Layout,width,48,height,44,primary,gTileset_General,secondary,gTileset_Rustboro
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD,0x0605,0x0605,0x05DC,0x05DD,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
1,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x0605,0x0605,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
2,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05DC,0x05DD,0x0605,0x0605,0x05DC,0x05DD,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
3,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x0605,0x0605,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD
4,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05E4,0x05E7,0x0605,0x0605,0x05E6,0x05E5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5
5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0549,0x0549,0x0203,0x0203,0x0549,0x0549,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05F2,0x05F3,0x05F2,0x05F3,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x31C6,0x31C7,0x31C6,0x31C7,0x300D,0x300D,0x300D,0x05E6,0x05E5,0x05DC,0x05DD
6,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x35D6,0x35D5,0x35D4,0x35D7,0x300D,0x300D,0x300D,0x3001,0x3001,0x05D4,0x05D5
7,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E7,0x3001,0x05E6,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x3001,0x3001,0x3001,0x05DC,0x05DD
8,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x341B,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x04D5,0x0487,0x0487,0x0487,0x04D6,0x05D4,0x05D5
9,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x300D,0x300D,0x300D,0x3001,0x31CE,0x31CF,0x31C6,0x31C7,0x31C6,0x31C7,0x300D,0x300D,0x3001,0x05E6,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD
